0
thrA
talB
""
rihC
polB
ilvI
ftsI
mutT
aroP
yadK
cdsA
dnaE
accA
tsaA
dnaQ
insN
eaeH
rclC
betB
yahI
prpB
cynX
yaiP
sbmA
mak
thiI
ybaE
gsk
cueR
ybbW
allE
allD
folD
sfmD
peaD
rzpD
ompT
cusB
nfsB
ybdK
citF
hscC
nagC
glnS
kdpB
kdpA
phr
mngA
ybhF
ybiW
yliE
cydC
rarA
ycaI
ldtD
pncB
pepN
helD
yccU
rlmI
csgE
opgH
yceD
purB
mcrA
ycgH
dadA
narK
sapB
sapA
ycjS
ldhA
aldA
ydcK
yncJ
ydcC
narU
yddK
gadB
ydeN
ydeR
ydeT
uxaB
ydfJ
ynfA
pntB
ydgA
malY
nemR
lhr
cfa
ydhU
ynjE
ydjE
rnd
fadD
rsmF
araG
pgsA
amyA
yedN
fliF
wcaI
wcaG
wcaF
wcaD
asmA
yegZ
yegT
yehA
yehD
yehY
galS
yeiB
atoS
yfaS
arnB
hisP
gtrB
gtrS
emrY
evgS
yfdE
yfdX
yfeA
crr
cysM
bamC
hyfF
uraA
iscS
yfhR
hcaR
hcaD
mltF
grcA
aroF
trmD
yfjR
gabT
nrdE
alaS
recX
hypB
fhlA
casA
ygcU
amiC
ppdB
hyuA
ubiH
epd
yggN
glcD
pitB
tolC
yqiG
yqjK
yqjG
ptsN
mtgA
yhcF
rpoA
rpsD
fkpA
yhgE
malP
rsmD
yhhM
zntA
rbbA
yhiJ
yhiL
yhjA
bisC
yiaN
waaL
waaU
rph
yicC
yicI
setC
yidZ
bglH
pstA
glmU
rbsR
wecF
wzyE
yigG
pldA
tatC
trkH
yihQ
fdoG
rhaM
metL
katG
argB
thiG
zraR
aceK
plsB
yjcH
dcuS
dsbD
mscM
rpsF
yjfZ
ytfI
ytfL
tabA
yjgL
fecC
fimH
yjiY
