Time,AUC,OD
0,0.0,0.5
1,0.16224,0.514
2,0.3374933333333333,0.608
3,0.5624266666666666,0.817
4,0.9210666666666666,1.595
5,1.5455466666666666,2.295
6,2.6127999999999996,5.085
7,4.805066666666667,8.765
8,8.313600000000001,13.3
9,13.042533333333333,15.94
10,18.429866666666666,17.78
11,24.124533333333336,17.45
12,29.48906666666667,16.1
13,34.5904,15.99
14,39.66506666666667,15.34
15,44.4352,14.43
16,48.973866666666666,14.21
17,53.435199999999995,13.61
