,Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint,Metabolite value,log10(Metabolite value [gDW/mmol],log10(Metabolite concentration)
57,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,28,0.06891003967401388,-1.161717500046125,-inf
58,0.0,Hippuric acid,D-Glucose,Ecoli,1,28,,,-inf
59,5100.0,Acetic acid,D-Glucose,Ecoli,1,28,0.029587159450122913,-1.5288967277881196,3.7075701760979363
60,2.97,Putrescine,D-Glucose,Ecoli,2,28,0.10003721892554163,-0.9998383903329746,0.4727564493172124
61,9.05,Valine,D-Glucose,Ecoli,2,28,0.09421025204151001,-1.0259018343324946,0.9566485792052033
62,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,28,0.06891003967401388,-1.161717500046125,-inf
63,0.129,Methionine,D-Glucose,Ecoli,2,28,0.1577201028715003,-0.8021129483341026,-0.889410289700751
64,4.41,Acetyl-ornithine,D-Glucose,Ecoli,2,28,0.12899295949505007,-0.8894339930797603,0.6444385894678385
65,0.0,Butyric acid,D-Glucose,Ecoli,2,28,0.07365132890740378,-1.1328194126781639,-inf
66,266.0,Succinic acid,D-Glucose,Ecoli,2,28,0.05753175263602528,-1.2400923955110812,2.424881636631067
67,0.168,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,28,,,-0.7746907182741372
68,57.3,Alanine,D-Glucose,Ecoli,2,28,0.04924974119804304,-1.307596047329966,1.75815462196739
69,18.5,Propionic acid,D-Glucose,Ecoli,2,28,0.056497973999025675,-1.2479671255755957,1.2671717284030137
70,360.0,Pyruvic acid,D-Glucose,Ecoli,2,28,0.040830626307203355,-1.3890139583166246,2.5563025007672873
71,2.59,Citric acid,D-Glucose,Ecoli,2,28,0.0782223114217051,-1.1066693550566018,0.4132997640812518
72,0.428,Serine,D-Glucose,Ecoli,2,28,0.046224276673567655,-1.3351298760397683,-0.368556230986828
73,4.34,Glycine,D-Glucose,Ecoli,2,28,0.028098031801826462,-1.5513241002921763,0.6374897295125107
74,0.0,Asparagine,D-Glucose,Ecoli,2,28,0.05861131589811053,-1.2320185280489766,-inf
75,0.0,Hippuric acid,D-Glucose,Ecoli,2,28,,,-inf
76,1350.0,Lactic acid,D-Glucose,Ecoli,2,28,0.0533777654366685,-1.2726396111187115,3.130333768495006
77,34.1,Fumaric acid,D-Glucose,Ecoli,2,28,0.05339376534566065,-1.2725094514743316,1.5327543789924978
78,4400.0,Acetic acid,D-Glucose,Ecoli,2,28,0.029587159450122913,-1.5288967277881196,3.6434526764861874
79,3.73,Valeric acid,D-Glucose,Ecoli,2,28,,,0.5717088318086876
80,2.96,beta-Hydroxybutyric acid,D-Glucose,Ecoli,1,48,,,0.4712917110589386
81,3.45,Citric acid,D-Glucose,Ecoli,1,48,0.0782223114217051,-1.1066693550566018,0.5378190950732742
82,0.0622,Serine,D-Glucose,Ecoli,1,48,0.046224276673567655,-1.3351298760397683,-1.2062096153091812
83,1.68,Putrescine,D-Glucose,Ecoli,1,48,0.10003721892554163,-0.9998383903329746,0.22530928172586284
84,58.5,Alanine,D-Glucose,Ecoli,1,48,0.04924974119804304,-1.307596047329966,1.7671558660821804
85,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,1,48,0.06891003967401388,-1.161717500046125,-inf
86,430.0,Lactic acid,D-Glucose,Ecoli,1,48,0.0533777654366685,-1.2726396111187115,2.6334684555795866
87,24.3,Valine,D-Glucose,Ecoli,1,48,0.09421025204151001,-1.0259018343324946,1.3856062735983121
88,334.0,Succinic acid,D-Glucose,Ecoli,1,48,0.05753175263602528,-1.2400923955110812,2.5237464668115646
89,0.732,Butyric acid,D-Glucose,Ecoli,1,48,0.07365132890740378,-1.1328194126781639,-0.13548891894160814
90,104.0,Fumaric acid,D-Glucose,Ecoli,1,48,0.05339376534566065,-1.2725094514743316,2.0170333392987803
91,46.9,Propionic acid,D-Glucose,Ecoli,1,48,0.056497973999025675,-1.2479671255755957,1.6711728427150832
92,0.0,Pyruvic acid,D-Glucose,Ecoli,1,48,0.040830626307203355,-1.3890139583166246,-inf
93,0.45,Asparagine,D-Glucose,Ecoli,1,48,0.05861131589811053,-1.2320185280489766,-0.3467874862246563
94,4.51,Glycine,D-Glucose,Ecoli,1,48,0.028098031801826462,-1.5513241002921763,0.6541765418779605
95,26.6,Acetyl-ornithine,D-Glucose,Ecoli,1,48,0.12899295949505007,-0.8894339930797603,1.424881636631067
96,6460.0,Acetic acid,D-Glucose,Ecoli,1,48,0.029587159450122913,-1.5288967277881196,3.8102325179950842
97,0.0,Methionine,D-Glucose,Ecoli,1,48,0.1577201028715003,-0.8021129483341026,-inf
98,0.0,Hippuric acid,D-Glucose,Ecoli,1,48,,,-inf
99,4.07,Valeric acid,D-Glucose,Ecoli,1,48,,,0.60959440922522
100,28.3,Valine,D-Glucose,Ecoli,2,48,0.09421025204151001,-1.0259018343324946,1.4517864355242902
101,90.8,Fumaric acid,D-Glucose,Ecoli,2,48,0.05339376534566065,-1.2725094514743316,1.958085848521085
102,5.48,Glycine,D-Glucose,Ecoli,2,48,0.028098031801826462,-1.5513241002921763,0.7387805584843692
103,1.96,beta-Hydroxybutyric acid,D-Glucose,Ecoli,2,48,,,0.292256071356476
104,0.0,Methionine,D-Glucose,Ecoli,2,48,0.1577201028715003,-0.8021129483341026,-inf
105,0.0,alpha-Ketoglutaric acid,D-Glucose,Ecoli,2,48,0.06891003967401388,-1.161717500046125,-inf
106,0.0,Serine,D-Glucose,Ecoli,2,48,0.046224276673567655,-1.3351298760397683,-inf
107,752.0,Lactic acid,D-Glucose,Ecoli,2,48,0.0533777654366685,-1.2726396111187115,2.876217840591642
108,407.0,Succinic acid,D-Glucose,Ecoli,2,48,0.05753175263602528,-1.2400923955110812,2.60959440922522
109,0.833,Butyric acid,D-Glucose,Ecoli,2,48,0.07365132890740378,-1.1328194126781639,-0.07935499859321243
110,167.0,Alanine,D-Glucose,Ecoli,2,48,0.04924974119804304,-1.307596047329966,2.2227164711475833
111,47.8,Propionic acid,D-Glucose,Ecoli,2,48,0.056497973999025675,-1.2479671255755957,1.6794278966121188
112,0.0,Pyruvic acid,D-Glucose,Ecoli,2,48,0.040830626307203355,-1.3890139583166246,-inf
113,3.28,Citric acid,D-Glucose,Ecoli,2,48,0.0782223114217051,-1.1066693550566018,0.5158738437116791
114,28.8,Acetyl-ornithine,D-Glucose,Ecoli,2,48,0.12899295949505007,-0.8894339930797603,1.4593924877592308
115,7340.0,Acetic acid,D-Glucose,Ecoli,2,48,0.029587159450122913,-1.5288967277881196,3.8656960599160706
116,0.177,Asparagine,D-Glucose,Ecoli,2,48,0.05861131589811053,-1.2320185280489766,-0.7520267336381934
117,4.66,Valeric acid,D-Glucose,Ecoli,2,48,,,0.6683859166900001
118,2.35,Putrescine,D-Glucose,Ecoli,2,48,0.10003721892554163,-0.9998383903329746,0.37106786227173627
119,0.0,Hippuric acid,D-Glucose,Ecoli,2,48,,,-inf
120,382.0,Pyruvic acid,D-Glucose,Enterobacter,1,16,0.040830626307203355,-1.3890139583166246,2.582063362911709
121,6.39,Citric acid,D-Glucose,Enterobacter,1,16,0.0782223114217051,-1.1066693550566018,0.8055008581584001
122,0.0,Serine,D-Glucose,Enterobacter,1,16,0.046224276673567655,-1.3351298760397683,-inf
123,17.9,Valine,D-Glucose,Enterobacter,1,16,0.09421025204151001,-1.0259018343324946,1.252853030979893
124,5.28,Glycine,D-Glucose,Enterobacter,1,16,0.028098031801826462,-1.5513241002921763,0.7226339225338123
125,62.5,Alanine,D-Glucose,Enterobacter,1,16,0.04924974119804304,-1.307596047329966,1.7958800173440752
126,0.0,Butyric acid,D-Glucose,Enterobacter,1,16,0.07365132890740378,-1.1328194126781639,-inf
127,0.0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,16,,,-inf
128,48.4,Fumaric acid,D-Glucose,Enterobacter,1,16,0.05339376534566065,-1.2725094514743316,1.6848453616444126
129,0.386,Valeric acid,D-Glucose,Enterobacter,1,16,,,-0.41341269532824504
130,199.0,Succinic acid,D-Glucose,Enterobacter,1,16,0.05753175263602528,-1.2400923955110812,2.298853076409707
131,4700.0,Lactic acid,D-Glucose,Enterobacter,1,16,0.0533777654366685,-1.2726396111187115,3.6720978579357175
132,0.0,Putrescine,D-Glucose,Enterobacter,1,16,0.10003721892554163,-0.9998383903329746,-inf
133,2.85,Acetyl-ornithine,D-Glucose,Enterobacter,1,16,0.12899295949505007,-0.8894339930797603,0.4548448600085102
134,4380.0,Acetic acid,D-Glucose,Enterobacter,1,16,0.029587159450122913,-1.5288967277881196,3.6414741105040997
135,5.55,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,16,0.06891003967401388,-1.161717500046125,0.7442929831226762
136,0.0,Methionine,D-Glucose,Enterobacter,1,16,0.1577201028715003,-0.8021129483341026,-inf
137,0.0,Asparagine,D-Glucose,Enterobacter,1,16,0.05861131589811053,-1.2320185280489766,-inf
138,0.508,Propionic acid,D-Glucose,Enterobacter,1,16,0.056497973999025675,-1.2479671255755957,-0.29413628771608075
139,0.0,Hippuric acid,D-Glucose,Enterobacter,1,16,,,-inf
140,209.0,Succinic acid,D-Glucose,Enterobacter,2,16,0.05753175263602528,-1.2400923955110812,2.3201462861110542
141,85.5,Alanine,D-Glucose,Enterobacter,2,16,0.04924974119804304,-1.307596047329966,1.9319661147281726
142,1.29,Propionic acid,D-Glucose,Enterobacter,2,16,0.056497973999025675,-1.2479671255755957,0.11058971029924898
143,0.235,Serine,D-Glucose,Enterobacter,2,16,0.046224276673567655,-1.3351298760397683,-0.6289321377282637
144,22.0,Valine,D-Glucose,Enterobacter,2,16,0.09421025204151001,-1.0259018343324946,1.3424226808222062
145,6.18,Glycine,D-Glucose,Enterobacter,2,16,0.028098031801826462,-1.5513241002921763,0.7909884750888159
146,393.0,Pyruvic acid,D-Glucose,Enterobacter,2,16,0.040830626307203355,-1.3890139583166246,2.5943925503754266
147,6.09,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,16,0.06891003967401388,-1.161717500046125,0.7846172926328754
148,0.0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,16,,,-inf
149,53.1,Fumaric acid,D-Glucose,Enterobacter,2,16,0.05339376534566065,-1.2725094514743316,1.725094521081469
150,4575.0,Acetic acid,D-Glucose,Enterobacter,2,16,0.029587159450122913,-1.5288967277881196,3.6603910984024672
151,4910.0,Lactic acid,D-Glucose,Enterobacter,2,16,0.0533777654366685,-1.2726396111187115,3.6910814921229687
152,0.0,Putrescine,D-Glucose,Enterobacter,2,16,0.10003721892554163,-0.9998383903329746,-inf
153,3.56,Acetyl-ornithine,D-Glucose,Enterobacter,2,16,0.12899295949505007,-0.8894339930797603,0.5514499979728752
154,0.0,Hippuric acid,D-Glucose,Enterobacter,2,16,,,-inf
155,0.0,Butyric acid,D-Glucose,Enterobacter,2,16,0.07365132890740378,-1.1328194126781639,-inf
156,0.0,Methionine,D-Glucose,Enterobacter,2,16,0.1577201028715003,-0.8021129483341026,-inf
157,6.96,Citric acid,D-Glucose,Enterobacter,2,16,0.0782223114217051,-1.1066693550566018,0.8426092396105621
158,0.394,Valeric acid,D-Glucose,Enterobacter,2,16,,,-0.40450377817442584
159,0.0,Asparagine,D-Glucose,Enterobacter,2,16,0.05861131589811053,-1.2320185280489766,-inf
160,1.31,Asparagine,D-Glucose,Enterobacter,1,28,0.05861131589811053,-1.2320185280489766,0.11727129565576427
161,0.0,Serine,D-Glucose,Enterobacter,1,28,0.046224276673567655,-1.3351298760397683,-inf
162,5.08,Propionic acid,D-Glucose,Enterobacter,1,28,0.056497973999025675,-1.2479671255755957,0.7058637122839193
163,2470.0,Lactic acid,D-Glucose,Enterobacter,1,28,0.0533777654366685,-1.2726396111187115,3.392696953259666
164,14.4,Alanine,D-Glucose,Enterobacter,1,28,0.04924974119804304,-1.307596047329966,1.1583624920952498
165,10.6,Valine,D-Glucose,Enterobacter,1,28,0.09421025204151001,-1.0259018343324946,1.0253058652647702
166,250.0,Succinic acid,D-Glucose,Enterobacter,1,28,0.05753175263602528,-1.2400923955110812,2.3979400086720375
167,0.631,Butyric acid,D-Glucose,Enterobacter,1,28,0.07365132890740378,-1.1328194126781639,-0.19997064075586568
168,0.666,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,28,,,-0.17652577082969892
169,4.85,Glycine,D-Glucose,Enterobacter,1,28,0.028098031801826462,-1.5513241002921763,0.6857417386022636
170,7.28,Citric acid,D-Glucose,Enterobacter,1,28,0.0782223114217051,-1.1066693550566018,0.8621313793130372
171,0.0,Hippuric acid,D-Glucose,Enterobacter,1,28,,,-inf
172,1.2,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,28,0.06891003967401388,-1.161717500046125,0.07918124604762482
173,0.0,Putrescine,D-Glucose,Enterobacter,1,28,0.10003721892554163,-0.9998383903329746,-inf
174,4.34,Pyruvic acid,D-Glucose,Enterobacter,1,28,0.040830626307203355,-1.3890139583166246,0.6374897295125107
175,0.489,Valeric acid,D-Glucose,Enterobacter,1,28,,,-0.3106911408763798
176,0.0461,Methionine,D-Glucose,Enterobacter,1,28,0.1577201028715003,-0.8021129483341026,-1.3362990746103518
177,10.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,28,0.12899295949505007,-0.8894339930797603,1.0128372247051722
178,5900.0,Acetic acid,D-Glucose,Enterobacter,1,28,0.029587159450122913,-1.5288967277881196,3.7708520116421442
179,33.5,Fumaric acid,D-Glucose,Enterobacter,1,28,0.05339376534566065,-1.2725094514743316,1.5250448070368452
180,6.07,Pyruvic acid,D-Glucose,Enterobacter,2,28,0.040830626307203355,-1.3890139583166246,0.7831886910752576
181,0.0,Serine,D-Glucose,Enterobacter,2,28,0.046224276673567655,-1.3351298760397683,-inf
182,0.129,Asparagine,D-Glucose,Enterobacter,2,28,0.05861131589811053,-1.2320185280489766,-0.889410289700751
183,0.513,Butyric acid,D-Glucose,Enterobacter,2,28,0.07365132890740378,-1.1328194126781639,-0.2898826348881837
184,2.5,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,28,0.06891003967401388,-1.161717500046125,0.3979400086720376
185,0.603,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,28,,,-0.2196826878598487
186,16.6,Alanine,D-Glucose,Enterobacter,2,28,0.04924974119804304,-1.307596047329966,1.2201080880400552
187,7.99,Citric acid,D-Glucose,Enterobacter,2,28,0.0782223114217051,-1.1066693550566018,0.9025467793139914
188,265.0,Succinic acid,D-Glucose,Enterobacter,2,28,0.05753175263602528,-1.2400923955110812,2.423245873936808
189,0.0219,Methionine,D-Glucose,Enterobacter,2,28,0.1577201028715003,-0.8021129483341026,-1.6595558851598817
190,14.3,Valine,D-Glucose,Enterobacter,2,28,0.09421025204151001,-1.0259018343324946,1.1553360374650619
191,6130.0,Acetic acid,D-Glucose,Enterobacter,2,28,0.029587159450122913,-1.5288967277881196,3.787460474518415
192,2300.0,Lactic acid,D-Glucose,Enterobacter,2,28,0.0533777654366685,-1.2726396111187115,3.361727836017593
193,40.6,Fumaric acid,D-Glucose,Enterobacter,2,28,0.05339376534566065,-1.2725094514743316,1.608526033577194
194,5.62,Glycine,D-Glucose,Enterobacter,2,28,0.028098031801826462,-1.5513241002921763,0.7497363155690611
195,0.0,Hippuric acid,D-Glucose,Enterobacter,2,28,,,-inf
196,4.68,Propionic acid,D-Glucose,Enterobacter,2,28,0.056497973999025675,-1.2479671255755957,0.670245853074124
197,0.0,Putrescine,D-Glucose,Enterobacter,2,28,0.10003721892554163,-0.9998383903329746,-inf
198,9.33,Acetyl-ornithine,D-Glucose,Enterobacter,2,28,0.12899295949505007,-0.8894339930797603,0.9698816437465
199,0.426,Valeric acid,D-Glucose,Enterobacter,2,28,,,-0.37059040089728107
200,182.0,Succinic acid,D-Glucose,Enterobacter,1,48,0.05753175263602528,-1.2400923955110812,2.2600713879850747
201,0.468,Pyruvic acid,D-Glucose,Enterobacter,1,48,0.040830626307203355,-1.3890139583166246,-0.32975414692587596
202,0.0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,48,0.06891003967401388,-1.161717500046125,-inf
203,5.58,Glycine,D-Glucose,Enterobacter,1,48,0.028098031801826462,-1.5513241002921763,0.7466341989375788
204,0.0,Alanine,D-Glucose,Enterobacter,1,48,0.04924974119804304,-1.307596047329966,-inf
205,12.0,Propionic acid,D-Glucose,Enterobacter,1,48,0.056497973999025675,-1.2479671255755957,1.0791812460476249
206,0.0,Serine,D-Glucose,Enterobacter,1,48,0.046224276673567655,-1.3351298760397683,-inf
207,6.16,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,48,,,0.7895807121644255
208,0.0,Valine,D-Glucose,Enterobacter,1,48,0.09421025204151001,-1.0259018343324946,-inf
209,0.72,Asparagine,D-Glucose,Enterobacter,1,48,0.05861131589811053,-1.2320185280489766,-0.14266750356873156
210,309.0,Lactic acid,D-Glucose,Enterobacter,1,48,0.0533777654366685,-1.2726396111187115,2.4899584794248346
211,0.0,Putrescine,D-Glucose,Enterobacter,1,48,0.10003721892554163,-0.9998383903329746,-inf
212,30.3,Acetyl-ornithine,D-Glucose,Enterobacter,1,48,0.12899295949505007,-0.8894339930797603,1.481442628502305
213,5900.0,Acetic acid,D-Glucose,Enterobacter,1,48,0.029587159450122913,-1.5288967277881196,3.7708520116421442
214,1.66,Butyric acid,D-Glucose,Enterobacter,1,48,0.07365132890740378,-1.1328194126781639,0.22010808804005508
215,17.1,Fumaric acid,D-Glucose,Enterobacter,1,48,0.05339376534566065,-1.2725094514743316,1.2329961103921538
216,0.0,Hippuric acid,D-Glucose,Enterobacter,1,48,,,-inf
217,0.557,Valeric acid,D-Glucose,Enterobacter,1,48,,,-0.25414480482627105
218,0.0382,Methionine,D-Glucose,Enterobacter,1,48,0.1577201028715003,-0.8021129483341026,-1.4179366370882913
219,13.1,Citric acid,D-Glucose,Enterobacter,1,48,0.0782223114217051,-1.1066693550566018,1.1172712956557642
220,6.97,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,48,,,0.8432327780980095
221,319.0,Lactic acid,D-Glucose,Enterobacter,2,48,0.0533777654366685,-1.2726396111187115,2.503790683057181
222,198.0,Succinic acid,D-Glucose,Enterobacter,2,48,0.05753175263602528,-1.2400923955110812,2.296665190261531
223,0.491,Pyruvic acid,D-Glucose,Enterobacter,2,48,0.040830626307203355,-1.3890139583166246,-0.3089185078770315
224,0.0,Alanine,D-Glucose,Enterobacter,2,48,0.04924974119804304,-1.307596047329966,-inf
225,0.505,Asparagine,D-Glucose,Enterobacter,2,48,0.05861131589811053,-1.2320185280489766,-0.2967086218813386
226,14.0,Propionic acid,D-Glucose,Enterobacter,2,48,0.056497973999025675,-1.2479671255755957,1.146128035678238
227,3.03,Glycine,D-Glucose,Enterobacter,2,48,0.028098031801826462,-1.5513241002921763,0.48144262850230496
228,0.0,Valine,D-Glucose,Enterobacter,2,48,0.09421025204151001,-1.0259018343324946,-inf
229,2.07,Butyric acid,D-Glucose,Enterobacter,2,48,0.07365132890740378,-1.1328194126781639,0.3159703454569177
230,0.36,Serine,D-Glucose,Enterobacter,2,48,0.046224276673567655,-1.3351298760397683,-0.44369749923271273
231,25.1,Acetyl-ornithine,D-Glucose,Enterobacter,2,48,0.12899295949505007,-0.8894339930797603,1.3996737214810382
232,0.486,Valeric acid,D-Glucose,Enterobacter,2,48,,,-0.3133637307377066
233,19.7,Fumaric acid,D-Glucose,Enterobacter,2,48,0.05339376534566065,-1.2725094514743316,1.294466226161593
234,0.0,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,48,0.06891003967401388,-1.161717500046125,-inf
235,0.0,Putrescine,D-Glucose,Enterobacter,2,48,0.10003721892554163,-0.9998383903329746,-inf
236,0.0,Hippuric acid,D-Glucose,Enterobacter,2,48,,,-inf
237,6160.0,Acetic acid,D-Glucose,Enterobacter,2,48,0.029587159450122913,-1.5288967277881196,3.7895807121644256
238,0.189,Methionine,D-Glucose,Enterobacter,2,48,0.1577201028715003,-0.8021129483341026,-0.7235381958267558
239,14.5,Citric acid,D-Glucose,Enterobacter,2,48,0.0782223114217051,-1.1066693550566018,1.1613680022349748
240,0.0,Valine,D-Glucose,Pputida,1,16,0.09837981633331605,-1.0070939925665006,-inf
241,0.0,beta-Hydroxybutyric acid,D-Glucose,Pputida,1,16,,,-inf
242,0.0412,Fumaric acid,D-Glucose,Pputida,1,16,0.055409321842692094,-1.2564171651582516,-1.3851027839668655
243,0.0,Serine,D-Glucose,Pputida,1,16,0.0463629019501699,-1.3338293884655104,-inf
244,0.0,Alanine,D-Glucose,Pputida,1,16,0.04975530940980466,-1.303160568700226,-inf
245,0.833,Succinic acid,D-Glucose,Pputida,1,16,0.059932531789419485,-1.2223373755831852,-0.07935499859321243
246,0.0,Lactic acid,D-Glucose,Pputida,1,16,0.046362901950083524,-1.3338293884663193,-inf
247,105.0,Acetic acid,D-Glucose,Pputida,1,16,0.029400864651485392,-1.531639897212092,2.0211892990699383
248,22.7,Pyruvic acid,D-Glucose,Pputida,1,16,0.04183969200406423,-1.3784115211156311,1.3560258571931227
249,0.154,alpha-Ketoglutaric acid,D-Glucose,Pputida,1,16,0.07237135914179849,-1.1404332712009393,-0.8124792791635369
250,0.0,Putrescine,D-Glucose,Pputida,1,16,0.10290302627988801,-0.9875718528631282,-inf
