,Sample_id,Carbon source,Hours,AUC [gDW*h/L],Bioreactor,Timepoint,Metabolite,Z-score
14,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,12.0,2.076109938736786,REL02,2,"1,3-diaminopropane",-0.252109755388608
15,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,18.0,1.718588757293409,REL08,3,"1,3-diaminopropane",-0.0345791425257574
16,SM_MPTA_112023_M9_L-malate_002_44,L-malate,0.0,0.0,,0,"1,3-diaminopropane",-0.5480366187564876
17,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,18.0,1.9627468841916456,REL07,3,"1,3-diaminopropane",0.6740068674219565
18,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,6.0,0.2093431136310292,REL06,1,"1,3-diaminopropane",0.761568049456013
19,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,0.0,0.0,,0,"1,3-diaminopropane",0.6304445794226227
20,SM_MPTA_112023_M9_L-malate_001_43,L-malate,0.0,0.0,,0,"1,3-diaminopropane",-0.4123270852359363
21,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,6.0,0.2588140496960388,REL04,1,"1,3-diaminopropane",-0.3846020134227347
22,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,8.0,0.4312240363242068,REL03,1,"1,3-diaminopropane",-0.9643908405435582
23,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,18.0,8.140262892924916,REL02,4,"1,3-diaminopropane",0.1136233518935195
24,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,22.0,4.314250397619318,REL08,4,"1,3-diaminopropane",0.4579249597660841
25,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,18.0,7.65846961218036,REL01,4,"1,3-diaminopropane",-3.2936132505106506
26,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,16.0,3.4179267393150816,REL03,3,"1,3-diaminopropane",-0.7524064413181567
27,SM_MPTA_112023_M9_L-malate_003_45,L-malate,0.0,0.0,,0,"1,3-diaminopropane",-0.7809716431119588
28,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,12.0,2.385225810049673,REL06,4,"1,3-diaminopropane",1.0650869565430716
29,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,9.25,0.7606505791012634,REL06,2,"1,3-diaminopropane",0.1281815696174623
30,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,18.0,1.7064401126297837,REL09,3,"1,3-diaminopropane",1.826464884884281
31,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,22.0,4.508036095424472,REL07,4,"1,3-diaminopropane",-0.529850883453777
32,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,10.0,0.9785183455570544,REL05,2,"1,3-diaminopropane",-1.6631222271588757
33,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,14.0,3.5031324525164917,REL02,3,"1,3-diaminopropane",-0.7039473536318647
34,SM_MPTA_112023_M9_Galactose_003_42,Galactose,0.0,0.0,,0,"1,3-diaminopropane",-1.3263419988749197
35,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,20.0,7.426058906659442,REL03,4,"1,3-diaminopropane",-0.9599426073254532
36,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,16.0,1.099304187854922,REL08,2,"1,3-diaminopropane",-0.9168245989142354
37,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,10.0,0.3217909293828691,REL08,1,"1,3-diaminopropane",1.2470866652105013
38,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,10.0,0.296012098023468,REL09,1,"1,3-diaminopropane",0.451843949098737
39,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,0.0,0.0,,0,"1,3-diaminopropane",-0.434248728575039
40,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,16.0,1.1067118980156694,REL09,2,"1,3-diaminopropane",0.2018525082628991
41,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,14.0,2.1848684507093163,REL03,2,"1,3-diaminopropane",-0.1806504155169054
42,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,13.0,2.7850460023716854,REL05,4,"1,3-diaminopropane",2.315880938854926
43,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,9.25,1.034068337324968,REL04,2,"1,3-diaminopropane",0.8144604058472912
44,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,10.0,1.0771807208731472,REL06,3,"1,3-diaminopropane",0.7671041638945393
45,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,10.0,1.4313031841181596,REL04,3,"2,5-dihydroxybenzoate",1.3286032399351522
46,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,16.0,1.224938952181199,REL07,2,"2,5-dihydroxybenzoate",-0.0911363424054268
47,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,12.0,2.865121839561659,REL04,4,"2,5-dihydroxybenzoate",1.658501214326784
