Hours,Well,Carbon source,Replicate,OD600
30.23611111111111,E3,Galactose,1,0.8447
30.48611111111111,E3,Galactose,1,0.8458
30.73611111111111,E3,Galactose,1,0.8467
30.98611111111111,E3,Galactose,1,0.847
31.23611111111111,E3,Galactose,1,0.8481
31.48611111111111,E3,Galactose,1,0.8483
31.73611111111111,E3,Galactose,1,0.8506
31.98611111111111,E3,Galactose,1,0.8522
32.236111111111114,E3,Galactose,1,0.8531
32.486111111111114,E3,Galactose,1,0.8568
32.736111111111114,E3,Galactose,1,0.8593
32.986111111111114,E3,Galactose,1,0.8608
33.236111111111114,E3,Galactose,1,0.866
33.486111111111114,E3,Galactose,1,0.8716
33.736111111111114,E3,Galactose,1,0.874
33.986111111111114,E3,Galactose,1,0.878
34.236111111111114,E3,Galactose,1,0.8808
34.486111111111114,E3,Galactose,1,0.8847
34.736111111111114,E3,Galactose,1,0.8904
34.986111111111114,E3,Galactose,1,0.8858
35.236111111111114,E3,Galactose,1,0.8929
35.486111111111114,E3,Galactose,1,0.8964
35.736111111111114,E3,Galactose,1,0.8981
35.986111111111114,E3,Galactose,1,0.9017
36.236111111111114,E3,Galactose,1,0.9051
36.486111111111114,E3,Galactose,1,0.9056
36.736111111111114,E3,Galactose,1,0.907
36.986111111111114,E3,Galactose,1,0.9081
37.236111111111114,E3,Galactose,1,0.9093
37.486111111111114,E3,Galactose,1,0.9102
37.736111111111114,E3,Galactose,1,0.9115
37.986111111111114,E3,Galactose,1,0.9119
38.236111111111114,E3,Galactose,1,0.9149
38.486111111111114,E3,Galactose,1,0.9118
38.736111111111114,E3,Galactose,1,0.9156
38.986111111111114,E3,Galactose,1,0.917
39.236111111111114,E3,Galactose,1,0.9197
39.486111111111114,E3,Galactose,1,0.9206
39.736111111111114,E3,Galactose,1,0.9191
39.986111111111114,E3,Galactose,1,0.9229
40.236111111111114,E3,Galactose,1,0.9218
40.486111111111114,E3,Galactose,1,0.924
40.736111111111114,E3,Galactose,1,0.9227
40.986111111111114,E3,Galactose,1,0.9179
41.236111111111114,E3,Galactose,1,0.9216
41.486111111111114,E3,Galactose,1,0.9182
41.736111111111114,E3,Galactose,1,0.9219
41.986111111111114,E3,Galactose,1,0.9197
42.236111111111114,E3,Galactose,1,0.9132
42.486111111111114,E3,Galactose,1,0.9176
42.736111111111114,E3,Galactose,1,0.9165
42.986111111111114,E3,Galactose,1,0.9176
43.236111111111114,E3,Galactose,1,0.9127
43.486111111111114,E3,Galactose,1,0.9105
43.736111111111114,E3,Galactose,1,0.9134
43.986111111111114,E3,Galactose,1,0.9117
44.236111111111114,E3,Galactose,1,0.9074
44.486111111111114,E3,Galactose,1,0.908
44.736111111111114,E3,Galactose,1,0.9069
44.986111111111114,E3,Galactose,1,0.9055
45.236111111111114,E3,Galactose,1,0.9049
45.486111111111114,E3,Galactose,1,0.9011
45.736111111111114,E3,Galactose,1,0.9096
45.986111111111114,E3,Galactose,1,0.9078
46.236111111111114,E3,Galactose,1,0.9077
46.486111111111114,E3,Galactose,1,0.9078
46.736111111111114,E3,Galactose,1,0.9017
46.986111111111114,E3,Galactose,1,0.9047
47.236111111111114,E3,Galactose,1,0.9034
47.486111111111114,E3,Galactose,1,0.901
47.736111111111114,E3,Galactose,1,0.9019
