,Sample_id,Carbon source,Metabolite,Concentration [uM],Hours,Bioreactor,AUC [gDW*h/L],Z-score
44,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,"1,3-diaminopropane",,10.0,REL06,1.0771807208731472,0.7671041638945393
45,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,"2,5-dihydroxybenzoate",,10.0,REL04,1.4313031841181596,1.3286032399351522
46,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,"2,5-dihydroxybenzoate",,16.0,REL07,1.224938952181199,-0.0911363424054268
47,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,"2,5-dihydroxybenzoate",,12.0,REL04,2.865121839561659,1.658501214326784
48,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,"2,5-dihydroxybenzoate",,6.0,REL01,0.3027227371464714,-1.1097935085265638
49,SM_MPTA_112023_M9_Galactose_001_40,Galactose,"2,5-dihydroxybenzoate",,0.0,,0.0,
50,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,"2,5-dihydroxybenzoate",,0.0,,0.0,
51,SM_MPTA_112023_M9_Galactose_002_41,Galactose,"2,5-dihydroxybenzoate",,0.0,,0.0,
52,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,"2,5-dihydroxybenzoate",,14.0,REL01,3.657264738592213,-0.2508962472620838
53,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,"2,5-dihydroxybenzoate",,10.0,REL07,0.3182352285057104,-0.7974334780669226
54,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,"2,5-dihydroxybenzoate",,6.0,REL05,0.1847473940054876,-0.8669732460155612
55,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,"2,5-dihydroxybenzoate",,12.0,REL01,2.122869171591218,-0.3262466206282822
56,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,"2,5-dihydroxybenzoate",,6.0,REL02,0.3061863840245775,-1.1190841987215905
57,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,"2,5-dihydroxybenzoate",,22.0,REL09,3.9376424130469174,0.6080188158632478
58,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,"2,5-dihydroxybenzoate",,11.0,REL05,1.4913949991123805,1.846680243727797
59,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,"2,5-dihydroxybenzoate",,12.0,REL02,2.076109938736786,-0.8451005538623784
60,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,"2,5-dihydroxybenzoate",,18.0,REL08,1.718588757293409,-0.3097961818077603
61,SM_MPTA_112023_M9_L-malate_002_44,L-malate,"2,5-dihydroxybenzoate",,0.0,,0.0,
62,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,"2,5-dihydroxybenzoate",,18.0,REL07,1.9627468841916456,0.1436256212091705
63,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,"2,5-dihydroxybenzoate",,6.0,REL06,0.2093431136310292,-0.9332764680086636
64,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,"2,5-dihydroxybenzoate",,0.0,,0.0,
65,SM_MPTA_112023_M9_L-malate_001_43,L-malate,"2,5-dihydroxybenzoate",,0.0,,0.0,
66,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,"2,5-dihydroxybenzoate",,6.0,REL04,0.2588140496960388,-0.8202964988962006
67,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,"2,5-dihydroxybenzoate",,8.0,REL03,0.4312240363242068,-1.1525725233157538
68,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,"2,5-dihydroxybenzoate",,18.0,REL02,8.140262892924916,-0.2334250347197814
69,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,"2,5-dihydroxybenzoate",,22.0,REL08,4.314250397619318,0.1735134818948803
70,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,"2,5-dihydroxybenzoate",,18.0,REL01,7.65846961218036,-1.4263767344757694
71,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,"2,5-dihydroxybenzoate",,16.0,REL03,3.4179267393150816,-0.3818219533583522
72,SM_MPTA_112023_M9_L-malate_003_45,L-malate,"2,5-dihydroxybenzoate",,0.0,,0.0,
73,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,"2,5-dihydroxybenzoate",,12.0,REL06,2.385225810049673,2.202271365619813
74,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,"2,5-dihydroxybenzoate",,9.25,REL06,0.7606505791012634,0.2457288730665774
75,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,"2,5-dihydroxybenzoate",,18.0,REL09,1.7064401126297837,0.1182085612600476
76,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,"2,5-dihydroxybenzoate",,22.0,REL07,4.508036095424472,0.4105975229681747
77,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,"2,5-dihydroxybenzoate",,10.0,REL05,0.9785183455570544,1.2289314096836896
78,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,"2,5-dihydroxybenzoate",,14.0,REL02,3.5031324525164917,-0.3037669534947358
79,SM_MPTA_112023_M9_Galactose_003_42,Galactose,"2,5-dihydroxybenzoate",,0.0,,0.0,
80,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,"2,5-dihydroxybenzoate",,20.0,REL03,7.426058906659442,-0.0683027488335096
81,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,"2,5-dihydroxybenzoate",,16.0,REL08,1.099304187854922,-0.5991737363950368
82,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,"2,5-dihydroxybenzoate",,10.0,REL08,0.3217909293828691,-0.8916406000154684
83,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,"2,5-dihydroxybenzoate",,10.0,REL09,0.296012098023468,-0.7592402783924372
84,SM_MPTA_112023_M9_L-alanine_002_38,L-alanine,"2,5-dihydroxybenzoate",,0.0,,0.0,
85,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,"2,5-dihydroxybenzoate",,16.0,REL09,1.1067118980156694,-0.2186294674116796
86,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,"2,5-dihydroxybenzoate",,14.0,REL03,2.1848684507093163,-0.8067360145276791
87,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,"2,5-dihydroxybenzoate",,13.0,REL05,2.7850460023716854,2.3638751940263996
88,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,"2,5-dihydroxybenzoate",,9.25,REL04,1.034068337324968,0.9505340136377745
89,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,"2,5-dihydroxybenzoate",,10.0,REL06,1.0771807208731472,1.032629831922126
90,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,2-aminoisobutyrate,,10.0,REL04,1.4313031841181596,-0.8413432748125277
91,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,2-aminoisobutyrate,,16.0,REL07,1.224938952181199,0.6401422114953064
92,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,2-aminoisobutyrate,,12.0,REL04,2.865121839561659,
93,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,2-aminoisobutyrate,,6.0,REL01,0.3027227371464714,
94,SM_MPTA_112023_M9_Galactose_001_40,Galactose,2-aminoisobutyrate,,0.0,,0.0,
95,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,2-aminoisobutyrate,,0.0,,0.0,-0.8392156306018421
96,SM_MPTA_112023_M9_Galactose_002_41,Galactose,2-aminoisobutyrate,,0.0,,0.0,
97,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,2-aminoisobutyrate,,14.0,REL01,3.657264738592213,
98,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,2-aminoisobutyrate,,10.0,REL07,0.3182352285057104,-0.3521647179038928
99,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,2-aminoisobutyrate,,6.0,REL05,0.1847473940054876,
100,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,2-aminoisobutyrate,,12.0,REL01,2.122869171591218,
101,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,2-aminoisobutyrate,,6.0,REL02,0.3061863840245775,
102,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,2-aminoisobutyrate,,22.0,REL09,3.9376424130469174,
103,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,2-aminoisobutyrate,,11.0,REL05,1.4913949991123805,
104,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,2-aminoisobutyrate,,12.0,REL02,2.076109938736786,
105,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,2-aminoisobutyrate,,18.0,REL08,1.718588757293409,1.4890523183842383
106,SM_MPTA_112023_M9_L-malate_002_44,L-malate,2-aminoisobutyrate,,0.0,,0.0,
107,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,2-aminoisobutyrate,,18.0,REL07,1.9627468841916456,1.690193658560629
108,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,2-aminoisobutyrate,,6.0,REL06,0.2093431136310292,
109,SM_MPTA_112023_M9_L-alanine_003_39,L-alanine,2-aminoisobutyrate,,0.0,,0.0,-0.8392159678302844
110,SM_MPTA_112023_M9_L-malate_001_43,L-malate,2-aminoisobutyrate,,0.0,,0.0,
111,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,2-aminoisobutyrate,,6.0,REL04,0.2588140496960388,
112,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,2-aminoisobutyrate,,8.0,REL03,0.4312240363242068,
113,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,2-aminoisobutyrate,,18.0,REL02,8.140262892924916,
