Time,AUC,OD
0,0.0,0.5
1,0.175422,0.514
2,0.3649146666666666,0.608
3,0.6081238333333333,0.817
4,0.9959033333333331,1.595
5,1.6711223333333332,2.295
6,2.8250899999999994,5.085
7,5.195478333333333,8.765
8,8.98908,13.3
9,14.102239166666665,15.94
10,19.92729333333333,17.78
11,26.084651666666666,17.45
12,31.88505333333333,16.1
13,37.40087,15.99
14,42.88785333333333,15.34
15,48.04556,14.43
16,52.952993333333325,14.21
17,57.77680999999999,13.61
