Well,OD,Time,Strain,Carbon_Source,Replicate
A01,0.0365,19.66666667,Ecoli,Ctrl,1
A01,0.0366,19.83333333,Ecoli,Ctrl,1
A01,0.0365,20,Ecoli,Ctrl,1
A01,0.0365,20.16666667,Ecoli,Ctrl,1
A01,0.0364,20.33333333,Ecoli,Ctrl,1
A01,0.0365,20.5,Ecoli,Ctrl,1
A01,0.0365,20.66666667,Ecoli,Ctrl,1
A01,0.0365,20.83333333,Ecoli,Ctrl,1
A01,0.0366,21,Ecoli,Ctrl,1
A01,0.0364,21.16666667,Ecoli,Ctrl,1
A01,0.0366,21.33333333,Ecoli,Ctrl,1
A01,0.0366,21.5,Ecoli,Ctrl,1
A01,0.0365,21.66666667,Ecoli,Ctrl,1
A01,0.0365,21.83333333,Ecoli,Ctrl,1
A01,0.0365,22,Ecoli,Ctrl,1
A01,0.0366,22.16666667,Ecoli,Ctrl,1
A01,0.0365,22.33333333,Ecoli,Ctrl,1
A01,0.0365,22.5,Ecoli,Ctrl,1
A01,0.0364,22.66666667,Ecoli,Ctrl,1
A01,0.0365,22.83333333,Ecoli,Ctrl,1
A01,0.0364,23,Ecoli,Ctrl,1
A01,0.0364,23.16666667,Ecoli,Ctrl,1
A01,0.0366,23.33333333,Ecoli,Ctrl,1
A01,0.0366,23.5,Ecoli,Ctrl,1
A01,0.0365,23.66666667,Ecoli,Ctrl,1
A01,0.0365,23.83333333,Ecoli,Ctrl,1
A01,0.0365,24,Ecoli,Ctrl,1
A01,0.0364,24.16666667,Ecoli,Ctrl,1
A01,0.0366,24.33333333,Ecoli,Ctrl,1
A01,0.0365,24.5,Ecoli,Ctrl,1
A01,0.0364,24.66666667,Ecoli,Ctrl,1
A01,0.0365,24.83333333,Ecoli,Ctrl,1
A01,0.0365,25,Ecoli,Ctrl,1
A01,0.0366,25.16666667,Ecoli,Ctrl,1
A01,0.0366,25.33333333,Ecoli,Ctrl,1
A01,0.0366,25.5,Ecoli,Ctrl,1
A01,0.0366,25.66666667,Ecoli,Ctrl,1
A01,0.0364,25.83333333,Ecoli,Ctrl,1
A01,0.0366,26,Ecoli,Ctrl,1
A01,0.0365,26.16666667,Ecoli,Ctrl,1
A01,0.0365,26.33333333,Ecoli,Ctrl,1
A01,0.0365,26.5,Ecoli,Ctrl,1
A01,0.0366,26.66666667,Ecoli,Ctrl,1
A01,0.0367,26.83333333,Ecoli,Ctrl,1
A01,0.0366,27,Ecoli,Ctrl,1
A01,0.0365,27.16666667,Ecoli,Ctrl,1
A01,0.0367,27.33333333,Ecoli,Ctrl,1
A01,0.0368,27.5,Ecoli,Ctrl,1
A01,0.0368,27.66666667,Ecoli,Ctrl,1
A01,0.0365,27.83333333,Ecoli,Ctrl,1
A01,0.0366,28,Ecoli,Ctrl,1
A01,0.0367,28.16666667,Ecoli,Ctrl,1
A01,0.0366,28.33333333,Ecoli,Ctrl,1
A01,0.0365,28.5,Ecoli,Ctrl,1
A01,0.0367,28.66666667,Ecoli,Ctrl,1
A01,0.0367,28.83333333,Ecoli,Ctrl,1
A01,0.0367,29,Ecoli,Ctrl,1
A01,0.0368,29.16666667,Ecoli,Ctrl,1
A01,0.0368,29.33333333,Ecoli,Ctrl,1
A01,0.0366,29.5,Ecoli,Ctrl,1
A01,0.0366,29.66666667,Ecoli,Ctrl,1
A01,0.0368,29.83333333,Ecoli,Ctrl,1
A01,0.0367,30,Ecoli,Ctrl,1
A01,0.0367,30.16666667,Ecoli,Ctrl,1
