Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
17,Fumaric acid,L-Malate,Ecoli,1,16
0,Acetic acid,L-Malate,Ecoli,1,16
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,16
0,Putrescine,L-Malate,Ecoli,1,16
0.225,Methionine,L-Malate,Ecoli,1,16
0,Valine,L-Malate,Ecoli,2,16
0,Alanine,L-Malate,Ecoli,2,16
0.237,Pyruvic acid,L-Malate,Ecoli,2,16
26.5,Succinic acid,L-Malate,Ecoli,2,16
0.81,Serine,L-Malate,Ecoli,2,16
0.5,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,16
0.329,Valeric acid,L-Malate,Ecoli,2,16
1.69,Citric acid,L-Malate,Ecoli,2,16
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,16
0,Methionine,L-Malate,Ecoli,2,16
0,Glycine,L-Malate,Ecoli,2,16
0,Butyric acid,L-Malate,Ecoli,2,16
0,Lactic acid,L-Malate,Ecoli,2,16
19.7,Fumaric acid,L-Malate,Ecoli,2,16
0.196,Acetyl-ornithine,L-Malate,Ecoli,2,16
0.906,Propionic acid,L-Malate,Ecoli,2,16
0.362,Asparagine,L-Malate,Ecoli,2,16
0.14,Putrescine,L-Malate,Ecoli,2,16
0,Acetic acid,L-Malate,Ecoli,2,16
0.16,Hippuric acid,L-Malate,Ecoli,2,16
2.59,Propionic acid,L-Malate,Ecoli,1,28
0,Glycine,L-Malate,Ecoli,1,28
1.07,Serine,L-Malate,Ecoli,1,28
0.603,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,28
40.1,Succinic acid,L-Malate,Ecoli,1,28
0,Lactic acid,L-Malate,Ecoli,1,28
0.102,Putrescine,L-Malate,Ecoli,1,28
0,Valine,L-Malate,Ecoli,1,28
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,28
0,Alanine,L-Malate,Ecoli,1,28
0,Acetyl-ornithine,L-Malate,Ecoli,1,28
0.428,Pyruvic acid,L-Malate,Ecoli,1,28
0,Butyric acid,L-Malate,Ecoli,1,28
0.426,Asparagine,L-Malate,Ecoli,1,28
35.8,Fumaric acid,L-Malate,Ecoli,1,28
0.229,Hippuric acid,L-Malate,Ecoli,1,28
52.5,Acetic acid,L-Malate,Ecoli,1,28
0.475,Valeric acid,L-Malate,Ecoli,1,28
0.0768,Methionine,L-Malate,Ecoli,1,28
1.98,Citric acid,L-Malate,Ecoli,1,28
0,Alanine,L-Malate,Ecoli,2,28
36.2,Fumaric acid,L-Malate,Ecoli,2,28
1.93,Serine,L-Malate,Ecoli,2,28
0,Asparagine,L-Malate,Ecoli,2,28
0.805,Butyric acid,L-Malate,Ecoli,2,28
0,Lactic acid,L-Malate,Ecoli,2,28
6.22,Propionic acid,L-Malate,Ecoli,2,28
39.8,Succinic acid,L-Malate,Ecoli,2,28
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,28
0,Glycine,L-Malate,Ecoli,2,28
0,Valine,L-Malate,Ecoli,2,28
1.97,Citric acid,L-Malate,Ecoli,2,28
0.206,Pyruvic acid,L-Malate,Ecoli,2,28
0.643,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,28
0.398,Acetyl-ornithine,L-Malate,Ecoli,2,28
1.39,Valeric acid,L-Malate,Ecoli,2,28
94,Acetic acid,L-Malate,Ecoli,2,28
0,Putrescine,L-Malate,Ecoli,2,28
0.277,Hippuric acid,L-Malate,Ecoli,2,28
0,Methionine,L-Malate,Ecoli,2,28
53,Pyruvic acid,L-Malate,Ecoli,1,48
0,alpha-Ketoglutaric acid,L-Malate,Ecoli,1,48
1.28,Serine,L-Malate,Ecoli,1,48
0,Valine,L-Malate,Ecoli,1,48
0.114,Asparagine,L-Malate,Ecoli,1,48
1.08,Butyric acid,L-Malate,Ecoli,1,48
0,Lactic acid,L-Malate,Ecoli,1,48
0,Glycine,L-Malate,Ecoli,1,48
0,Alanine,L-Malate,Ecoli,1,48
5.01,Citric acid,L-Malate,Ecoli,1,48
194,Succinic acid,L-Malate,Ecoli,1,48
1.81,beta-Hydroxybutyric acid,L-Malate,Ecoli,1,48
0.872,Acetyl-ornithine,L-Malate,Ecoli,1,48
700,Acetic acid,L-Malate,Ecoli,1,48
0,Methionine,L-Malate,Ecoli,1,48
176,Fumaric acid,L-Malate,Ecoli,1,48
1.72,Valeric acid,L-Malate,Ecoli,1,48
0.302,Hippuric acid,L-Malate,Ecoli,1,48
12.3,Propionic acid,L-Malate,Ecoli,1,48
0,Putrescine,L-Malate,Ecoli,1,48
0,Alanine,L-Malate,Ecoli,2,48
0,Lactic acid,L-Malate,Ecoli,2,48
0,Valine,L-Malate,Ecoli,2,48
716,Succinic acid,L-Malate,Ecoli,2,48
0.0432,alpha-Ketoglutaric acid,L-Malate,Ecoli,2,48
0,Glycine,L-Malate,Ecoli,2,48
49.5,Pyruvic acid,L-Malate,Ecoli,2,48
0.433,Asparagine,L-Malate,Ecoli,2,48
0.822,Serine,L-Malate,Ecoli,2,48
2.61,beta-Hydroxybutyric acid,L-Malate,Ecoli,2,48
22.3,Propionic acid,L-Malate,Ecoli,2,48
980,Acetic acid,L-Malate,Ecoli,2,48
0,Putrescine,L-Malate,Ecoli,2,48
3.79,Acetyl-ornithine,L-Malate,Ecoli,2,48
0.385,Hippuric acid,L-Malate,Ecoli,2,48
0.107,Methionine,L-Malate,Ecoli,2,48
465,Fumaric acid,L-Malate,Ecoli,2,48
2.44,Butyric acid,L-Malate,Ecoli,2,48
7.26,Citric acid,L-Malate,Ecoli,2,48
1.99,Valeric acid,L-Malate,Ecoli,2,48
0.491,Serine,L-Malate,Enterobacter,1,16
0.196,Putrescine,L-Malate,Enterobacter,1,16
0,Asparagine,L-Malate,Enterobacter,1,16
0,Methionine,L-Malate,Enterobacter,1,16
0,Valine,L-Malate,Enterobacter,1,16
0,Alanine,L-Malate,Enterobacter,1,16
0,Glycine,L-Malate,Enterobacter,1,16
0,Acetyl-ornithine,L-Malate,Enterobacter,1,16
2.79,Propionic acid,L-Malate,Enterobacter,1,16
80.2,Succinic acid,L-Malate,Enterobacter,1,16
0,Lactic acid,L-Malate,Enterobacter,1,16
0.636,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,16
0.564,Valeric acid,L-Malate,Enterobacter,1,16
260,Pyruvic acid,L-Malate,Enterobacter,1,16
2.73,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,16
0.165,Hippuric acid,L-Malate,Enterobacter,1,16
4.16,Citric acid,L-Malate,Enterobacter,1,16
0,Butyric acid,L-Malate,Enterobacter,1,16
23,Fumaric acid,L-Malate,Enterobacter,1,16
766,Acetic acid,L-Malate,Enterobacter,1,16
0,Valine,L-Malate,Enterobacter,2,16
1.6,Serine,L-Malate,Enterobacter,2,16
0.76,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,16
30.7,Fumaric acid,L-Malate,Enterobacter,2,16
0,Alanine,L-Malate,Enterobacter,2,16
0,Asparagine,L-Malate,Enterobacter,2,16
0,Putrescine,L-Malate,Enterobacter,2,16
0,Lactic acid,L-Malate,Enterobacter,2,16
0,Glycine,L-Malate,Enterobacter,2,16
1.5,Propionic acid,L-Malate,Enterobacter,2,16
109,Succinic acid,L-Malate,Enterobacter,2,16
3.48,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,16
1030,Acetic acid,L-Malate,Enterobacter,2,16
304,Pyruvic acid,L-Malate,Enterobacter,2,16
0,Butyric acid,L-Malate,Enterobacter,2,16
4.82,Citric acid,L-Malate,Enterobacter,2,16
0.153,Hippuric acid,L-Malate,Enterobacter,2,16
0,Methionine,L-Malate,Enterobacter,2,16
0,Valeric acid,L-Malate,Enterobacter,2,16
0.552,Acetyl-ornithine,L-Malate,Enterobacter,2,16
0,Alanine,L-Malate,Enterobacter,1,28
0,Serine,L-Malate,Enterobacter,1,28
0,Glycine,L-Malate,Enterobacter,1,28
2.52,Acetyl-ornithine,L-Malate,Enterobacter,1,28
9.07,Propionic acid,L-Malate,Enterobacter,1,28
2.78,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,28
101,Fumaric acid,L-Malate,Enterobacter,1,28
0,Lactic acid,L-Malate,Enterobacter,1,28
103,Pyruvic acid,L-Malate,Enterobacter,1,28
0,Valine,L-Malate,Enterobacter,1,28
472,Succinic acid,L-Malate,Enterobacter,1,28
1.32,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,28
0.205,Hippuric acid,L-Malate,Enterobacter,1,28
0.117,Putrescine,L-Malate,Enterobacter,1,28
0,Asparagine,L-Malate,Enterobacter,1,28
2.02,Butyric acid,L-Malate,Enterobacter,1,28
0.212,Methionine,L-Malate,Enterobacter,1,28
3320,Acetic acid,L-Malate,Enterobacter,1,28
3.5,Citric acid,L-Malate,Enterobacter,1,28
0.277,Valeric acid,L-Malate,Enterobacter,1,28
487,Succinic acid,L-Malate,Enterobacter,2,28
0,Asparagine,L-Malate,Enterobacter,2,28
102,Pyruvic acid,L-Malate,Enterobacter,2,28
0,Glycine,L-Malate,Enterobacter,2,28
3430,Acetic acid,L-Malate,Enterobacter,2,28
0,Alanine,L-Malate,Enterobacter,2,28
2.87,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,28
2.61,Acetyl-ornithine,L-Malate,Enterobacter,2,28
0.177,Methionine,L-Malate,Enterobacter,2,28
0.228,Hippuric acid,L-Malate,Enterobacter,2,28
10.6,Propionic acid,L-Malate,Enterobacter,2,28
3.42,Citric acid,L-Malate,Enterobacter,2,28
0,Lactic acid,L-Malate,Enterobacter,2,28
1.15,Serine,L-Malate,Enterobacter,2,28
0,Valine,L-Malate,Enterobacter,2,28
1.36,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,28
0.102,Putrescine,L-Malate,Enterobacter,2,28
0.849,Valeric acid,L-Malate,Enterobacter,2,28
2.82,Butyric acid,L-Malate,Enterobacter,2,28
101,Fumaric acid,L-Malate,Enterobacter,2,28
0,Valine,L-Malate,Enterobacter,1,48
0,Pyruvic acid,L-Malate,Enterobacter,1,48
0.165,Succinic acid,L-Malate,Enterobacter,1,48
6.03,beta-Hydroxybutyric acid,L-Malate,Enterobacter,1,48
0.132,Fumaric acid,L-Malate,Enterobacter,1,48
0,Asparagine,L-Malate,Enterobacter,1,48
1010,Acetic acid,L-Malate,Enterobacter,1,48
5.26,Butyric acid,L-Malate,Enterobacter,1,48
5.6,Citric acid,L-Malate,Enterobacter,1,48
2.11,Serine,L-Malate,Enterobacter,1,48
0,Putrescine,L-Malate,Enterobacter,1,48
0,Alanine,L-Malate,Enterobacter,1,48
13.7,Propionic acid,L-Malate,Enterobacter,1,48
0,Lactic acid,L-Malate,Enterobacter,1,48
2.81,Acetyl-ornithine,L-Malate,Enterobacter,1,48
1.02,Valeric acid,L-Malate,Enterobacter,1,48
0.272,Hippuric acid,L-Malate,Enterobacter,1,48
0,alpha-Ketoglutaric acid,L-Malate,Enterobacter,1,48
0,Glycine,L-Malate,Enterobacter,1,48
0.241,Methionine,L-Malate,Enterobacter,1,48
0.2,Succinic acid,L-Malate,Enterobacter,2,48
0,Alanine,L-Malate,Enterobacter,2,48
0,Pyruvic acid,L-Malate,Enterobacter,2,48
0,Valine,L-Malate,Enterobacter,2,48
0,Glycine,L-Malate,Enterobacter,2,48
6.41,beta-Hydroxybutyric acid,L-Malate,Enterobacter,2,48
0.16,Fumaric acid,L-Malate,Enterobacter,2,48
0.545,Serine,L-Malate,Enterobacter,2,48
16.3,Propionic acid,L-Malate,Enterobacter,2,48
0,alpha-Ketoglutaric acid,L-Malate,Enterobacter,2,48
0,Asparagine,L-Malate,Enterobacter,2,48
2.83,Acetyl-ornithine,L-Malate,Enterobacter,2,48
0.264,Hippuric acid,L-Malate,Enterobacter,2,48
6.53,Butyric acid,L-Malate,Enterobacter,2,48
1.11,Valeric acid,L-Malate,Enterobacter,2,48
0,Lactic acid,L-Malate,Enterobacter,2,48
0.12,Methionine,L-Malate,Enterobacter,2,48
5.74,Citric acid,L-Malate,Enterobacter,2,48
1160,Acetic acid,L-Malate,Enterobacter,2,48
0,Putrescine,L-Malate,Enterobacter,2,48
5.4,alpha-Ketoglutaric acid,L-Malate,Pputida,1,16
0,Butyric acid,L-Malate,Pputida,1,16
0,Glycine,L-Malate,Pputida,1,16
39.3,Succinic acid,L-Malate,Pputida,1,16
0.394,Serine,L-Malate,Pputida,1,16
1.49,beta-Hydroxybutyric acid,L-Malate,Pputida,1,16
0,Alanine,L-Malate,Pputida,1,16
338,Pyruvic acid,L-Malate,Pputida,1,16
7.03,Citric acid,L-Malate,Pputida,1,16
0,Putrescine,L-Malate,Pputida,1,16
0,Valine,L-Malate,Pputida,1,16
0,Asparagine,L-Malate,Pputida,1,16
1.48,Propionic acid,L-Malate,Pputida,1,16
0.473,Acetyl-ornithine,L-Malate,Pputida,1,16
0.181,Hippuric acid,L-Malate,Pputida,1,16
25.1,Acetic acid,L-Malate,Pputida,1,16
0.494,Valeric acid,L-Malate,Pputida,1,16
6.06,Fumaric acid,L-Malate,Pputida,1,16
0,Lactic acid,L-Malate,Pputida,1,16
0.245,Methionine,L-Malate,Pputida,1,16
0,Valine,L-Malate,Pputida,2,16
0,Lactic acid,L-Malate,Pputida,2,16
6.21,alpha-Ketoglutaric acid,L-Malate,Pputida,2,16
1.14,beta-Hydroxybutyric acid,L-Malate,Pputida,2,16
41.5,Succinic acid,L-Malate,Pputida,2,16
2.05,Serine,L-Malate,Pputida,2,16
0,Alanine,L-Malate,Pputida,2,16
353,Pyruvic acid,L-Malate,Pputida,2,16
0.92,Propionic acid,L-Malate,Pputida,2,16
0,Glycine,L-Malate,Pputida,2,16
17.1,Acetic acid,L-Malate,Pputida,2,16
0,Asparagine,L-Malate,Pputida,2,16
0,Putrescine,L-Malate,Pputida,2,16
6.82,Fumaric acid,L-Malate,Pputida,2,16
1.1,Acetyl-ornithine,L-Malate,Pputida,2,16
0.0838,Methionine,L-Malate,Pputida,2,16
0,Butyric acid,L-Malate,Pputida,2,16
0.297,Valeric acid,L-Malate,Pputida,2,16
0.147,Hippuric acid,L-Malate,Pputida,2,16
7.44,Citric acid,L-Malate,Pputida,2,16
1.48,Pyruvic acid,L-Malate,Pputida,1,28
0,Lactic acid,L-Malate,Pputida,1,28
0,Alanine,L-Malate,Pputida,1,28
0,Valine,L-Malate,Pputida,1,28
0.244,Succinic acid,L-Malate,Pputida,1,28
2.06,Acetyl-ornithine,L-Malate,Pputida,1,28
0.444,Glycine,L-Malate,Pputida,1,28
0.825,beta-Hydroxybutyric acid,L-Malate,Pputida,1,28
0,Asparagine,L-Malate,Pputida,1,28
2.87,Butyric acid,L-Malate,Pputida,1,28
0.156,Fumaric acid,L-Malate,Pputida,1,28
0.467,Valeric acid,L-Malate,Pputida,1,28
7.65,Propionic acid,L-Malate,Pputida,1,28
0.258,Methionine,L-Malate,Pputida,1,28
2.97,Serine,L-Malate,Pputida,1,28
110,Acetic acid,L-Malate,Pputida,1,28
0,alpha-Ketoglutaric acid,L-Malate,Pputida,1,28
0.215,Hippuric acid,L-Malate,Pputida,1,28
0,Putrescine,L-Malate,Pputida,1,28
2.61,Citric acid,L-Malate,Pputida,1,28
0,Alanine,L-Malate,Pputida,2,28
0,Valine,L-Malate,Pputida,2,28
1.96,Acetyl-ornithine,L-Malate,Pputida,2,28
0.245,Succinic acid,L-Malate,Pputida,2,28
8.68,Propionic acid,L-Malate,Pputida,2,28
1.94,Pyruvic acid,L-Malate,Pputida,2,28
1.05,beta-Hydroxybutyric acid,L-Malate,Pputida,2,28
0.881,Serine,L-Malate,Pputida,2,28
0,Asparagine,L-Malate,Pputida,2,28
0,alpha-Ketoglutaric acid,L-Malate,Pputida,2,28
0,Putrescine,L-Malate,Pputida,2,28
1.03,Valeric acid,L-Malate,Pputida,2,28
0,Glycine,L-Malate,Pputida,2,28
3.64,Butyric acid,L-Malate,Pputida,2,28
0.147,Methionine,L-Malate,Pputida,2,28
0.187,Hippuric acid,L-Malate,Pputida,2,28
161,Acetic acid,L-Malate,Pputida,2,28
0,Lactic acid,L-Malate,Pputida,2,28
0.138,Fumaric acid,L-Malate,Pputida,2,28
2.62,Citric acid,L-Malate,Pputida,2,28
0,Valine,L-Malate,Pputida,1,48
4.07,Butyric acid,L-Malate,Pputida,1,48
0.511,beta-Hydroxybutyric acid,L-Malate,Pputida,1,48
0,Alanine,L-Malate,Pputida,1,48
0.309,Asparagine,L-Malate,Pputida,1,48
0.183,Succinic acid,L-Malate,Pputida,1,48
2.42,Serine,L-Malate,Pputida,1,48
0.133,Fumaric acid,L-Malate,Pputida,1,48
10.4,Propionic acid,L-Malate,Pputida,1,48
1.15,Pyruvic acid,L-Malate,Pputida,1,48
0,Lactic acid,L-Malate,Pputida,1,48
0,Putrescine,L-Malate,Pputida,1,48
1.11,Valeric acid,L-Malate,Pputida,1,48
2.27,Citric acid,L-Malate,Pputida,1,48
0,alpha-Ketoglutaric acid,L-Malate,Pputida,1,48
0.296,Hippuric acid,L-Malate,Pputida,1,48
0.205,Methionine,L-Malate,Pputida,1,48
0,Glycine,L-Malate,Pputida,1,48
1.58,Acetyl-ornithine,L-Malate,Pputida,1,48
321,Acetic acid,L-Malate,Pputida,1,48
0,alpha-Ketoglutaric acid,L-Malate,Pputida,2,48
12.8,Propionic acid,L-Malate,Pputida,2,48
1.27,Pyruvic acid,L-Malate,Pputida,2,48
0,Valine,L-Malate,Pputida,2,48
0,Serine,L-Malate,Pputida,2,48
0,Alanine,L-Malate,Pputida,2,48
0,Asparagine,L-Malate,Pputida,2,48
0.508,beta-Hydroxybutyric acid,L-Malate,Pputida,2,48
1.9,Acetyl-ornithine,L-Malate,Pputida,2,48
0.156,Fumaric acid,L-Malate,Pputida,2,48
0.229,Succinic acid,L-Malate,Pputida,2,48
0,Lactic acid,L-Malate,Pputida,2,48
0,Methionine,L-Malate,Pputida,2,48
0,Glycine,L-Malate,Pputida,2,48
2.15,Citric acid,L-Malate,Pputida,2,48
4.78,Butyric acid,L-Malate,Pputida,2,48
1.1,Valeric acid,L-Malate,Pputida,2,48
0,Putrescine,L-Malate,Pputida,2,48
0.235,Hippuric acid,L-Malate,Pputida,2,48
258,Acetic acid,L-Malate,Pputida,2,48
3.94,Propionic acid,L-Malate,Pseudomonas,1,16
5.92,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,16
0.422,Acetyl-ornithine,L-Malate,Pseudomonas,1,16
373,Pyruvic acid,L-Malate,Pseudomonas,1,16
0,Asparagine,L-Malate,Pseudomonas,1,16
0.879,Butyric acid,L-Malate,Pseudomonas,1,16
1.46,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,16
0,Valine,L-Malate,Pseudomonas,1,16
0,Alanine,L-Malate,Pseudomonas,1,16
0,Putrescine,L-Malate,Pseudomonas,1,16
0.123,Hippuric acid,L-Malate,Pseudomonas,1,16
1.47,Serine,L-Malate,Pseudomonas,1,16
62.6,Acetic acid,L-Malate,Pseudomonas,1,16
6.35,Citric acid,L-Malate,Pseudomonas,1,16
0,Lactic acid,L-Malate,Pseudomonas,1,16
0,Methionine,L-Malate,Pseudomonas,1,16
0,Glycine,L-Malate,Pseudomonas,1,16
0.207,Valeric acid,L-Malate,Pseudomonas,1,16
33.6,Succinic acid,L-Malate,Pseudomonas,1,16
8.79,Fumaric acid,L-Malate,Pseudomonas,1,16
0.876,Serine,L-Malate,Pseudomonas,2,16
371,Pyruvic acid,L-Malate,Pseudomonas,2,16
98.1,Succinic acid,L-Malate,Pseudomonas,2,16
0,Lactic acid,L-Malate,Pseudomonas,2,16
0,Alanine,L-Malate,Pseudomonas,2,16
44.8,Fumaric acid,L-Malate,Pseudomonas,2,16
15.1,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,16
0,Valine,L-Malate,Pseudomonas,2,16
0,Glycine,L-Malate,Pseudomonas,2,16
1.45,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,16
0,Asparagine,L-Malate,Pseudomonas,2,16
0,Valeric acid,L-Malate,Pseudomonas,2,16
0,Putrescine,L-Malate,Pseudomonas,2,16
0,Propionic acid,L-Malate,Pseudomonas,2,16
0.336,Acetyl-ornithine,L-Malate,Pseudomonas,2,16
0.216,Methionine,L-Malate,Pseudomonas,2,16
0.117,Hippuric acid,L-Malate,Pseudomonas,2,16
4.07,Citric acid,L-Malate,Pseudomonas,2,16
0,Butyric acid,L-Malate,Pseudomonas,2,16
77.4,Acetic acid,L-Malate,Pseudomonas,2,16
0,Valine,L-Malate,Pseudomonas,1,28
0,Glycine,L-Malate,Pseudomonas,1,28
0,Lactic acid,L-Malate,Pseudomonas,1,28
2.37,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,28
0.365,Succinic acid,L-Malate,Pseudomonas,1,28
7.41,Propionic acid,L-Malate,Pseudomonas,1,28
2.94,Butyric acid,L-Malate,Pseudomonas,1,28
0.242,Methionine,L-Malate,Pseudomonas,1,28
2.45,Serine,L-Malate,Pseudomonas,1,28
0.00854,Alanine,L-Malate,Pseudomonas,1,28
139,Acetic acid,L-Malate,Pseudomonas,1,28
371,Pyruvic acid,L-Malate,Pseudomonas,1,28
1.4,Acetyl-ornithine,L-Malate,Pseudomonas,1,28
0,Putrescine,L-Malate,Pseudomonas,1,28
0.813,Asparagine,L-Malate,Pseudomonas,1,28
0.169,Fumaric acid,L-Malate,Pseudomonas,1,28
0.0897,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,28
0.79,Valeric acid,L-Malate,Pseudomonas,1,28
3.23,Citric acid,L-Malate,Pseudomonas,1,28
0.228,Hippuric acid,L-Malate,Pseudomonas,1,28
0,Alanine,L-Malate,Pseudomonas,2,28
2.46,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,28
7.21,Propionic acid,L-Malate,Pseudomonas,2,28
2.72,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,28
0,Putrescine,L-Malate,Pseudomonas,2,28
0,Valine,L-Malate,Pseudomonas,2,28
393,Pyruvic acid,L-Malate,Pseudomonas,2,28
1.94,Butyric acid,L-Malate,Pseudomonas,2,28
0.269,Methionine,L-Malate,Pseudomonas,2,28
2.19,Acetyl-ornithine,L-Malate,Pseudomonas,2,28
2.67,Glycine,L-Malate,Pseudomonas,2,28
87,Succinic acid,L-Malate,Pseudomonas,2,28
16.5,Fumaric acid,L-Malate,Pseudomonas,2,28
0,Serine,L-Malate,Pseudomonas,2,28
136,Acetic acid,L-Malate,Pseudomonas,2,28
0,Asparagine,L-Malate,Pseudomonas,2,28
4.35,Citric acid,L-Malate,Pseudomonas,2,28
0,Lactic acid,L-Malate,Pseudomonas,2,28
0.207,Hippuric acid,L-Malate,Pseudomonas,2,28
0.492,Valeric acid,L-Malate,Pseudomonas,2,28
0.325,Serine,L-Malate,Pseudomonas,1,48
0.555,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,1,48
0.532,Pyruvic acid,L-Malate,Pseudomonas,1,48
0,Lactic acid,L-Malate,Pseudomonas,1,48
0.153,Fumaric acid,L-Malate,Pseudomonas,1,48
0,Valine,L-Malate,Pseudomonas,1,48
2.65,Citric acid,L-Malate,Pseudomonas,1,48
0,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,1,48
0,Putrescine,L-Malate,Pseudomonas,1,48
1.28,Valeric acid,L-Malate,Pseudomonas,1,48
0,Alanine,L-Malate,Pseudomonas,1,48
0.19,Succinic acid,L-Malate,Pseudomonas,1,48
0,Glycine,L-Malate,Pseudomonas,1,48
1.46,Acetyl-ornithine,L-Malate,Pseudomonas,1,48
0,Asparagine,L-Malate,Pseudomonas,1,48
4.7,Butyric acid,L-Malate,Pseudomonas,1,48
11.4,Propionic acid,L-Malate,Pseudomonas,1,48
194,Acetic acid,L-Malate,Pseudomonas,1,48
0.269,Hippuric acid,L-Malate,Pseudomonas,1,48
0.0974,Methionine,L-Malate,Pseudomonas,1,48
0,Serine,L-Malate,Pseudomonas,2,48
0.869,beta-Hydroxybutyric acid,L-Malate,Pseudomonas,2,48
0,Valine,L-Malate,Pseudomonas,2,48
0,Alanine,L-Malate,Pseudomonas,2,48
0.24,Succinic acid,L-Malate,Pseudomonas,2,48
0,Lactic acid,L-Malate,Pseudomonas,2,48
0.139,Fumaric acid,L-Malate,Pseudomonas,2,48
0,Glycine,L-Malate,Pseudomonas,2,48
276,Acetic acid,L-Malate,Pseudomonas,2,48
4.62,Butyric acid,L-Malate,Pseudomonas,2,48
0.107,Methionine,L-Malate,Pseudomonas,2,48
0,alpha-Ketoglutaric acid,L-Malate,Pseudomonas,2,48
12.3,Propionic acid,L-Malate,Pseudomonas,2,48
148,Pyruvic acid,L-Malate,Pseudomonas,2,48
1.59,Citric acid,L-Malate,Pseudomonas,2,48
4.33,Acetyl-ornithine,L-Malate,Pseudomonas,2,48
1.18,Valeric acid,L-Malate,Pseudomonas,2,48
0,Asparagine,L-Malate,Pseudomonas,2,48
0.22,Hippuric acid,L-Malate,Pseudomonas,2,48
0,Putrescine,L-Malate,Pseudomonas,2,48
0,Serine,Acetate,Pputida,1,48
0,Alanine,Acetate,Pputida,1,48
0,Valine,Acetate,Pputida,1,48
1.83,Butyric acid,Acetate,Pputida,1,48
1.19,beta-Hydroxybutyric acid,Acetate,Pputida,1,48
2.91,Glycine,Acetate,Pputida,1,48
0.253,Succinic acid,Acetate,Pputida,1,48
8.18,Propionic acid,Acetate,Pputida,1,48
0,Lactic acid,Acetate,Pputida,1,48
0.108,Fumaric acid,Acetate,Pputida,1,48
3060,Acetic acid,Acetate,Pputida,1,48
0,Asparagine,Acetate,Pputida,1,48
0.284,Methionine,Acetate,Pputida,1,48
1.31,Acetyl-ornithine,Acetate,Pputida,1,48
0,Hippuric acid,Acetate,Pputida,1,48
0.877,Valeric acid,Acetate,Pputida,1,48
0,Pyruvic acid,Acetate,Pputida,1,48
0,alpha-Ketoglutaric acid,Acetate,Pputida,1,48
0,Putrescine,Acetate,Pputida,1,48
4.62,Citric acid,Acetate,Pputida,1,48
10.8,Propionic acid,Acetate,Pputida,2,48
0,alpha-Ketoglutaric acid,Acetate,Pputida,2,48
2.65,Glycine,Acetate,Pputida,2,48
0,Valine,Acetate,Pputida,2,48
1.89,Butyric acid,Acetate,Pputida,2,48
1.35,beta-Hydroxybutyric acid,Acetate,Pputida,2,48
1.54,Acetyl-ornithine,Acetate,Pputida,2,48
0,Pyruvic acid,Acetate,Pputida,2,48
0,Alanine,Acetate,Pputida,2,48
0.0708,Fumaric acid,Acetate,Pputida,2,48
0,Serine,Acetate,Pputida,2,48
1770,Acetic acid,Acetate,Pputida,2,48
0,Asparagine,Acetate,Pputida,2,48
0,Putrescine,Acetate,Pputida,2,48
0,Hippuric acid,Acetate,Pputida,2,48
0.651,Valeric acid,Acetate,Pputida,2,48
0.164,Methionine,Acetate,Pputida,2,48
0,Lactic acid,Acetate,Pputida,2,48
0.221,Succinic acid,Acetate,Pputida,2,48
3.7,Citric acid,Acetate,Pputida,2,48
0,Serine,Acetate,Pseudomonas,1,48
0.0766,Fumaric acid,Acetate,Pseudomonas,1,48
0,Lactic acid,Acetate,Pseudomonas,1,48
0,Alanine,Acetate,Pseudomonas,1,48
1.11,beta-Hydroxybutyric acid,Acetate,Pseudomonas,1,48
0.465,Succinic acid,Acetate,Pseudomonas,1,48
2.16,Butyric acid,Acetate,Pseudomonas,1,48
2.61,Glycine,Acetate,Pseudomonas,1,48
9.86,Propionic acid,Acetate,Pseudomonas,1,48
0,Asparagine,Acetate,Pseudomonas,1,48
0,Pyruvic acid,Acetate,Pseudomonas,1,48
0,alpha-Ketoglutaric acid,Acetate,Pseudomonas,1,48
0,Valine,Acetate,Pseudomonas,1,48
