Metabolite_Conc,Metabolite,Carbon_Source,Strain,Replicate,Timepoint
28.8,Acetyl-ornithine,D-Glucose,Ecoli,2,48
7340,Acetic acid,D-Glucose,Ecoli,2,48
0.177,Asparagine,D-Glucose,Ecoli,2,48
4.66,Valeric acid,D-Glucose,Ecoli,2,48
2.35,Putrescine,D-Glucose,Ecoli,2,48
0,Hippuric acid,D-Glucose,Ecoli,2,48
382,Pyruvic acid,D-Glucose,Enterobacter,1,16
6.39,Citric acid,D-Glucose,Enterobacter,1,16
0,Serine,D-Glucose,Enterobacter,1,16
17.9,Valine,D-Glucose,Enterobacter,1,16
5.28,Glycine,D-Glucose,Enterobacter,1,16
62.5,Alanine,D-Glucose,Enterobacter,1,16
0,Butyric acid,D-Glucose,Enterobacter,1,16
0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,1,16
48.4,Fumaric acid,D-Glucose,Enterobacter,1,16
0.386,Valeric acid,D-Glucose,Enterobacter,1,16
199,Succinic acid,D-Glucose,Enterobacter,1,16
4700,Lactic acid,D-Glucose,Enterobacter,1,16
0,Putrescine,D-Glucose,Enterobacter,1,16
2.85,Acetyl-ornithine,D-Glucose,Enterobacter,1,16
4380,Acetic acid,D-Glucose,Enterobacter,1,16
5.55,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,1,16
0,Methionine,D-Glucose,Enterobacter,1,16
0,Asparagine,D-Glucose,Enterobacter,1,16
0.508,Propionic acid,D-Glucose,Enterobacter,1,16
0,Hippuric acid,D-Glucose,Enterobacter,1,16
209,Succinic acid,D-Glucose,Enterobacter,2,16
85.5,Alanine,D-Glucose,Enterobacter,2,16
1.29,Propionic acid,D-Glucose,Enterobacter,2,16
0.235,Serine,D-Glucose,Enterobacter,2,16
22,Valine,D-Glucose,Enterobacter,2,16
6.18,Glycine,D-Glucose,Enterobacter,2,16
393,Pyruvic acid,D-Glucose,Enterobacter,2,16
6.09,alpha-Ketoglutaric acid,D-Glucose,Enterobacter,2,16
0,beta-Hydroxybutyric acid,D-Glucose,Enterobacter,2,16
53.1,Fumaric acid,D-Glucose,Enterobacter,2,16
4575,Acetic acid,D-Glucose,Enterobacter,2,16
4910,Lactic acid,D-Glucose,Enterobacter,2,16
0,Putrescine,D-Glucose,Enterobacter,2,16
3.56,Acetyl-ornithine,D-Glucose,Enterobacter,2,16
0,Hippuric acid,D-Glucose,Enterobacter,2,16
0,Butyric acid,D-Glucose,Enterobacter,2,16
0,Methionine,D-Glucose,Enterobacter,2,16
6.96,Citric acid,D-Glucose,Enterobacter,2,16
0.394,Valeric acid,D-Glucose,Enterobacter,2,16
0,Asparagine,D-Glucose,Enterobacter,2,16
1.31,Asparagine,D-Glucose,Enterobacter,1,28
0,Serine,D-Glucose,Enterobacter,1,28
5.08,Propionic acid,D-Glucose,Enterobacter,1,28
2470,Lactic acid,D-Glucose,Enterobacter,1,28
