Strain abbrv.,Replicate,Strain,Hours,OD600
aceE-M3,A,aceE-M3-D44-3,28.5,0.181
aceE-M3,B,aceE-M3-D44-3,28.5,0.204
aceE-M3,C,aceE-M3-D44-3,28.5,0.17
aceE-M4,A,aceE-M4-D44-1,28.5,0.742
aceE-M4,B,aceE-M4-D44-1,28.5,1.062
aceE-M4,C,aceE-M4-D44-1,28.5,0.187
sucB-M6,A,sucB-M6-D30-6,28.5,
sucB-M6,B,sucB-M6-D30-6,28.5,
sucB-M6,C,sucB-M6-D30-6,28.5,
sucB-M7,A,sucB-M7-D30-4,28.5,
sucB-M7,B,sucB-M7-D30-4,28.5,
sucB-M7,C,sucB-M7-D30-4,28.5,
aceE-M3,A,aceE-M3-D44-3,29.499999999941792,0.206
aceE-M3,B,aceE-M3-D44-3,29.499999999941792,0.231
aceE-M3,C,aceE-M3-D44-3,29.499999999941792,0.196
aceE-M4,A,aceE-M4-D44-1,29.499999999941792,0.89
aceE-M4,B,aceE-M4-D44-1,29.499999999941792,1.131
aceE-M4,C,aceE-M4-D44-1,29.499999999941792,0.232
sucB-M6,A,sucB-M6-D30-6,29.499999999941792,
sucB-M6,B,sucB-M6-D30-6,29.499999999941792,
sucB-M6,C,sucB-M6-D30-6,29.499999999941792,
sucB-M7,A,sucB-M7-D30-4,29.499999999941792,
sucB-M7,B,sucB-M7-D30-4,29.499999999941792,
sucB-M7,C,sucB-M7-D30-4,29.499999999941792,
aceE-M3,A,aceE-M3-D44-3,30.500000000058208,0.259
aceE-M3,B,aceE-M3-D44-3,30.500000000058208,0.287
aceE-M3,C,aceE-M3-D44-3,30.500000000058208,0.239
aceE-M4,A,aceE-M4-D44-1,30.500000000058208,1.032
aceE-M4,B,aceE-M4-D44-1,30.500000000058208,1.137
aceE-M4,C,aceE-M4-D44-1,30.500000000058208,0.317
sucB-M6,A,sucB-M6-D30-6,30.500000000058208,
sucB-M6,B,sucB-M6-D30-6,30.500000000058208,
sucB-M6,C,sucB-M6-D30-6,30.500000000058208,
sucB-M7,A,sucB-M7-D30-4,30.500000000058208,
sucB-M7,B,sucB-M7-D30-4,30.500000000058208,
sucB-M7,C,sucB-M7-D30-4,30.500000000058208,
aceE-M3,A,aceE-M3-D44-3,30.91666666668607,0.285
aceE-M3,B,aceE-M3-D44-3,30.91666666668607,0.311
aceE-M3,C,aceE-M3-D44-3,30.91666666668607,0.26
aceE-M4,A,aceE-M4-D44-1,30.91666666668607,1.05
aceE-M4,B,aceE-M4-D44-1,30.91666666668607,1.141
aceE-M4,C,aceE-M4-D44-1,30.91666666668607,0.354
sucB-M6,A,sucB-M6-D30-6,30.91666666668607,
sucB-M6,B,sucB-M6-D30-6,30.91666666668607,
sucB-M6,C,sucB-M6-D30-6,30.91666666668607,
sucB-M7,A,sucB-M7-D30-4,30.91666666668607,
sucB-M7,B,sucB-M7-D30-4,30.91666666668607,
sucB-M7,C,sucB-M7-D30-4,30.91666666668607,
aceE-M3,A,aceE-M3-D44-3,32.66666666662786,0.444
aceE-M3,B,aceE-M3-D44-3,32.66666666662786,0.45
aceE-M3,C,aceE-M3-D44-3,32.66666666662786,0.414
aceE-M4,A,aceE-M4-D44-1,32.66666666662786,1.113
aceE-M4,B,aceE-M4-D44-1,32.66666666662786,1.119
aceE-M4,C,aceE-M4-D44-1,32.66666666662786,0.624
sucB-M6,A,sucB-M6-D30-6,32.66666666662786,
sucB-M6,B,sucB-M6-D30-6,32.66666666662786,
sucB-M6,C,sucB-M6-D30-6,32.66666666662786,
sucB-M7,A,sucB-M7-D30-4,32.66666666662786,
sucB-M7,B,sucB-M7-D30-4,32.66666666662786,
sucB-M7,C,sucB-M7-D30-4,32.66666666662786,
aceE-M3,A,aceE-M3-D44-3,33.66666666674428,0.556
aceE-M3,B,aceE-M3-D44-3,33.66666666674428,0.547
aceE-M3,C,aceE-M3-D44-3,33.66666666674428,0.504
aceE-M4,A,aceE-M4-D44-1,33.66666666674428,1.118
aceE-M4,B,aceE-M4-D44-1,33.66666666674428,1.129
aceE-M4,C,aceE-M4-D44-1,33.66666666674428,0.767
sucB-M6,A,sucB-M6-D30-6,33.66666666674428,
sucB-M6,B,sucB-M6-D30-6,33.66666666674428,
sucB-M6,C,sucB-M6-D30-6,33.66666666674428,
sucB-M7,A,sucB-M7-D30-4,33.66666666674428,
sucB-M7,B,sucB-M7-D30-4,33.66666666674428,
sucB-M7,C,sucB-M7-D30-4,33.66666666674428,
aceE-M3,A,aceE-M3-D44-3,34.16666666662786,0.669
aceE-M3,B,aceE-M3-D44-3,34.16666666662786,0.67
aceE-M3,C,aceE-M3-D44-3,34.16666666662786,0.6
aceE-M4,A,aceE-M4-D44-1,34.16666666662786,
aceE-M4,B,aceE-M4-D44-1,34.16666666662786,
aceE-M4,C,aceE-M4-D44-1,34.16666666662786,0.867
sucB-M6,A,sucB-M6-D30-6,34.16666666662786,
sucB-M6,B,sucB-M6-D30-6,34.16666666662786,
sucB-M6,C,sucB-M6-D30-6,34.16666666662786,
sucB-M7,A,sucB-M7-D30-4,34.16666666662786,
sucB-M7,B,sucB-M7-D30-4,34.16666666662786,
sucB-M7,C,sucB-M7-D30-4,34.16666666662786,
aceE-M3,A,aceE-M3-D44-3,34.5,0.74
aceE-M3,B,aceE-M3-D44-3,34.5,0.711
aceE-M3,C,aceE-M3-D44-3,34.5,0.666
aceE-M4,A,aceE-M4-D44-1,34.5,1.109
aceE-M4,B,aceE-M4-D44-1,34.5,1.135
aceE-M4,C,aceE-M4-D44-1,34.5,0.943
sucB-M6,A,sucB-M6-D30-6,34.5,
sucB-M6,B,sucB-M6-D30-6,34.5,
sucB-M6,C,sucB-M6-D30-6,34.5,
sucB-M7,A,sucB-M7-D30-4,34.5,
sucB-M7,B,sucB-M7-D30-4,34.5,
sucB-M7,C,sucB-M7-D30-4,34.5,
aceE-M3,A,aceE-M3-D44-3,35.00000000005821,0.778
aceE-M3,B,aceE-M3-D44-3,35.00000000005821,0.734
aceE-M3,C,aceE-M3-D44-3,35.00000000005821,0.723
aceE-M4,A,aceE-M4-D44-1,35.00000000005821,1.107
aceE-M4,B,aceE-M4-D44-1,35.00000000005821,1.125
aceE-M4,C,aceE-M4-D44-1,35.00000000005821,1.004
sucB-M6,A,sucB-M6-D30-6,35.00000000005821,
sucB-M6,B,sucB-M6-D30-6,35.00000000005821,
sucB-M6,C,sucB-M6-D30-6,35.00000000005821,
sucB-M7,A,sucB-M7-D30-4,35.00000000005821,
sucB-M7,B,sucB-M7-D30-4,35.00000000005821,
sucB-M7,C,sucB-M7-D30-4,35.00000000005821,
aceE-M3,A,aceE-M3-D44-3,36,1.011
aceE-M3,B,aceE-M3-D44-3,36,0.909
aceE-M3,C,aceE-M3-D44-3,36,0.895
aceE-M4,A,aceE-M4-D44-1,36,1.118
aceE-M4,B,aceE-M4-D44-1,36,1.14
aceE-M4,C,aceE-M4-D44-1,36,1.162
sucB-M6,A,sucB-M6-D30-6,36,
sucB-M6,B,sucB-M6-D30-6,36,
sucB-M6,C,sucB-M6-D30-6,36,
sucB-M7,A,sucB-M7-D30-4,36,
sucB-M7,B,sucB-M7-D30-4,36,
sucB-M7,C,sucB-M7-D30-4,36,
aceE-M3,A,aceE-M3-D44-3,36.99999999994179,1.16
aceE-M3,B,aceE-M3-D44-3,36.99999999994179,1.009
aceE-M3,C,aceE-M3-D44-3,36.99999999994179,1.008
aceE-M4,A,aceE-M4-D44-1,36.99999999994179,1.125
aceE-M4,B,aceE-M4-D44-1,36.99999999994179,1.139
aceE-M4,C,aceE-M4-D44-1,36.99999999994179,1.183
sucB-M6,A,sucB-M6-D30-6,36.99999999994179,
sucB-M6,B,sucB-M6-D30-6,36.99999999994179,
sucB-M6,C,sucB-M6-D30-6,36.99999999994179,
sucB-M7,A,sucB-M7-D30-4,36.99999999994179,
sucB-M7,B,sucB-M7-D30-4,36.99999999994179,
sucB-M7,C,sucB-M7-D30-4,36.99999999994179,
aceE-M3,A,aceE-M3-D44-3,37.5,1.249
aceE-M3,B,aceE-M3-D44-3,37.5,1.065
aceE-M3,C,aceE-M3-D44-3,37.5,1.051
aceE-M4,A,aceE-M4-D44-1,37.5,
aceE-M4,B,aceE-M4-D44-1,37.5,
aceE-M4,C,aceE-M4-D44-1,37.5,
sucB-M6,A,sucB-M6-D30-6,37.5,
sucB-M6,B,sucB-M6-D30-6,37.5,
sucB-M6,C,sucB-M6-D30-6,37.5,
sucB-M7,A,sucB-M7-D30-4,37.5,
sucB-M7,B,sucB-M7-D30-4,37.5,
sucB-M7,C,sucB-M7-D30-4,37.5,
aceE-M3,A,aceE-M3-D44-3,43.5,1.49
aceE-M3,B,aceE-M3-D44-3,43.5,1.316
aceE-M3,C,aceE-M3-D44-3,43.5,1.326
aceE-M4,A,aceE-M4-D44-1,43.5,1.207
aceE-M4,B,aceE-M4-D44-1,43.5,1.213
aceE-M4,C,aceE-M4-D44-1,43.5,1.292
sucB-M6,A,sucB-M6-D30-6,43.5,
sucB-M6,B,sucB-M6-D30-6,43.5,
sucB-M6,C,sucB-M6-D30-6,43.5,
sucB-M7,A,sucB-M7-D30-4,43.5,
sucB-M7,B,sucB-M7-D30-4,43.5,
sucB-M7,C,sucB-M7-D30-4,43.5,
aceE-M3,A,aceE-M3-D44-3,47.00000000005821,1.628
aceE-M3,B,aceE-M3-D44-3,47.00000000005821,1.486
aceE-M3,C,aceE-M3-D44-3,47.00000000005821,1.488
aceE-M4,A,aceE-M4-D44-1,47.00000000005821,1.318
aceE-M4,B,aceE-M4-D44-1,47.00000000005821,1.307
aceE-M4,C,aceE-M4-D44-1,47.00000000005821,1.452
sucB-M6,A,sucB-M6-D30-6,47.00000000005821,
sucB-M6,B,sucB-M6-D30-6,47.00000000005821,
sucB-M6,C,sucB-M6-D30-6,47.00000000005821,
sucB-M7,A,sucB-M7-D30-4,47.00000000005821,
sucB-M7,B,sucB-M7-D30-4,47.00000000005821,
sucB-M7,C,sucB-M7-D30-4,47.00000000005821,
aceE-M3,A,aceE-M3-D44-3,48.99999999994179,1.647
aceE-M3,B,aceE-M3-D44-3,48.99999999994179,1.531
aceE-M3,C,aceE-M3-D44-3,48.99999999994179,1.527
aceE-M4,A,aceE-M4-D44-1,48.99999999994179,1.368
aceE-M4,B,aceE-M4-D44-1,48.99999999994179,1.362
aceE-M4,C,aceE-M4-D44-1,48.99999999994179,1.49
sucB-M6,A,sucB-M6-D30-6,48.99999999994179,
sucB-M6,B,sucB-M6-D30-6,48.99999999994179,
sucB-M6,C,sucB-M6-D30-6,48.99999999994179,
sucB-M7,A,sucB-M7-D30-4,48.99999999994179,
sucB-M7,B,sucB-M7-D30-4,48.99999999994179,
sucB-M7,C,sucB-M7-D30-4,48.99999999994179,
aceE-M3,A,aceE-M3-D44-3,49.74999999994179,1.677
aceE-M3,B,aceE-M3-D44-3,49.74999999994179,1.567
aceE-M3,C,aceE-M3-D44-3,49.74999999994179,1.564
aceE-M4,A,aceE-M4-D44-1,49.74999999994179,1.379
aceE-M4,B,aceE-M4-D44-1,49.74999999994179,1.367
aceE-M4,C,aceE-M4-D44-1,49.74999999994179,1.489
sucB-M6,A,sucB-M6-D30-6,49.74999999994179,
sucB-M6,B,sucB-M6-D30-6,49.74999999994179,
sucB-M6,C,sucB-M6-D30-6,49.74999999994179,
sucB-M7,A,sucB-M7-D30-4,49.74999999994179,
sucB-M7,B,sucB-M7-D30-4,49.74999999994179,
sucB-M7,C,sucB-M7-D30-4,49.74999999994179,
sucB-M5,A,sucB-M5-D30-4,0,0.018
sucB-M5,B,sucB-M5-D30-4,0,0.016
sucB-M5,C,sucB-M5-D30-4,0,0.015
sucB-M5,A,sucB-M5-D30-4,0.9999999999417923,0.018
sucB-M5,B,sucB-M5-D30-4,0.9999999999417923,0.019
sucB-M5,C,sucB-M5-D30-4,0.9999999999417923,0.017
sucB-M5,A,sucB-M5-D30-4,1.9999999998835847,0.022
sucB-M5,B,sucB-M5-D30-4,1.9999999998835847,0.021
sucB-M5,C,sucB-M5-D30-4,1.9999999998835847,0.021
sucB-M5,A,sucB-M5-D30-4,3.4999999998835847,0.031
sucB-M5,B,sucB-M5-D30-4,3.4999999998835847,0.03
sucB-M5,C,sucB-M5-D30-4,3.4999999998835847,0.03
sucB-M5,A,sucB-M5-D30-4,4.999999999883585,0.047
sucB-M5,B,sucB-M5-D30-4,4.999999999883585,0.048
sucB-M5,C,sucB-M5-D30-4,4.999999999883585,0.047
sucB-M5,A,sucB-M5-D30-4,11.499999999941792,0.576
sucB-M5,B,sucB-M5-D30-4,11.499999999941792,0.52
sucB-M5,C,sucB-M5-D30-4,11.499999999941792,0.54
sucB-M5,A,sucB-M5-D30-4,13.416666666569654,1.001
sucB-M5,B,sucB-M5-D30-4,13.416666666569654,0.948
sucB-M5,C,sucB-M5-D30-4,13.416666666569654,0.959
sucB-M5,A,sucB-M5-D30-4,13.916666666627862,
sucB-M5,B,sucB-M5-D30-4,13.916666666627862,0.991
sucB-M5,C,sucB-M5-D30-4,13.916666666627862,1.0
sucB-M5,A,sucB-M5-D30-4,14.499999999941792,1.186
sucB-M5,B,sucB-M5-D30-4,14.499999999941792,1.135
sucB-M5,C,sucB-M5-D30-4,14.499999999941792,1.138
sucB-M5,A,sucB-M5-D30-4,15.999999999941792,1.386
sucB-M5,B,sucB-M5-D30-4,15.999999999941792,1.396
sucB-M5,C,sucB-M5-D30-4,15.999999999941792,1.394
sucB-M5,A,sucB-M5-D30-4,16.999999999883585,1.375
sucB-M5,B,sucB-M5-D30-4,16.999999999883585,1.397
sucB-M5,C,sucB-M5-D30-4,16.999999999883585,1.385
sucB-M5,A,sucB-M5-D30-4,18,1.376
sucB-M5,B,sucB-M5-D30-4,18,1.383
sucB-M5,C,sucB-M5-D30-4,18,1.376
sucB-M5,A,sucB-M5-D30-4,18.999999999941792,1.379
sucB-M5,B,sucB-M5-D30-4,18.999999999941792,1.383
sucB-M5,C,sucB-M5-D30-4,18.999999999941792,1.368
sucB-M5,A,sucB-M5-D30-4,19.999999999883585,1.379
sucB-M5,B,sucB-M5-D30-4,19.999999999883585,1.379
sucB-M5,C,sucB-M5-D30-4,19.999999999883585,1.369
