Strain,Replicate,Metabolite,Concentration [nM],Label,Concentration [nΜ],Concentration [μΜ],AUC [gDW/L*h],Rate [mmol/gDW/h]
aceE-M3,C,Pyruvate,5514531.45538377,ΔaceE-M3,,5514.53145538377,2.200026583332501,2.506574919213297
aceE-M4,A,Pyruvate,6356350.28579092,ΔaceE-M4,,6356.350285790921,1.8544446666667436,3.427630060926051
aceE-M4,B,Pyruvate,5553328.12149977,ΔaceE-M4,,5553.3281214997705,1.5363120833288253,3.614713560975854
aceE-M4,C,Pyruvate,8131514.076136429,ΔaceE-M4,,8131.514076136429,1.9243510833336388,4.2255876001846016
WT,A,Pyruvate,684.612977204061,E. coli WT,,0.684612977204061,2.0394393333560843,0.00033568685569943755
WT,B,Pyruvate,575.595218464302,E. coli WT,,0.575595218464302,2.0583972500232512,0.0002796327183481226
WT,C,Pyruvate,620.481073594265,E. coli WT,,0.620481073594265,2.212482583354886,0.00028044563074182573
aceE,A,Lactate,2300665.55664943,ΔaceE,,2300.66555664943,4.307984873352873,0.5340468047787825
aceE,B,Lactate,2212509.9877897003,ΔaceE,,2212.5099877897,4.32662908335389,0.5113703867757068
aceE,C,Lactate,2270621.9983741604,ΔaceE,,2270.6219983741603,4.292629970018539,0.528958241039433
aceE-M2,A,Lactate,582737.5228916031,ΔaceE-M2,,582.737522891603,1.5996300833580988,0.3642951760873763
aceE-M2,B,Lactate,612255.0899425071,ΔaceE-M2,,612.2550899425071,1.5333134166917877,0.39930198436760755
aceE-M2,C,Lactate,511313.986291142,ΔaceE-M2,,511.313986291142,1.5236542500256178,0.33558399898306657
aceE-M3,A,Lactate,2896341.33751815,ΔaceE-M3,,2896.34133751815,1.9918499166636223,1.4540961712464582
aceE-M3,B,Lactate,3806188.97986098,ΔaceE-M3,,3806.18897986098,2.4725736666648808,1.539363227545386
aceE-M3,C,Lactate,3604152.10639852,ΔaceE-M3,,3604.15210639852,2.200026583332501,1.6382311621612833
aceE-M4,A,Lactate,326755.929294691,ΔaceE-M4,,326.755929294691,1.8544446666667436,0.1762014985769383
