Strain,Replicate,Metabolite,Counts
aceE-M3,B,Cis-aconitate,757.111497390746
sucB,A,Cis-aconitate,5743.37429501019
sucB-M6,C,Cis-aconitate,4597.97163792901
aceE-M3,A,Cis-aconitate,572.846236839495
aceE-M4,A,Cis-aconitate,261.1910640831
sucB-M5,A,Cis-aconitate,423.443266019695
aceE,B,Cis-aconitate,1012.96211572077
sucB-M6,B,Cis-aconitate,4988.75855211756
sucB-M7,A,Cis-aconitate,3363.32405026698
aceE-M4,B,Cis-aconitate,207.080513729094
sucB-M6,A,Cis-aconitate,4831.72548491819
sucB,B,Cis-aconitate,5955.76889423387
aceE,C,Cis-aconitate,1070.63458778357
aceE-M2,B,Cis-aconitate,1263.22306308206
aceE-M3,C,Cis-aconitate,809.172965332031
aceE-M2,C,Cis-aconitate,1133.6569666917
aceE-M2,A,Cis-aconitate,1290.69219533183
sucB-M7,C,Cis-aconitate,3966.23839285621
WT,A,Cis-aconitate,355.736142013552
WT,C,Cis-aconitate,575.953875247956
WT,B,Cis-aconitate,388.396445625785
sucB-M7,B,Dethiobiotin,1605.92848574194
aceE,A,Dethiobiotin,1787.91786324819
aceE-M4,C,Dethiobiotin,1534.39460101205
sucB-M5,B,Dethiobiotin,1603.75102839668
sucB-M5,C,Dethiobiotin,1388.32484013317
sucB,C,Dethiobiotin,1583.62125782657
aceE-M3,B,Dethiobiotin,1560.88999138723
sucB,A,Dethiobiotin,1549.14338504719
sucB-M6,C,Dethiobiotin,1537.48995974291
aceE-M3,A,Dethiobiotin,1626.47207499114
aceE-M4,A,Dethiobiotin,1446.41713102645
sucB-M5,A,Dethiobiotin,1654.29115293219
aceE,B,Dethiobiotin,1664.24335820149
sucB-M6,B,Dethiobiotin,1758.24574312877
sucB-M7,A,Dethiobiotin,1557.05628500239
aceE-M4,B,Dethiobiotin,1536.48818176218
sucB-M6,A,Dethiobiotin,1565.64784925215
sucB,B,Dethiobiotin,1648.26486439244
aceE,C,Dethiobiotin,1809.09524515025
aceE-M2,B,Dethiobiotin,1571.55111125516
aceE-M3,C,Dethiobiotin,1606.2862687106
aceE-M2,C,Dethiobiotin,1925.11845198399
aceE-M2,A,Dethiobiotin,1685.6988560052
sucB-M7,C,Dethiobiotin,1648.46468146758
WT,A,Dethiobiotin,1760.87668502807
WT,C,Dethiobiotin,1515.03236125304
WT,B,Dethiobiotin,1439.14140999635
