Timestamp,Time [h],Day,Strain-Bioreactor,OD,Strain,Bioreactor
2024-05-01 08:00:00,693.2500000001164,29,aceE-M2,1.4,aceE,M2
2024-05-02 07:15:00,716.5000000001164,30,aceE-M2,1.66,aceE,M2
2024-05-03 11:15:00,744.5000000000582,31,aceE-M2,1.38,aceE,M2
2024-05-05 10:30:00,791.7500000000582,33,aceE-M2,1.33,aceE,M2
2024-05-06 08:30:00,813.75,34,aceE-M2,1.2,aceE,M2
2024-05-07 07:30:00,836.7500000000582,35,aceE-M2,1.25,aceE,M2
2024-05-08 07:30:00,860.7500000000582,36,aceE-M2,1.47,aceE,M2
2024-05-10 06:45:00,908.0000000000582,38,aceE-M2,1.52,aceE,M2
2024-05-11 18:00:00,943.2500000000582,39,aceE-M2,1.91,aceE,M2
2024-05-13 08:40:00,981.9166666666861,41,aceE-M2,2.0,aceE,M2
2024-05-14 07:20:00,1004.5833333333721,42,aceE-M2,2.31,aceE,M2
2024-05-15 07:40:00,1028.9166666667443,43,aceE-M2,1.72,aceE,M2
2024-05-16 07:30:00,1052.7500000000582,44,aceE-M2,1.41,aceE,M2
2024-04-02 10:45:00,0.0,0,aceE-M3,0.1,aceE,M3
2024-04-03 08:30:00,21.75,1,aceE-M3,,aceE,M3
2024-04-03 10:30:00,23.750000000058208,1,aceE-M3,,aceE,M3
2024-04-03 12:05:00,25.33333333331393,1,aceE-M3,,aceE,M3
2024-04-03 13:05:00,26.333333333430346,1,aceE-M3,,aceE,M3
2024-04-03 14:25:00,27.666666666744277,1,aceE-M3,,aceE,M3
2024-04-03 16:50:00,30.083333333430346,1,aceE-M3,,aceE,M3
2024-04-03 17:50:00,31.08333333337214,1,aceE-M3,,aceE,M3
2024-04-03 18:55:00,32.16666666674428,1,aceE-M3,,aceE,M3
2024-04-03 22:05:00,35.333333333430346,1,aceE-M3,,aceE,M3
2024-04-03 22:25:00,35.666666666802485,1,aceE-M3,1.04,aceE,M3
2024-04-04 00:10:00,37.41666666674428,2,aceE-M3,1.4,aceE,M3
2024-04-04 07:00:00,44.25,2,aceE-M3,1.51,aceE,M3
2024-04-04 09:50:00,47.08333333331393,2,aceE-M3,1.63,aceE,M3
2024-04-04 13:35:00,50.83333333331393,2,aceE-M3,1.56,aceE,M3
2024-04-04 17:00:00,54.250000000116415,2,aceE-M3,1.47,aceE,M3
2024-04-04 21:40:00,58.916666666802485,2,aceE-M3,1.43,aceE,M3
2024-04-04 22:30:00,59.75000000005821,2,aceE-M3,,aceE,M3
2024-04-05 07:10:00,68.41666666668607,3,aceE-M3,1.25,aceE,M3
2024-04-05 13:15:00,74.50000000011642,3,aceE-M3,1.16,aceE,M3
2024-04-05 16:45:00,78.0,3,aceE-M3,1.075,aceE,M3
2024-04-05 21:50:00,83.08333333331393,3,aceE-M3,0.97,aceE,M3
2024-04-06 09:20:00,94.58333333343035,4,aceE-M3,0.81,aceE,M3
2024-04-06 18:00:00,103.25000000005821,4,aceE-M3,0.55,aceE,M3
2024-04-07 10:30:00,119.75000000005821,5,aceE-M3,0.58,aceE,M3
2024-04-08 07:45:00,141.0,6,aceE-M3,0.5392,aceE,M3
2024-04-08 12:15:00,145.5,6,aceE-M3,,aceE,M3
2024-04-08 20:40:00,153.91666666668607,6,aceE-M3,0.661,aceE,M3
2024-04-09 07:30:00,164.7500000000582,7,aceE-M3,0.7248,aceE,M3
2024-04-09 15:15:00,172.5,7,aceE-M3,0.7008,aceE,M3
2024-04-10 07:25:00,188.66666666680248,8,aceE-M3,0.6908,aceE,M3
2024-04-10 09:25:00,190.66666666668607,8,aceE-M3,,aceE,M3
2024-04-10 11:45:00,193.00000000011642,8,aceE-M3,,aceE,M3
2024-04-10 13:40:00,194.91666666674428,8,aceE-M3,,aceE,M3
2024-04-10 14:40:00,195.91666666668607,8,aceE-M3,0.61,aceE,M3
2024-04-11 07:35:00,212.83333333331393,9,aceE-M3,0.6064,aceE,M3
2024-04-12 07:15:00,236.50000000011642,10,aceE-M3,0.62,aceE,M3
2024-04-12 13:15:00,242.50000000011642,10,aceE-M3,0.58,aceE,M3
2024-04-12 18:05:00,247.33333333331393,10,aceE-M3,,aceE,M3
2024-04-12 19:37:00,248.86666666675592,10,aceE-M3,0.5584,aceE,M3
2024-04-13 11:25:00,264.6666666667443,11,aceE-M3,0.46,aceE,M3
2024-04-13 15:25:00,268.66666666668607,11,aceE-M3,0.4918,aceE,M3
2024-04-14 10:25:00,287.6666666668025,12,aceE-M3,0.4582,aceE,M3
2024-04-14 21:10:00,298.4166666667443,12,aceE-M3,0.48,aceE,M3
2024-04-15 07:15:00,308.5000000001164,13,aceE-M3,0.5,aceE,M3
2024-04-15 13:25:00,314.6666666668025,13,aceE-M3,0.53,aceE,M3
2024-04-15 21:10:00,322.4166666667443,13,aceE-M3,,aceE,M3
2024-04-16 07:20:00,332.58333333337214,14,aceE-M3,0.6,aceE,M3
2024-04-16 15:00:00,340.2500000000582,14,aceE-M3,,aceE,M3
2024-04-17 07:15:00,356.5000000001164,15,aceE-M3,0.72,aceE,M3
2024-04-17 12:00:00,361.2500000000582,15,aceE-M3,,aceE,M3
2024-04-18 07:45:00,381.0,16,aceE-M3,0.77,aceE,M3
2024-04-18 14:00:00,387.2500000001164,16,aceE-M3,,aceE,M3
2024-04-19 07:25:00,404.6666666668025,17,aceE-M3,0.99,aceE,M3
