,Plate,Well,Sample_id,Timepoint,Live/Dead,Carbon source,Dilution,Record Time:,Volume(μL):,Abort(%):,All Events  Events/μL(V),P1 Events/μL(V),Q1-UR Events/μL(V),Q1-UL Events/μL(V),Q1-LL Events/μL(V),Q1-LR Events/μL(V),P1 % Parent,Q1-UR % Parent,Q1-UL % Parent,Q1-LL % Parent,Q1-LR % Parent,Dead fraction,Live fraction,Unclassified,OD
24,1,A10,1A-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 15:38,10,3.65,5180.66,5173.36,5111.66,42,19.7,0,99.86%,98.81%,0.81%,0.38%,0.00%,0.988073515,0.008118515,0.00380797,1.22
25,1,B10,1B-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 15:55,10,3.97,4200.85,4195.75,4139.75,33.9,22.1,0,99.88%,98.67%,0.81%,0.53%,0.00%,0.986653161,0.008079604,0.005267235,1.171
26,1,C10,1C-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 16:12,10,3.69,5303.08,5297.18,5227.88,39.6,29.7,0,99.89%,98.69%,0.75%,0.56%,0.00%,0.986917567,0.007475676,0.005606757,1.206
27,1,D10,1D-Gal-T4,T4,Dead,Galactose,0.1X,03.12.2024 16:28,10,3.28,5155.6,5148.2,5074.6,42.3,31.3,0,99.86%,98.57%,0.82%,0.61%,0.00%,0.985703741,0.008216464,0.006079795,1.212
28,1,E10,2A-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 16:45,10,3.36,4596.04,4590.44,4529.34,36.8,24.3,0,99.88%,98.67%,0.80%,0.53%,0.00%,0.986689729,0.008016661,0.00529361,1.091
29,1,F10,2B-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:04,10,3.88,3226.82,3221.42,3156.61,35.8,28.9,0.1,99.83%,97.99%,1.11%,0.90%,0.00%,0.979881543,0.011113112,0.009002241,1.092
30,1,G10,2C-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:21,10,4.57,6535.05,6529.55,6456.75,46.7,25.4,0.7,99.92%,98.89%,0.72%,0.39%,0.01%,0.988850686,0.007152101,0.003997213,1.114
31,1,H10,2D-Mal-T4,T4,Dead,L-malate,0.1X,03.12.2024 17:38,9.6,3.44,7303.26,7298.46,7237.64,32.45,27.23,1.15,99.93%,99.17%,0.44%,0.37%,0.02%,0.991666735,0.004446143,0.003888492,1.109
32,2,A1,3A-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 09:46,10,9.55,4721.71,4705.11,10.8,4144.61,549,0.7,99.65%,0.23%,88.09%,11.67%,0.01%,0.002295377,0.880874198,0.116830425,1.08
33,2,B1,3B-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 10:03,10,11.22,6597.7,6591.2,13.4,6512.9,64.8,0.1,99.90%,0.20%,98.81%,0.98%,0.00%,0.002033014,0.988120524,0.009846462,1.076
34,2,C1,3C-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 10:20,10,8.97,6484.31,6478.31,24.6,6394.11,59.1,0.5,99.91%,0.38%,98.70%,0.91%,0.01%,0.003797287,0.987002783,0.00919993,1.046
35,2,D1,3D-Ala-T4,T4,Live,L-alanine,1X,04.12.2024 10:37,10,8.67,6741.41,6736.51,15.1,6660.81,56.3,4.3,99.93%,0.22%,98.88%,0.84%,0.06%,0.002241517,0.988762727,0.008995756,1.022
36,2,A4,3A-Ala-T4,T4,Dead,L-alanine,1X,04.12.2024 09:51,1.3,6.64,53216.84,53197.83,53072.39,44.09,81.35,0,99.96%,99.76%,0.08%,0.15%,0.00%,0.997642009,0.000828793,0.001529198,1.08
37,2,B4,3B-Ala-T4,T4,Dead,L-alanine,1X,04.12.2024 10:08,1.6,8.39,43968.36,43958.31,43877.91,45.22,33.92,1.26,99.98%,99.82%,0.10%,0.08%,0.00%,0.998170994,0.001028702,0.000800304,1.076
38,2,C4,3C-Ala-T4,T4,Dead,L-alanine,1X,04.12.2024 10:25,2.1,7.35,32742.67,32735.19,32645.85,29.47,59.87,0,99.98%,99.73%,0.09%,0.18%,0.00%,0.997270827,0.000900254,0.001828919,1.046
39,2,D4,3D-Ala-T4,T4,Dead,L-alanine,1X,04.12.2024 10:42,1.4,8.25,51274.31,51266.26,51156.38,46.88,62.26,0.73,99.98%,99.79%,0.09%,0.12%,0.00%,0.99785668,0.000914442,0.001228683,1.022
40,2,A7,3A-Ala-T4,T4,Live,L-alanine,0.1X,04.12.2024 09:54,10,10.65,762.5,750.6,4.1,691.1,55.4,0,98.44%,0.55%,92.07%,7.38%,0.00%,0.005462297,0.920730083,0.073807621,1.08
41,2,B7,3B-Ala-T4,T4,Live,L-alanine,0.1X,04.12.2024 10:11,10,9.42,848.02,842.12,42.3,745.72,54.1,0,99.30%,5.02%,88.55%,6.42%,0.00%,0.050230371,0.885527003,0.064242626,1.076
42,2,C7,3C-Ala-T4,T4,Live,L-alanine,0.1X,04.12.2024 10:28,10,8.78,828.34,825.44,10.7,765.73,49,0,99.65%,1.30%,92.77%,5.94%,0.00%,0.012962783,0.927662822,0.05936228,1.046
43,2,D7,3D-Ala-T4,T4,Live,L-alanine,0.1X,04.12.2024 10:45,10,9.1,773.05,766.35,12.4,726.15,27.8,0,99.13%,1.62%,94.75%,3.63%,0.00%,0.016180596,0.947543551,0.036275853,1.022
44,2,A10,3A-Ala-T4,T4,Dead,L-alanine,0.1X,04.12.2024 09:59,10,7.9,5853.29,5847.69,5772.79,9.8,65,0.1,99.90%,98.72%,0.17%,1.11%,0.00%,0.987191523,0.001675875,0.011132601,1.08
45,2,B10,3B-Ala-T4,T4,Dead,L-alanine,0.1X,04.12.2024 10:16,10,8.78,5826.57,5822.17,5772.07,8.9,41.2,0,99.92%,99.14%,0.15%,0.71%,0.00%,0.991394961,0.00152864,0.007076399,1.076
46,2,C10,3C-Ala-T4,T4,Dead,L-alanine,0.1X,04.12.2024 10:33,10,8,4040.73,4034.23,3961.33,6.3,66,0.6,99.84%,98.19%,0.16%,1.64%,0.01%,0.981929637,0.001561636,0.016508727,1.046
47,2,D10,3D-Ala-T4,T4,Dead,L-alanine,0.1X,04.12.2024 10:50,10,7.76,6726.01,6719.81,6664.61,21.3,33.8,0.1,99.91%,99.18%,0.32%,0.50%,0.00%,0.991785482,0.003169732,0.005044785,1.022
