,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
46,L-malate,Stationary,Proline,143.0,0.0,0.0,1.0,202,143.0,143.0,143.0,143.0,143.0,143.0
47,L-malate,Exponential,Proline,283.83333333333337,141.71784935803487,72.30502518267085,5.0,"200,201,206,207,208",91.83333333333334,451.0,142.1154839752985,87.6340463568204,425.55118269136824,505.0
48,L-malate,Stationary,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
49,L-malate,Exponential,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
50,L-malate,Stationary,Sebacoyl-l-carnitine (c10-dc),,,,,,,,,,,
51,L-malate,Exponential,Sebacoyl-l-carnitine (c10-dc),,,,,,,,,,,
52,L-malate,Stationary,Serine,343.0,0.0,0.0,1.0,236,343.0,343.0,343.0,343.0,343.0,343.0
53,L-malate,Exponential,Serine,171.63333333333335,84.79082480237275,43.26062489916977,5.0,"233,229,230,234,235",68.0,280.8333333333334,86.8425085309606,25.700000000000003,256.4241581357061,427.0
54,L-malate,Stationary,Succinate,1251.0666666666668,483.1952982552707,246.5282133955463,5.0,"238,239,240,242,243",569.0,1841.6666666666667,767.8713684113961,341.0,1734.2619649219375,2190.0
55,L-malate,Exponential,Succinate,1251.0666666666668,483.1952982552707,246.5282133955463,5.0,"238,239,240,242,243",569.0,1841.6666666666667,767.8713684113961,341.0,1734.2619649219375,2190.0
56,L-malate,Stationary,Trans-aconitate,42.05,11.564000000000004,5.900000000000002,2.0,"252,251",36.15,47.95,30.485999999999994,36.6,53.614000000000004,174.0
57,L-malate,Exponential,Trans-aconitate,42.05,11.564000000000004,5.900000000000002,2.0,"252,251",36.15,47.95,30.485999999999994,36.6,53.614000000000004,174.0
58,L-malate,Stationary,Tyrosine,37.8,0.0,0.0,1.0,261,37.8,37.8,37.8,37.8,37.8,37.8
59,L-malate,Exponential,Tyrosine,91.20333333333333,46.37013070520481,23.658229951635107,5.0,"262,263,264,265,267",28.9,155.0,44.833202628128525,18.7,137.57346403853813,170.75129624295516
60,L-malate,Stationary,Valine,181.0,0.0,0.0,1.0,275,181.0,181.0,181.0,181.0,181.0,181.0
61,L-malate,Exponential,Valine,1549.6,1427.7234997211467,728.4303570005851,5.0,"270,272,273,274,278",157.5,4020.0,121.8765002788532,119.7013561041062,2977.3234997211466,4580.0
62,L-malate,Stationary,Citrate,5333.833333333334,8160.724914638404,4163.635160529798,5.0,"56,57,52,51,55",165.83333333333334,21900.0,-2826.89158130507,154.40000000000003,13494.558247971738,27300.0
63,L-malate,Exponential,Citrate,5333.833333333334,8160.724914638404,4163.635160529798,5.0,"56,57,52,51,55",165.83333333333334,21900.0,-2826.89158130507,154.40000000000003,13494.558247971738,27300.0
64,L-malate,Stationary,Acetate,658.0,25.0,12.755102040816327,1.0,4,658.0,658.0,633.0,633.0,683.0,683.0
65,L-malate,Exponential,Acetate,658.0,25.0,12.755102040816327,1.0,4,658.0,658.0,633.0,633.0,683.0,683.0
66,L-malate,Stationary,Formate,184.0,25.0,12.755102040816327,1.0,64,184.0,184.0,159.0,159.0,209.0,209.0
67,L-malate,Exponential,Formate,184.0,25.0,12.755102040816327,1.0,64,184.0,184.0,159.0,159.0,209.0,209.0
68,L-malate,Stationary,Propanoate,,,,,,,,,,,
69,L-malate,Exponential,Propanoate,,,,,,,,,,,
70,L-malate,Stationary,Pyruvate (gc-ms),,,,,,,,,,,
71,L-malate,Exponential,Pyruvate (gc-ms),,,,,,,,,,,
72,L-alanine,Stationary,Alanine,358.0,0.0,0.0,1.0,15,358.0,358.0,358.0,358.0,358.0,358.0
73,L-alanine,Exponential,Alanine,1197.9,825.7523757037847,421.302232501931,5.0,"18,16,10,13,14",349.1666666666667,2550.0,372.14762429621544,240.52391744077343,2023.6523757037849,2800.0
74,L-alanine,Stationary,Alpha-aminoadipate,,,,,,,,,,,
75,L-alanine,Exponential,Alpha-aminoadipate,,,,,,,,,,,
76,L-alanine,Stationary,Alpha-aminobutyrate,,,,,,,,,,,
77,L-alanine,Exponential,Alpha-aminobutyrate,,,,,,,,,,,
78,L-alanine,Stationary,Asparagine,103.0,0.0,0.0,1.0,35,103.0,103.0,103.0,103.0,103.0,103.0
79,L-alanine,Exponential,Asparagine,447.5333333333333,314.725535684313,160.5742529001597,5.0,"38,37,33,31,34",105.25,970.0,132.8077976490203,81.47672660141086,762.2588690176462,1550.0
80,L-alanine,Stationary,Aspartate,337.0,0.0,0.0,1.0,45,337.0,337.0,337.0,337.0,337.0,337.0
81,L-alanine,Exponential,Aspartate,4250.639999999999,3617.6811631306687,1845.7556954748309,5.0,"46,42,40,39,43",164.86666666666667,9300.0,632.9588368693308,149.98041254490127,7868.321163130668,16500.0
82,L-alanine,Stationary,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
83,L-alanine,Exponential,Beta-alanine,11.5,0.0,0.0,1.0,47,11.5,11.5,11.5,11.5,11.5,11.5
