Time,Glucose mean,Glucose std
0,NaN,NaN
1,16.19,0.084852814
2,16.105,0.16263456
3,15.405,0.007071068
4,14.445,0.106066017
5,13.12,0.056568542
6,11.874,1.007627163
7,7.894,0.300520382
8,4.564,0.38890873
9,0.661,0.848528137
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
26,0,NaN
