,Sample ID,Strain,Hours,OD600,Replicate
751,9B,tpiA,55.5,,B
752,9C,tpiA,55.5,,C
753,10A,zwf,55.5,,A
754,10B,zwf,55.5,,B
755,10C,zwf,55.5,,C
756,11A,WT,55.5,,A
757,11B,WT,55.5,,B
758,11C,WT,55.5,,C
759,1A,aceE,61.5,0.108,A
760,1B,aceE,61.5,0.091,B
761,1C,aceE,61.5,0.095,C
762,2A,cyoD,61.5,,A
763,2B,cyoD,61.5,,B
764,2C,cyoD,61.5,,C
765,3A,lacA,61.5,,A
766,3B,lacA,61.5,,B
767,3C,lacA,61.5,,C
768,4A,nuoA,61.5,,A
769,4B,nuoA,61.5,,B
770,4C,nuoA,61.5,,C
771,5A,pgi,61.5,,A
772,5B,pgi,61.5,,B
773,5C,pgi,61.5,,C
774,6A,rpe,61.5,,A
775,6B,rpe,61.5,,B
776,6C,rpe,61.5,,C
777,7A,sdhB,61.5,,A
778,7B,sdhB,61.5,,B
779,7C,sdhB,61.5,,C
780,8A,sucB,61.5,,A
781,8B,sucB,61.5,,B
782,8C,sucB,61.5,,C
783,9A,tpiA,61.5,,A
784,9B,tpiA,61.5,,B
785,9C,tpiA,61.5,,C
786,10A,zwf,61.5,,A
787,10B,zwf,61.5,,B
788,10C,zwf,61.5,,C
789,11A,WT,61.5,,A
790,11B,WT,61.5,,B
791,11C,WT,61.5,,C
792,1A,aceE,63.499999999883585,0.126,A
793,1B,aceE,63.499999999883585,0.099,B
794,1C,aceE,63.499999999883585,0.109,C
795,2A,cyoD,63.499999999883585,,A
796,2B,cyoD,63.499999999883585,,B
797,2C,cyoD,63.499999999883585,,C
798,3A,lacA,63.499999999883585,,A
799,3B,lacA,63.499999999883585,,B
800,3C,lacA,63.499999999883585,,C
801,4A,nuoA,63.499999999883585,,A
802,4B,nuoA,63.499999999883585,,B
803,4C,nuoA,63.499999999883585,,C
804,5A,pgi,63.499999999883585,,A
805,5B,pgi,63.499999999883585,,B
806,5C,pgi,63.499999999883585,,C
807,6A,rpe,63.499999999883585,,A
808,6B,rpe,63.499999999883585,,B
809,6C,rpe,63.499999999883585,,C
810,7A,sdhB,63.499999999883585,,A
811,7B,sdhB,63.499999999883585,,B
812,7C,sdhB,63.499999999883585,,C
813,8A,sucB,63.499999999883585,,A
814,8B,sucB,63.499999999883585,,B
815,8C,sucB,63.499999999883585,,C
816,9A,tpiA,63.499999999883585,,A
817,9B,tpiA,63.499999999883585,,B
818,9C,tpiA,63.499999999883585,,C
819,10A,zwf,63.499999999883585,,A
820,10B,zwf,63.499999999883585,,B
821,10C,zwf,63.499999999883585,,C
822,11A,WT,63.499999999883585,,A
823,11B,WT,63.499999999883585,,B
824,11C,WT,63.499999999883585,,C
825,1A,aceE,66.0,0.143,A
826,1B,aceE,66.0,0.117,B
827,1C,aceE,66.0,0.126,C
828,2A,cyoD,66.0,1.788,A
829,2B,cyoD,66.0,1.795,B
830,2C,cyoD,66.0,1.81,C
831,3A,lacA,66.0,1.78,A
832,3B,lacA,66.0,1.754,B
833,3C,lacA,66.0,1.897,C
834,4A,nuoA,66.0,1.894,A
835,4B,nuoA,66.0,1.94,B
836,4C,nuoA,66.0,1.921,C
837,5A,pgi,66.0,1.844,A
838,5B,pgi,66.0,1.826,B
839,5C,pgi,66.0,1.849,C
840,6A,rpe,66.0,1.749,A
841,6B,rpe,66.0,1.741,B
842,6C,rpe,66.0,1.748,C
843,7A,sdhB,66.0,1.966,A
844,7B,sdhB,66.0,2.056,B
845,7C,sdhB,66.0,2.041,C
846,8A,sucB,66.0,2.01,A
847,8B,sucB,66.0,2.0,B
848,8C,sucB,66.0,1.924,C
