,Metabolite,BiGG ID,ECMDB ID,KEGG_ID,IN ECMDB,From Mapping 1
90,N-acetylalanine,,ECMDB01138,,TRUE,TRUE
91,N-acetylglutamate,acglu,ECMDB21429,C00624,TRUE,TRUE
92,N-acetylleucine,acleu__L,,C02710,FALSE,TRUE
93,N-acetylphenylalanine,,,,FALSE,TRUE
94,N-acetylputrescine,aprut,ECMDB02064,C02714,TRUE,TRUE
95,N-acetylserine,,ECMDB21441,,TRUE,TRUE
96,N-alpha-acetyllysine,aclys,ECMDB24023,,TRUE,TRUE
97,NAD,nad,ECMDB00902,C00003,TRUE,TRUE
98,Nicotinamide,ncam,ECMDB01406,C00153,TRUE,TRUE
99,Nicotinate,nac,ECMDB01488,C00253,TRUE,TRUE
100,O-acetylserine,acser,ECMDB03011,C00979,TRUE,TRUE
101,O-succinyl-homoserine,suchms,ECMDB01418,C01118,TRUE,TRUE
102,Ophthalmate,,,,FALSE,TRUE
103,Orotate,orot,ECMDB00226,C00295,TRUE,TRUE
104,Oxoproline,5oxpro,,C01879,FALSE,TRUE
105,P-hydroxyphenylacetate,4hphac,,C00642,FALSE,TRUE
106,Pantothenate,pnto__R,ECMDB00210,C00864,TRUE,TRUE
107,Phenylacetaldehyde,pacald,ECMDB06236,C00601,TRUE,TRUE
108,Phenylalanine,phe__L,ECMDB00159,C00079,TRUE,TRUE
109,Pipecolic acid,Lpipecol,ECMDB21385,C00408,TRUE,TRUE
110,Proline,pro__L,ECMDB00162,C00148,TRUE,TRUE
111,Propionate,ppa,ECMDB00237,C00163,TRUE,TRUE
112,Putrescine,ptrc,ECMDB01414,C02896,TRUE,TRUE
113,Pyridoxal,pydx,ECMDB01545,C00250,TRUE,FALSE
114,Pyruvate,pyr,ECMDB00243,C00022,TRUE,TRUE
115,Quinate,quin,ECMDB21278,C00296,TRUE,TRUE
116,Riboflavin,ribflv,ECMDB00244,C00255,TRUE,FALSE
117,Ribose 5-phosphate,r5p,ECMDB02033,C03736,TRUE,FALSE
118,S-adenosylhomocysteine,ahcys,ECMDB00939,C00021,TRUE,TRUE
119,S-adenosylmethionine,amet,ECMDB01185,C00019,TRUE,TRUE
120,Salicylate,salc,ECMDB21437,C00805,TRUE,TRUE
121,Sebacoyl-l-carnitine (c10-dc),,,,FALSE,TRUE
122,Sedoheptulose-7-phopsphate,s7p,ECMDB01068,C05382,TRUE,FALSE
123,Serine,ser__L,ECMDB00187,C00065,TRUE,TRUE
124,Stearoylcarnitine (c18),,,,FALSE,TRUE
125,Succinate,succ,ECMDB00254,C00042,TRUE,TRUE
126,Thiamine monophosphate,thmmp,ECMDB02666,C01081,TRUE,TRUE
127,Threonine,thr__L,ECMDB00167,C00188,TRUE,TRUE
128,Thymine,thym,ECMDB00262,C00178,TRUE,TRUE
129,Trans-aconitate,acon_T,ECMDB00958,C02341,TRUE,TRUE
130,Trigonelline,,,C01004,FALSE,TRUE
131,Trimethylamine,tma,ECMDB00906,C00565,TRUE,TRUE
132,Tyramine,tym,ECMDB00306,C00483,TRUE,TRUE
133,Tyrosine,tyr__L,ECMDB00158,C00082,TRUE,TRUE
134,Uracil,ura,ECMDB00300,C00106,TRUE,TRUE
135,Ureidopropionate,cala,ECMDB00026,C02642,TRUE,TRUE
136,Uridine diphosphate glucuronic acid,udpglcur,ECMDB04166,C00167,TRUE,FALSE
137,Uridine diphosphate hexose,udpg,ECMDB04171,C00029,TRUE,TRUE
138,Uridine monophosphate,ump,ECMDB00288,C00105,TRUE,TRUE
139,Urocanate,urcan,ECMDB21396,C00785,TRUE,TRUE
140,Valine,val__L,ECMDB00883,C00183,TRUE,TRUE
141,Xanthine,xan,ECMDB00292,C00385,TRUE,TRUE
142,Xanthosine,xtsn,ECMDB00299,C01762,TRUE,TRUE
143,cAMP,camp,ECMDB00058,C00575,TRUE,TRUE
144,Alpha-hydroxyisobutyrate,,,C21297,FALSE,FALSE
145,Epinephrine,,,C00788,FALSE,FALSE
146,Glucuronolactone,glac,,C02670,FALSE,FALSE
147,Guanidinosuccinate,,,C03139,FALSE,FALSE
148,"N,n,n-trimethyllysine",tmlys,,,FALSE,FALSE
149,N-acetylaspartate,Nacasp,ECMDB21401,C01042,TRUE,FALSE
150,Pyrimidine,pyrimid,ECMDB21392,C00396,TRUE,FALSE
151,Tryptamine,,,C00398,FALSE,FALSE
152,Xanthurenate,C02470,,C02470,FALSE,FALSE
