Metabolite,Mass,Metabolite id,Charge,Phosphate,Topological Polar Surface Area [],Intracellular concentration [M],log P,Compound class,Ref,Comment
Xylulose-5-phosphate,228.093921,xu5p__D,-2,1,145,0.0009,-3.7,Phosphorylated sugar,"Bennet et al, glucose",
Adenosine,,adn,,,,,,Nucleosides and nucleotides,,
Cysteine,,cys__L,,,,,,Amino acid,,
D-arabinose,,arab__D,,,,,,Sugar,,
D-Glucose,,glc__D,,,,,,Sugar,,
D-xylose,,xyl__D,,,,,,Sugar,,
Formate,,for,,,,,,Carboxylic acid,,
Glycerol,,glyc,,,,,,Alcohol,,
Inosine,,ins,,,,,,Nucleosides and nucleotides,,
L-Alanine,,ala__L,,,,,,Amino acid,,
L-Arginine,,arg__L,,,,,,Amino acid,,
L-Aspartate,,asp__L,,,,,,Amino acid,,
L-Glutamate,,glu__L,,,,,,Amino acid,,
L-Glutamine,,gln__L,,,,,,Amino acid,,
L-Histidine,,his__L,,,,,,Amino acid,,
L-Isoleucine,,ile__L,,,,,,Amino acid,,
L-Lactate,,lac__L,,,,,,Amino acid,,
L-Leucine,,leu__L,,,,,,Amino acid,,
Mannitol,,mnl,,,,,,Alcohol,,
Mannose,,man,,,,,,Sugar,,
myo-inositol,,inost,,,,,,Nucleosides and nucleotides,,
Ribose,,rib__D,,,,,,Sugar,,
Sucrose,,sucr,,,,,,Sugar,,
Uridine,,uri,,,,,,Nucleosides and nucleotides,,
D-Cellobiose,,cellb,,,,,,Other,,
D-Fructose,,fru,,,,,,Sugar,,
D-Galactose,,gal,,,,,,Sugar,,
D-Raffinose,,raffin,,,,,,Sugar,,
L-Methionine,,met__L,,,,,,Amino acid,,
Pectin,,pectin,,,,,,Other,,
Propionic acid,,ppa,,,,,,Carboxylic acid,,
4-Hydroxy-benzyl alcohol,,4hba,,,,,,Other,,
5'-deoxyribose,,5drib,,,,,,Other,,
Acetaldehyde,,acald,,,,,,Other,,
Biotin,,btn,,,,,,Vitamin,,
Formaldehyde,,fald,,,,,,Other,,
Fe(III)dicitrate,,fe3dcit,,,,,,Other,,
Methanol,,meoh,,,,,,Alcohol,,
D-Ribulose 5-phosphate,,ru5p__D,,,,,,Phosphorylated sugar,,
D-Xylulose 5-phosphate,,xu5p__D,,,,,,Phosphorylated sugar,,
D-Alanyl-D-alanine,,alaala,,,,,,Other,,
