,Metabolite name,Metabolite id,Mass,Charge,Phosphate,Topological Polar Surface Area,log P,Metabolite class,Pathway,Average carbon oxidation,Leakage (mM/gDW/h),Time,Glucose,Predicted growth rate,Shadow price,Turnover,Uptake (mM/gDW/h),log10(leakage),log10(-Shadow price),log10(Turnover)
26,Glutamate,glu__L,146.12132,-1,0,101,-3.7,Amino acid,Amino acid,-0.2,2.059369465,6,1.53427437,0.15069692,-0.077015521,1.472062894,0,0.313734269,-1.113421742,0.167926366
27,Proline,pro__L,115.13046,0,0,49.3,-2.5,Amino acid,Amino acid,-1,0.025033697,6,1.53427437,0.15069692,-0.097060657,0.033312308,0,-1.601475004,-1.012956774,-1.477395282
28,Serine,ser__L,105.09258,0,0,83.6,-3.1,Amino acid,Amino acid,-0.333333333,0.016473758,6,1.53427437,0.15069692,-0.045365307,0.258923303,0,-1.783207308,-1.343276146,-0.586828861
29,Glycine,gly,75.0666,0,0,63.3,-3.2,Amino acid,Amino acid,-0.5,0.016417956,6,1.53427437,0.15069692,-0.026902682,0.168099475,0,-1.784680918,-1.570204421,-0.774433642
30,Arginine,arg__L,175.2089,1,0,128,-4.2,Amino acid,Amino acid,0.333333333,1.37006946,6,1.53427437,0.15069692,-0.112885764,0.044574943,0,0.136742586,-0.947360824,-1.350909201
31,Histidine,his__L,155.15456,0,0,92,-3.2,Amino acid,Amino acid,0.666666667,0.366872065,6,1.53427437,0.15069692,-0.113413267,0.014276725,0,-0.435485356,-0.945336138,-1.845371412
32,Acetate,ac,59.04402,-1,0,40.1,0.4,Organic acid,Other,0,846.1456615,6,1.53427437,0.15069692,-0.028485193,0.087792409,0,2.927445132,-1.545380838,-1.056543035
33,Orotate,orot,155.08832,-1,0,98.3,-0.8,Organic acid,Pyrimidine metabolism,2,91.2651611,6,1.53427437,0.15069692,-0.054860371,0,0,1.960305025,-1.260741258,#NAME?
34,Uracil,ura,112.08676,0,0,58.2,-1.1,Other,Pyrimidine metabolism,1.5,0,6,1.53427437,0.15069692,,,17.03574909,#NAME?,,
0,Glucose-6-phosphate,g6p,258.119901,-2,1,165,-4.5,Phosphorylated sugar,Glycolysis,0.833333333,1.549499187,6.5,0.979751238,0.09224246,-0.106555721,0.979751238,0,0.190191353,-0.972423228,-0.008884179
1,Fructose-6-phosphate,f6p,258.119901,-2,1,165,-4.3,Phosphorylated sugar,Glycolysis,0.833333333,1.694596454,6.5,0.979751238,0.09224246,-0.106555721,57.76278499,0,0.229066293,-0.972423228,1.761648124
2,"Fructose-1,6-bisphosphate",fdp,336.083922,-4,2,215,-5.9,Phosphorylated sugar,Glycolysis,3.333333333,0.016284702,6.5,0.979751238,0.09224246,-0.111830757,0,0,-1.788220179,-0.951438737,#NAME?
3,Dihydroxyacetonephosphate,dhap,168.041961,-2,1,104,-5.9,Other,Glycolysis,1.666666667,1.893070774,6.5,0.979751238,0.09224246,-0.055915378,0.818884208,0,0.277166851,-1.252468732,-0.086777504
4,Glyceraldehyde-3-phosphate,g3p,168.041961,-2,1,104,-2.75,Other,Glycolysis,1.666666667,0.290997574,6.5,0.979751238,0.09224246,-0.055915378,58.65471694,0,-0.536110631,-1.252468732,1.768302943
5,2/3-phosphoglycerate,"2pg, 3pg",183.033421,-3,1,124,-2.6,Phosphorylated sugar,Glycolysis,2.333333333,0.629708446,6.5,0.979751238,0.09224246,-0.045365307,1.577660955,0,-0.200860481,-1.343276146,0.198013677
6,Phosphoenolpyruvate,pep,165.018141,-3,1,104,-1.1,Phosphorylated sugar,Glycolysis,2.333333333,0.228503094,6.5,0.979751238,0.09224246,-0.045365307,1.498416726,0,-0.641107915,-1.343276146,0.175632612
7,Pyruvate,pyr,87.05412,-1,0,57.2,-0.6,Organic acid,Glycolysis,0.666666667,419.3137476,6.5,0.979751238,0.09224246,-0.040090271,1.292400148,0,2.622539101,-1.396961005,0.111396999
8,Ribose-5-phosphate,r5p,228.093921,-2,1,137,-3.6,Phosphorylated sugar,PPP,1,0.330142305,6.5,0.979751238,0.09224246,-0.089675607,0.148479606,0,-0.48129882,-1.047325676,-0.828333195
9,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",228.093921,-2,1,145,-3.7,Phosphorylated sugar,PPP,1,0.16977449,6.5,0.979751238,0.09224246,-0.089675607,14.33220268,0,-0.770127566,-1.047325676,1.156312941
10,Erythrose-4-phosphate,e4p,198.067941,-2,1,124,-3.3,Phosphorylated sugar,PPP,1.25,0.063205348,6.5,0.979751238,0.09224246,-0.072795493,57.5233083,0,-1.199246175,-1.137895511,1.759843855
11,Citrate,cit,189.0997,-3,0,141,0.2,Organic acid,TCA,1,5.654300204,6.5,0.979751238,0.09224246,-0.078070528,0.708777679,0,0.752378863,-1.107512882,-0.149489968
12,Cis-aconitate,acon_C,171.08442,-3,0,112,-1,Organic acid,TCA,1,0.723691938,6.5,0.979751238,0.09224246,-0.078070528,0.708777679,0,-0.140446265,-1.107512882,-0.149489968
13,Isocitrate,icit,189.0997,-3,0,132,-1.8,Organic acid,TCA,1,1.226252481,6.5,0.979751238,0.09224246,-0.078070528,0.708777679,0,0.088579899,-1.107512882,-0.149489968
14,alpha-Ketoglutarate,akg,144.08226,-2,0,91.7,-0.9,Other,TCA,0.8,0,6.5,0.979751238,0.09224246,,,0.093389071,#NAME?,,
15,Fumarate,fum,114.05628,-2,0,80.3,-0.041,Organic acid,TCA,1,0.349013004,6.5,0.979751238,0.09224246,-0.052750357,4.78562505,0,-0.457158392,-1.277774597,0.679938669
16,Alanine,ala__L,89.09318,0,0,63.3,-3,Amino acid,Amino acid,-1,0.0861687,6.5,0.979751238,0.09224246,-0.048530328,0.053792205,0,-1.06465046,-1.31398677,-1.269280654
17,Valine,val__L,117.14634,0,0,63.3,-2.3,Amino acid,Amino acid,-1.4,0.038547552,6.5,0.979751238,0.09224246,-0.09600565,0.092659211,0,-1.414003195,-1.017703209,-1.033111402
18,Aspartate,asp__L,132.09474,-1,0,101,-2.8,Amino acid,Amino acid,0.25,0.033989886,6.5,0.979751238,0.09224246,-0.053805364,0.239542967,0,-1.468650297,-1.269174426,-0.620616575
19,Homoserine,hom__L,119.11916,0,0,83.6,-4.4,Amino acid,Amino acid,-0.75,0.128778189,6.5,0.979751238,0.09224246,-0.0738505,0.064396952,0,-0.890157688,-1.131646562,-1.191134691
20,Threonine,thr__L,119.11916,0,0,83.6,-2.9,Amino acid,Amino acid,-0.75,0.13723977,6.5,0.979751238,0.09224246,-0.078070528,0.050199822,0,-0.862520019,-1.107512882,-1.29929782
21,Methionine,met__L,149.21134,0,0,88.6,-1.9,Amino acid,Amino acid,-1.4,0.01514517,6.5,0.979751238,0.09224246,-0.158778574,0.014259208,0,-1.819725858,-0.799208102,-1.845904585
22,Tryptophane,trp__L,204.22518,0,0,79.1,-1.1,Amino acid,Amino acid,-0.181818182,0.006840139,6.5,0.979751238,0.09224246,-0.215221456,0.005243338,0,-2.164935092,-0.667114434,-2.280392135
23,Tyrosine,tyr__L,181.18854,0,0,83.6,-2.3,Amino acid,Amino acid,-0.555555556,0.006989025,6.5,0.979751238,0.09224246,-0.173021171,0.012740436,0,-2.155583383,-0.761900754,-1.8948157
24,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.007700354,6.5,0.979751238,0.09224246,-0.180406221,0.017089299,0,-2.11348933,-0.743748491,-1.767275745
25,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.007700354,6.5,0.979751238,0.09224246,-0.180406221,0.017089299,0,-2.11348933,-0.743748491,-1.767275745
26,Glutamate,glu__L,146.12132,-1,0,101,-3.7,Amino acid,Amino acid,-0.2,1.510378951,6.5,0.979751238,0.09224246,-0.077015521,0.901538366,0,0.179085925,-1.113421742,-0.045015787
27,Proline,pro__L,115.13046,0,0,49.3,-2.5,Amino acid,Amino acid,-1,0.018360168,6.5,0.979751238,0.09224246,-0.097060657,0.020390657,0,-1.736123348,-1.012956774,-1.690568783
28,Serine,ser__L,105.09258,0,0,83.6,-3.1,Amino acid,Amino acid,-0.333333333,0.012082153,6.5,0.979751238,0.09224246,-0.045365307,0.158488457,0,-1.917855652,-1.343276146,-0.800002362
29,Glycine,gly,75.0666,0,0,63.3,-3.2,Amino acid,Amino acid,-0.5,0.012041227,6.5,0.979751238,0.09224246,-0.026902682,0.102894665,0,-1.919329262,-1.570204421,-0.987607143
30,Arginine,arg__L,175.2089,1,0,128,-4.2,Amino acid,Amino acid,0.333333333,1.004833814,6.5,0.979751238,0.09224246,-0.112885764,0.027284582,0,0.002094241,-0.947360824,-1.564082702
31,Histidine,his__L,155.15456,0,0,92,-3.2,Amino acid,Amino acid,0.666666667,0.269070632,6.5,0.979751238,0.09224246,-0.113413267,0.008738866,0,-0.570133701,-0.945336138,-2.058544913
32,Acetate,ac,59.04402,-1,0,40.1,0.4,Organic acid,Other,0,620.578589,6.5,0.979751238,0.09224246,-0.028485193,0.053738243,0,2.792796788,-1.545380838,-1.269716536
33,Orotate,orot,155.08832,-1,0,98.3,-0.8,Organic acid,Pyrimidine metabolism,2,66.93552597,6.5,0.979751238,0.09224246,-0.054860371,0,0,1.82565668,-1.260741258,#NAME?
34,Uracil,ura,112.08676,0,0,58.2,-1.1,Other,Pyrimidine metabolism,1.5,0,6.5,0.979751238,0.09224246,,,12.49432765,#NAME?,,
0,Glucose-6-phosphate,g6p,258.119901,-2,1,165,-4.5,Phosphorylated sugar,Glycolysis,0.833333333,1.424500977,7,0.684948866,0.165513776,-0.108836584,0.684948866,0,0.153662751,-0.963225097,-0.164341849
1,Fructose-6-phosphate,f6p,258.119901,-2,1,165,-4.3,Phosphorylated sugar,Glycolysis,0.833333333,2.818145276,7,0.684948866,0.165513776,-0.108836584,0.684948866,0,0.449963377,-0.963225097,-0.164341849
2,"Fructose-1,6-bisphosphate",fdp,336.083922,-4,2,215,-5.9,Phosphorylated sugar,Glycolysis,3.333333333,2.098846916,7,0.684948866,0.165513776,-0.114333381,0,0,0.321980763,-0.941826952,#NAME?
3,Dihydroxyacetonephosphate,dhap,168.041961,-2,1,104,-5.9,Other,Glycolysis,1.666666667,2.168360587,7,0.684948866,0.165513776,-0.057166691,0.551320326,0,0.336131505,-1.242856948,-0.258595996
4,Glyceraldehyde-3-phosphate,g3p,168.041961,-2,1,104,-2.75,Other,Glycolysis,1.666666667,0.909586276,7,0.684948866,0.165513776,-0.057166691,1.116096921,0,-0.041156101,-1.242856948,0.04770191
5,2/3-phosphoglycerate,"2pg, 3pg",183.033421,-3,1,124,-2.6,Phosphorylated sugar,Glycolysis,2.333333333,0.862644574,7,0.684948866,0.165513776,-0.046173096,0.859395399,0,-0.064168105,-1.335611001,-0.065806976
6,Phosphoenolpyruvate,pep,165.018141,-3,1,104,-1.1,Phosphorylated sugar,Glycolysis,2.333333333,0.177738954,7,0.684948866,0.165513776,-0.046173096,0.822149525,0,-0.75021738,-1.335611001,-0.08504919
7,Pyruvate,pyr,87.05412,-1,0,57.2,-0.6,Organic acid,Glycolysis,0.666666667,780.616515,7,0.684948866,0.165513776,-0.040676299,1.951388061,0,2.892437735,-1.390658567,0.290343644
8,Ribose-5-phosphate,r5p,228.093921,-2,1,137,-3.6,Phosphorylated sugar,PPP,1,0.256798046,7,0.684948866,0.165513776,-0.091613286,0.138837424,0,-0.590408285,-1.038041537,-0.857493452
9,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",228.093921,-2,1,145,-3.7,Phosphorylated sugar,PPP,1,0.132057469,7,0.684948866,0.165513776,-0.091613286,0.058994737,0,-0.879237031,-1.038041537,-1.229186728
10,Erythrose-4-phosphate,e4p,198.067941,-2,1,124,-3.3,Phosphorylated sugar,PPP,1.25,0.049163677,7,0.684948866,0.165513776,-0.074389989,0.64187374,0,-1.30835564,-1.128485508,-0.192550391
11,Citrate,cit,189.0997,-3,0,141,0.2,Organic acid,TCA,1,12.79685882,7,0.684948866,0.165513776,-0.074756442,0.539317169,0,1.107103379,-1.126351379,-0.268155754
12,Cis-aconitate,acon_C,171.08442,-3,0,112,-1,Organic acid,TCA,1,0.820769366,7,0.684948866,0.165513776,-0.074756442,0.539317169,0,-0.085778861,-1.126351379,-0.268155754
13,Isocitrate,icit,189.0997,-3,0,132,-1.8,Organic acid,TCA,1,2.105052128,7,0.684948866,0.165513776,-0.074756442,0.539317169,0,0.323262855,-1.126351379,-0.268155754
14,alpha-Ketoglutarate,akg,144.08226,-2,0,91.7,-0.9,Other,TCA,0.8,2.254839154,7,0.684948866,0.165513776,-0.065961566,2.004635084,0,0.353115567,-1.180709041,0.302035327
15,Fumarate,fum,114.05628,-2,0,80.3,-0.041,Organic acid,TCA,1,0.771812367,7,0.684948866,0.165513776,-0.049471175,7.774236891,0,-0.112488267,-1.305647777,0.89065777
16,Alanine,ala__L,89.09318,0,0,63.3,-3,Amino acid,Amino acid,-1,0.067025502,7,0.684948866,0.165513776,-0.048371815,0.461489193,0,-1.173759925,-1.315407615,-0.335838465
17,Valine,val__L,117.14634,0,0,63.3,-2.3,Amino acid,Amino acid,-1.4,0.029983846,7,0.684948866,0.165513776,-0.095644271,0.531229581,0,-1.52311266,-1.019341039,-0.27471775
18,Aspartate,asp__L,132.09474,-1,0,101,-2.8,Amino acid,Amino acid,0.25,0.026438709,7,0.684948866,0.165513776,-0.049471175,0.419933112,0,-1.577759762,-1.305647777,-0.37681988
19,Homoserine,hom__L,119.11916,0,0,83.6,-4.4,Amino acid,Amino acid,-0.75,0.153543139,7,0.684948866,0.165513776,-0.068160285,0.115549636,0,-0.813769586,-1.166468602,-0.937231418
20,Threonine,thr__L,119.11916,0,0,83.6,-2.9,Amino acid,Amino acid,-0.75,0.106750647,7,0.684948866,0.165513776,-0.072557723,0.090075245,0,-0.971629484,-1.139316356,-1.045394547
21,Methionine,met__L,149.21134,0,0,88.6,-1.9,Amino acid,Amino acid,-1.4,0.011780526,7,0.684948866,0.165513776,-0.150062563,0.025585782,0,-1.928835323,-0.82372764,-1.592001312
22,Tryptophane,trp__L,204.22518,0,0,79.1,-1.1,Amino acid,Amino acid,-0.181818182,0.005320537,7,0.684948866,0.165513776,-0.218772528,0.0094083,0,-2.274044557,-0.660007215,-2.026488862
23,Tyrosine,tyr__L,181.18854,0,0,83.6,-2.3,Amino acid,Amino acid,-0.555555556,0.005436347,7,0.684948866,0.165513776,-0.174431697,0.022860597,0,-2.264692847,-0.758374593,-1.640912427
24,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.005989647,7,0.684948866,0.165513776,-0.182127213,0.03066391,0,-2.222598795,-0.739625157,-1.513372472
25,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.005989647,7,0.684948866,0.165513776,-0.182127213,0.03066391,0,-2.222598795,-0.739625157,-1.513372472
26,Glutamate,glu__L,146.12132,-1,0,101,-3.7,Amino acid,Amino acid,-0.2,0,7,0.684948866,0.165513776,,,1.222491429,#NAME?,,
27,Proline,pro__L,115.13046,0,0,49.3,-2.5,Amino acid,Amino acid,-1,0.014281282,7,0.684948866,0.165513776,-0.092346193,0.036587648,0,-1.845232813,-1.034581005,-1.43666551
28,Serine,ser__L,105.09258,0,0,83.6,-3.1,Amino acid,Amino acid,-0.333333333,0.009397988,7,0.684948866,0.165513776,-0.045073737,0.276540997,0,-2.026965117,-1.346076435,-0.558240476
29,Glycine,gly,75.0666,0,0,63.3,-3.2,Amino acid,Amino acid,-0.5,0.009366154,7,0.684948866,0.165513776,-0.030520491,0.176787168,0,-2.028438727,-1.515408487,-0.752549262
30,Arginine,arg__L,175.2089,1,0,128,-4.2,Amino acid,Amino acid,0.333333333,0,7,0.684948866,0.165513776,,,0.234871613,#NAME?,,
31,Histidine,his__L,155.15456,0,0,92,-3.2,Amino acid,Amino acid,0.666666667,0,7,0.684948866,0.165513776,,,0.091711905,#NAME?,,
32,Acetate,ac,59.04402,-1,0,40.1,0.4,Organic acid,Other,0,1355.552247,7,0.684948866,0.165513776,-0.028583345,0.047466703,0,3.132116261,-1.543886943,-1.323610935
33,Orotate,orot,155.08832,-1,0,98.3,-0.8,Organic acid,Pyrimidine metabolism,2,141.0087714,7,0.684948866,0.165513776,-0.050570534,0.05475113,0,2.149246129,-1.29610246,-1.261606916
34,Uracil,ura,112.08676,0,0,58.2,-1.1,Other,Pyrimidine metabolism,1.5,4.236364786,7,0.684948866,0.165513776,-0.053868612,0,0,0.626993349,-1.268664211,#NAME?
0,Glucose-6-phosphate,g6p,258.119901,-2,1,165,-4.5,Phosphorylated sugar,Glycolysis,0.833333333,1.164626826,7.5,0.483650884,0.12490266,-0.108836584,0.483650884,0,0.066186789,-0.963225097,-0.315468014
1,Fructose-6-phosphate,f6p,258.119901,-2,1,165,-4.3,Phosphorylated sugar,Glycolysis,0.833333333,2.30402621,7.5,0.483650884,0.12490266,-0.108836584,0.483650884,0,0.362487415,-0.963225097,-0.315468014
2,"Fructose-1,6-bisphosphate",fdp,336.083922,-4,2,215,-5.9,Phosphorylated sugar,Glycolysis,3.333333333,1.715950681,7.5,0.483650884,0.12490266,-0.114333381,0.382809972,0,0.234504801,-0.941826952,-0.417016758
3,Dihydroxyacetonephosphate,dhap,168.041961,-2,1,104,-5.9,Other,Glycolysis,1.666666667,1.772782854,7.5,0.483650884,0.12490266,-0.057166691,0.382809972,0,0.248655543,-1.242856948,-0.417016758
4,Glyceraldehyde-3-phosphate,g3p,168.041961,-2,1,104,-2.75,Other,Glycolysis,1.666666667,0.743648895,7.5,0.483650884,0.12490266,-0.057166691,0.77577453,0,-0.128632063,-1.242856948,-0.110264483
5,2/3-phosphoglycerate,"2pg, 3pg",183.033421,-3,1,124,-2.6,Phosphorylated sugar,Glycolysis,2.333333333,0.705270848,7.5,0.483650884,0.12490266,-0.046173096,0.58205831,0,-0.151644067,-1.335611001,-0.235033506
6,Phosphoenolpyruvate,pep,165.018141,-3,1,104,-1.1,Phosphorylated sugar,Glycolysis,2.333333333,0.145313733,7.5,0.483650884,0.12490266,-0.046173096,0.587187445,0,-0.837693342,-1.335611001,-0.231223239
7,Pyruvate,pyr,87.05412,-1,0,57.2,-0.6,Organic acid,Glycolysis,0.666666667,638.2073081,7.5,0.483650884,0.12490266,-0.040676299,1.275266507,0,2.804961773,-1.390658567,0.105600954
8,Ribose-5-phosphate,r5p,228.093921,-2,1,137,-3.6,Phosphorylated sugar,PPP,1,0.209949939,7.5,0.483650884,0.12490266,-0.091613286,0.104771724,0,-0.677884248,-1.038041537,-0.979755911
9,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",228.093921,-2,1,145,-3.7,Phosphorylated sugar,PPP,1,0.107965999,7.5,0.483650884,0.12490266,-0.091613286,0.044519555,0,-0.966712993,-1.038041537,-1.351449187
10,Erythrose-4-phosphate,e4p,198.067941,-2,1,124,-3.3,Phosphorylated sugar,PPP,1.25,0.040194664,7.5,0.483650884,0.12490266,-0.074389989,0.06833487,0,-1.395831602,-1.128485508,-1.165357628
11,Citrate,cit,189.0997,-3,0,141,0.2,Organic acid,TCA,1,10.46230597,7.5,0.483650884,0.12490266,-0.074756442,0.432230881,0,1.019627417,-1.126351379,-0.364284208
12,Cis-aconitate,acon_C,171.08442,-3,0,112,-1,Organic acid,TCA,1,0.671035006,7.5,0.483650884,0.12490266,-0.074756442,0.432230881,0,-0.173254823,-1.126351379,-0.364284208
13,Isocitrate,icit,189.0997,-3,0,132,-1.8,Organic acid,TCA,1,1.721023865,7.5,0.483650884,0.12490266,-0.074756442,0.432230881,0,0.235786893,-1.126351379,-0.364284208
14,alpha-Ketoglutarate,akg,144.08226,-2,0,91.7,-0.9,Other,TCA,0.8,1.843484988,7.5,0.483650884,0.12490266,-0.065961566,1.644508722,0,0.265639605,-1.180709041,0.216036181
15,Fumarate,fum,114.05628,-2,0,80.3,-0.041,Organic acid,TCA,1,0.631009316,7.5,0.483650884,0.12490266,-0.049471175,6.322799426,0,-0.199964229,-1.305647777,0.800909405
16,Alanine,ala__L,89.09318,0,0,63.3,-3,Amino acid,Amino acid,-1,0.054797925,7.5,0.483650884,0.12490266,-0.048371815,0.12569242,0,-1.261235887,-1.315407615,-0.900690913
17,Valine,val__L,117.14634,0,0,63.3,-2.3,Amino acid,Amino acid,-1.4,0.024513842,7.5,0.483650884,0.12490266,-0.095644271,0.05285406,0,-1.610588622,-1.019341039,-1.276921651
18,Aspartate,asp__L,132.09474,-1,0,101,-2.8,Amino acid,Amino acid,0.25,0.02161545,7.5,0.483650884,0.12490266,-0.049471175,0.316896659,0,-1.665235724,-1.305647777,-0.499082339
19,Homoserine,hom__L,119.11916,0,0,83.6,-4.4,Amino acid,Amino acid,-0.75,0.125532001,7.5,0.483650884,0.12490266,-0.068160285,0.087197919,0,-0.901245548,-1.166468602,-1.059493877
20,Threonine,thr__L,119.11916,0,0,83.6,-2.9,Amino acid,Amino acid,-0.75,0.087275944,7.5,0.483650884,0.12490266,-0.072557723,0.068624144,0,-1.059105447,-1.139316356,-1.163523057
21,Methionine,met__L,149.21134,0,0,88.6,-1.9,Amino acid,Amino acid,-1.4,0.009631384,7.5,0.483650884,0.12490266,-0.150062563,0.019307953,0,-2.016311285,-0.82372764,-1.714263771
22,Tryptophane,trp__L,204.22518,0,0,79.1,-1.1,Amino acid,Amino acid,-0.181818182,0.004349902,7.5,0.483650884,0.12490266,-0.218772528,0.007099842,0,-2.361520519,-0.660007215,-2.148751321
23,Tyrosine,tyr__L,181.18854,0,0,83.6,-2.3,Amino acid,Amino acid,-0.555555556,0.004444585,7.5,0.483650884,0.12490266,-0.174431697,0.017251431,0,-2.35216881,-0.758374593,-1.763174886
24,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.004896945,7.5,0.483650884,0.12490266,-0.182127213,0.023140091,0,-2.310074757,-0.739625157,-1.635634931
25,Phenylalanine,phe__L,165.18914,0,0,63.3,-1.5,Amino acid,Amino acid,-0.777777778,0.004896945,7.5,0.483650884,0.12490266,-0.182127213,0.023140091,0,-2.310074757,-0.739625157,-1.635634931
26,Glutamate,glu__L,146.12132,-1,0,101,-3.7,Amino acid,Amino acid,-0.2,0,7.5,0.483650884,0.12490266,,,0.999470225,#NAME?,,
27,Proline,pro__L,115.13046,0,0,49.3,-2.5,Amino acid,Amino acid,-1,0.011675923,7.5,0.483650884,0.12490266,-0.092346193,0.300633833,0,-1.932708775,-1.034581005,-0.521962145
28,Serine,ser__L,105.09258,0,0,83.6,-3.1,Amino acid,Amino acid,-0.333333333,0.007683497,7.5,0.483650884,0.12490266,-0.045073737,0.208687802,0,-2.114441079,-1.346076435,-0.680502935
29,Glycine,gly,75.0666,0,0,63.3,-3.2,Amino acid,Amino acid,-0.5,0.00765747,7.5,0.483650884,0.12490266,-0.030855059,0.133409968,0,-2.115914689,-1.510673617,-0.874811721
30,Arginine,arg__L,175.2089,1,0,128,-4.2,Amino acid,Amino acid,0.333333333,0,7.5,0.483650884,0.12490266,,,0.192023582,#NAME?,,
31,Histidine,his__L,155.15456,0,0,92,-3.2,Amino acid,Amino acid,0.666666667,0,7.5,0.483650884,0.12490266,,,0.074980745,#NAME?,,
32,Acetate,ac,59.04402,-1,0,40.1,0.4,Organic acid,Other,0,1108.25653,7.5,0.483650884,0.12490266,-0.028583345,0.035820085,0,3.044640299,-1.543886943,-1.445873394
33,Orotate,orot,155.08832,-1,0,98.3,-0.8,Organic acid,Pyrimidine metabolism,2,115.2842999,7.5,0.483650884,0.12490266,-0.050570534,0.041317175,0,2.061770167,-1.29610246,-1.383869375
34,Uracil,ura,112.08676,0,0,58.2,-1.1,Other,Pyrimidine metabolism,1.5,3.463517508,7.5,0.483650884,0.12490266,-0.053868612,0,0,0.539517387,-1.268664211,#NAME?
0,Glucose-6-phosphate,g6p,258.119901,-2,1,165,-4.5,Phosphorylated sugar,Glycolysis,0.833333333,0.68732678,8,0.319464759,0.557501656,-0.059417822,0.319464759,0,-0.162836735,-1.226083274,-0.495577043
1,Fructose-6-phosphate,f6p,258.119901,-2,1,165,-4.3,Phosphorylated sugar,Glycolysis,0.833333333,1.966005363,8,0.319464759,0.557501656,-0.059502088,0.450102307,0,0.293584698,-1.225467793,-0.346688761
2,"Fructose-1,6-bisphosphate",fdp,336.083922,-4,2,215,-5.9,Phosphorylated sugar,Glycolysis,3.333333333,2.079742675,8,0.319464759,0.557501656,-0.061672994,0,0,0.318009603,-1.209904965,#NAME?
3,Dihydroxyacetonephosphate,dhap,168.041961,-2,1,104,-5.9,Other,Glycolysis,1.666666667,1.512700065,8,0.319464759,0.557501656,-0.026883311,0.209415876,0,0.179752826,-1.570517242,-0.678990396
4,Glyceraldehyde-3-phosphate,g3p,168.041961,-2,1,104,-2.75,Other,Glycolysis,1.666666667,0.634549081,8,0.319464759,0.557501656,-0.0268798,0.739059031,0,-0.19753478,-1.570573974,-0.131320872
5,2/3-phosphoglycerate,"2pg, 3pg",183.033421,-3,1,124,-2.6,Phosphorylated sugar,Glycolysis,2.333333333,0.60180143,8,0.319464759,0.557501656,-0.019768429,0.614955818,0,-0.220546784,-1.704027844,-0.211156086
6,Phosphoenolpyruvate,pep,165.018141,-3,1,104,-1.1,Phosphorylated sugar,Glycolysis,2.333333333,0.123994934,8,0.319464759,0.557501656,-0.018597461,1.077090125,0,-0.906596059,-1.730546344,0.032252044
7,Pyruvate,pyr,87.05412,-1,0,57.2,-0.6,Organic acid,Glycolysis,0.666666667,0,8,0.319464759,0.557501656,,,344.42801,#NAME?,,
8,Ribose-5-phosphate,r5p,228.093921,-2,1,137,-3.6,Phosphorylated sugar,PPP,1,0.179148442,8,0.319464759,0.557501656,-0.049573696,0.467647441,0,-0.746786965,-1.304748698,-0.330081437
9,Ribu-/Xylulose-5-phosphate,"ru5p__D, ru5p__L, xu5p__D, xu5p__L",228.093921,-2,1,145,-3.7,Phosphorylated sugar,PPP,1,0.09212644,8,0.319464759,0.557501656,-0.049345854,0.198712545,0,-1.03561571,-1.306749333,-0.701774714
10,Erythrose-4-phosphate,e4p,198.067941,-2,1,124,-3.3,Phosphorylated sugar,PPP,1.25,0.034297754,8,0.319464759,0.557501656,-0.038046452,0.305011943,0,-1.464734319,-1.419685834,-0.515683155
11,Citrate,cit,189.0997,-3,0,141,0.2,Organic acid,TCA,1,2.442255885,8,0.319464759,0.557501656,-0.021766999,10.57948728,0,0.387791165,-1.662201438,1.024464621
12,Cis-aconitate,acon_C,171.08442,-3,0,112,-1,Organic acid,TCA,1,0.572588287,8,0.319464759,0.557501656,-0.022606057,10.57948728,0,-0.24215754,-1.645775176,1.024464621
13,Isocitrate,icit,189.0997,-3,0,132,-1.8,Organic acid,TCA,1,1.109990641,8,0.319464759,0.557501656,-0.023445115,10.57948728,0,0.045319317,-1.629947626,1.024464621
14,alpha-Ketoglutarate,akg,144.08226,-2,0,91.7,-0.9,Other,TCA,0.8,1.573029576,8,0.319464759,0.557501656,-0.020191606,12.32640028,0,0.196736888,-1.694829131,1.090836267
15,Fumarate,fum,114.05628,-2,0,80.3,-0.041,Organic acid,TCA,1,0,8,0.319464759,0.557501656,,,0.455959452,#NAME?,,
16,Alanine,ala__L,89.09318,0,0,63.3,-3,Amino acid,Amino acid,-1,0.046758589,8,0.319464759,0.557501656,-0.011860998,0.563928535,0,-1.330138604,-1.92587876,-0.24877593
17,Valine,val__L,117.14634,0,0,63.3,-2.3,Amino acid,Amino acid,-1.4,0.020917446,8,0.319464759,0.557501656,-0.086491323,0.235913516,0,-1.679491339,-1.063027459,-0.627247177
