,log10(Rate [mmol/gDW/h])
321,-3.4692943836246437
322,-3.9324532829380536
324,-3.9206878366466484
326,-3.375440158043373
327,-4.653602489518844
328,-2.9964351862371217
329,
330,-2.6933050536557093
331,-0.8973298018114589
332,-3.5264009347059644
333,-2.981604924559517
334,-3.2582793098124054
335,-2.1814799339256377
336,-3.701249772099468
337,-1.8485412898559286
338,-2.260655081798721
339,-2.449071175471924
340,-1.8466949744916468
341,-2.706285065421642
342,0.22178703124858673
343,0.4772681755609691
344,-0.5176320537713216
346,-3.3320289970556174
347,0.9033442650477134
