,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
Intercept,-4.5900483612756435,0.28339533097065817,-16.196626618915193,7.782562856823818e-35,-5.149980551219838,-4.030116171331449
G[T.Carboxylic acid],1.8757591397040454,0.2934271526060421,6.3925888352345375,1.9238601847229945e-09,1.2960060873688202,2.4555121920392704
G[T.Nucleosides and nucleotides],0.008863224357102264,0.33049118188228255,0.026818338409583496,0.9786400367315404,-0.6441208971341275,0.661847345848332
G[T.Other],1.285524800485488,0.49313827016628864,2.606824248404008,0.010054773839399391,0.31118273700212484,2.2598668639688513
G[T.Phosphorylated sugar],0.9312695745212584,0.3498043381900716,2.6622585052539818,0.008602713192708542,0.24012653958175267,1.622412609460764
A,0.4999238325035357,0.07922771900605505,6.3099611950879035,2.9393241451531698e-09,0.34338579055556595,0.6564618744515055
B,-0.8303332656590388,0.2250550699566673,-3.6894670527480824,0.0003130931706666374,-1.27499683067708,-0.38566970064099754
C,0.44414206336597045,0.10708387464807251,4.1476091972356075,5.586288433419993e-05,0.23256585907905908,0.6557182676528819
