,Species,Carbon source,model,RSS,RMSD,bic,aic,weighted_bic,weighted_aic,y0,K,r,nu,q0,v,has_lag,has_nu,max_growth_rate,min_doubling_time,lag,Binary growth evaluation,Yield
44,Ct,L-alanine,Model(BaranyiRoberts),0.009206213,0.004508078,-4857.41192,-4882.107272,0.00406223,0.142272556,0.049588331,0.194929646,0.519350858,0.100023182,0.012408866,0.095134095,TRUE,FALSE,0.025956918,29.62017573,38.32743434,1,0.097333333
45,Ct,L-arginine,,,,,,,,,,,,,,,,,,,0,0.008333333
46,Ct,L-aspartate,Model(BaranyiRoberts),0.247714773,0.044339489,-756.1839691,-773.2016606,0.038786599,0.268403731,0.049426625,1.001924043,0.430040916,1.357555345,0.0001,2.039344542,TRUE,FALSE,0.400262295,1.743590813,7.210219648,1,1.038666667
47,Ct,L-glutamate,Model(BaranyiRoberts),0.110448131,0.029606967,-857.9581972,-874.9758887,0.108269459,0.333944797,0.049547341,1.397687934,2.794039927,0.1,0.0001,2.431312885,TRUE,TRUE,0.566137821,1.218412857,5.098341506,1,1.349
48,Ct,L-glutamine,Model(BaranyiRoberts),0.115273705,0.028293318,-996.9384494,-1014.757329,4.98E-06,2.20E-05,0.007768531,1.488542199,1.795320813,0.1,1.36379E+11,98921427812,TRUE,TRUE,0.412734729,1.008425092,4.692373032,1,1.341
49,Ct,L-histidine,Model(BaranyiRoberts),0.072749771,0.017410458,-1911.444592,-1932.328426,0.110332631,0.414103195,0.050800174,1.054287171,0.279038962,0.87968276,0.0001,0.667645406,TRUE,FALSE,0.217248898,3.242117117,17.94440307,1,1.004666667
50,Ct,L-isoleucine,Model(BaranyiRoberts),0.291606721,0.025371706,-3292.057981,-3316.753333,0.070380557,0.372171518,0.047106336,1.102633245,1.37248176,1.388093472,0.00691418,0.042386846,TRUE,FALSE,0.078755901,8.991839061,51.463273,1,0.998
51,Ct,L-Lactate,Model(BaranyiRoberts),0.10930005,0.027550465,-1004.601048,-1022.419928,0.936904805,0.98497417,0.047860458,1.320895592,0.607562686,0.56011623,0.0001,1.396451856,TRUE,TRUE,0.41441368,1.680708486,8.985911594,1,1.275333333
52,Ct,L-leucine,Model(BaranyiRoberts),0.124287621,0.020560812,-2249.907094,-2272.008573,0.063549446,0.299750014,0.056090803,1.327668992,0.843056538,0.135907903,0.0001,0.601165837,TRUE,TRUE,0.195561631,3.628600823,18.44786757,1,1.192666667
53,Ct,Malate,Model(BaranyiRoberts),0.189320135,0.032985554,-1156.31225,-1175.266582,0.005313753,0.090030569,0.001297435,0.978191977,3.623299496,0.1,7223730930,5305856950,FALSE,TRUE,0.85848217,0.406211767,3.094536541,1,0.969
54,Ct,Mannitol,,,,,,,,,,,,,,,,,,,0,0.007333333
55,Ct,Mannose,,,,,,,,,,,,,,,,,,,0,0.009
56,Ct,myo-inositol,,,,,,,,,,,,,,,,,,,0,0.015
57,Ct,Orotate,Model(BaranyiRoberts),0.034396655,0.008713828,-4260.321346,-4285.016699,0.009541765,0.220359806,0.051569836,0.105305742,2.958114412,5.378748886,0.001017456,0.036374044,TRUE,FALSE,0.016093295,72.99257591,32.58912297,1,0.055666667
58,Ct,Phenylalanine,Model(BaranyiRoberts),0.099789792,0.015874332,-3245.408539,-3269.297025,0.470507874,0.866759007,0.056097646,1.141333247,0.643224902,0.1,0.0001,0.520496634,TRUE,TRUE,0.120963514,5.944694695,22.29848542,1,0.932
59,Ct,Proline,Model(BaranyiRoberts),0.036599766,0.010830833,-2789.365569,-2811.823588,0.199631073,0.618432397,0.053638714,1.321551572,0.44081574,0.404103083,0.0001,0.666874784,TRUE,TRUE,0.233776787,3.018212657,17.18739331,1,1.259333333
60,Ct,Ribose,,,,,,,,,,,,,,,,,,,0,0.003
61,Ct,Sucrose,,,,,,,,,,,,,,,,,,,0,0.007
62,Ct,Uridine,,,,,,,,,,,,,,,,,,,0,0.027666667
63,Ct,No CS,,,,,,,,,,,,,,,,,,,0,0.004333333
64,Oa,Acetate,Model(BaranyiRoberts),0.3353122,0.03524056,-1773.010572,-1794.601104,0.96235928,0.993571165,0.057874403,1.149499914,1.49835984,0.1,0.000128499,0.605243094,TRUE,TRUE,0.227578349,3.107148815,16.67519529,1,1.102
65,Oa,Adenosine,,,,,,,,,,,,,,,,,,,0,0.039666667
66,Oa,Cysteine,Model(BaranyiRoberts),0.100265136,0.016551388,-2966.725032,-2990.140832,0.000365255,0.048264398,0.041206367,0.268834772,0.359049202,1.879908187,44869827668,33740517622,FALSE,FALSE,0.341051279,2.075603381,1.045227682,1,0.236
67,Oa,D-arabinose,Model(BaranyiRoberts),0.50399298,0.034890892,-2742.223194,-2766.37839,0.999174323,0.999889614,0.044614409,1.066922077,0.729808802,2.584515559,0.013775564,0.063005344,TRUE,TRUE,0.127454862,5.593468468,40.68836234,1,1.037666667
68,Oa,D-Glucose,Model(BaranyiRoberts),0.591842259,0.048462154,-1492.417369,-1513.593944,0.998874868,0.999807157,0.048951236,1.115225556,2.674368077,0.100000044,0.0001,0.630926043,TRUE,TRUE,0.34038268,2.059378823,15.53023261,1,1.153
69,Oa,D-xylose,Model(BaranyiRoberts),0.312828304,0.032619654,-1978.528605,-2000.630083,0.064954959,0.312921547,0.055873179,1.136891488,0.533839054,0.781619855,0.004073761,0.253070286,TRUE,FALSE,0.219059588,3.236319653,21.90597218,1,1.139333333
70,Oa,Formate,,,,,,,,,,,,,,,,,,,0,0.003
71,Oa,Fumarate,Model(BaranyiRoberts),0.165251138,0.032546923,-1038.323471,-1056.622607,1.60E-10,7.36E-10,0.007042983,1.078689946,0.474719573,1.22824355,3.302793326,791.089785,TRUE,TRUE,0.44534627,1.456678901,6.365106318,1,1.061333333
72,Oa,Glutarate,Model(BaranyiRoberts),0.29965175,0.03099068,-2133.360881,-2155.8189,0.999732289,0.999958792,0.056466786,1.087608458,3.017803422,0.1,0.0001,0.532255634,TRUE,TRUE,0.31307643,2.237640418,17.61793268,1,1.102666667
73,Oa,Glycerol,,,,,,,,,,,,,,,,,,,0,0.018333333
74,Oa,Glycine,Model(BaranyiRoberts),0.012840241,0.006974043,-2588.360075,-2609.81577,0.062703064,0.285648058,0.047434465,0.175379573,7.998608532,2.851059169,0.000550158,0.09470839,TRUE,TRUE,0.068927718,11.35977644,25.23495732,1,0.131333333
75,Oa,Inosine,Model(LogisticLag2),0.007283644,0.004009823,-4969.641865,-4990.221326,0.23832832,0.193656709,0.050135555,0.401261769,0.08552949,1,0.0001,0.174398556,TRUE,TRUE,0.053596926,13.37441608,57.57162256,1,0.153666667
76,Oa,L-alanine,Model(BaranyiRoberts),1.064368928,0.062786202,-1461.140239,-1482.730771,0.003479086,0.090030568,0.0001,1.086934101,1.613830114,0.113292685,31450054460,22785098419,FALSE,TRUE,0.417038407,0.675467134,9.196648412,1,1.123
77,Oa,L-arginine,Model(BaranyiRoberts),0.064058132,0.016071681,-2015.744902,-2036.825474,0.003526885,0.087201753,0.031557179,1.013207479,0.219452641,9.99963873,0.363104326,0.000100003,FALSE,TRUE,0.058672216,11.85119842,37.12241464,1,0.9345
78,Oa,L-aspartate,Model(BaranyiRoberts),0.563404581,0.041319325,-2068.245926,-2091.040482,0.002859625,0.09007302,0.046223781,2.155509944,0.372379314,0.100000523,16.19178497,0.000100001,FALSE,TRUE,0.07728874,6.715020576,14.40941994,1,1.015666667
79,Oa,L-glutamate,Model(BaranyiRoberts),0.59319815,0.046872489,-1618.98463,-1640.575162,5.99E-08,2.19E-06,0.000777273,0.989167273,0.481312896,0.641402183,33584285547,24287665021,TRUE,FALSE,0.374023046,1.440996552,10.88483324,1,1.022333333
80,Oa,L-glutamine,Model(BaranyiRoberts),0.447668397,0.031436133,-3097.881015,-3122.576368,0.002668269,0.111539826,0.049213911,1.081787457,0.056758715,6.353443477,0.0001,2.746867607,FALSE,TRUE,0.056780039,12.24099099,33.49113295,1,1.061
81,Oa,L-histidine,Model(BaranyiRoberts),0.226389066,0.028956485,-1879.068459,-1900.658991,1,1,0.060878304,1.145853315,1.626085988,0.1,0.002820053,0.357970902,TRUE,TRUE,0.188066938,3.782615949,17.53424151,1,1.098333333
82,Oa,L-isoleucine,Model(BaranyiRoberts),0.023674313,0.007229189,-4429.547964,-4454.243317,0.002167231,0.077355214,0.049179022,0.221604843,0.603498121,0.101490768,0.051223185,0.068721885,TRUE,FALSE,0.025909338,28.71343566,29.74383837,1,0.130333333
83,Oa,L-Lactate,Model(BaranyiRoberts),0.319893691,0.037960013,-1420.00649,-1440.422554,0.999119575,0.99983926,0.051206109,1.072080829,3.342828147,0.1,0.0001,0.706669629,TRUE,TRUE,0.392532775,1.814133578,13.58904937,1,1.091333333
84,Oa,L-leucine,,,,,,,,,,,,,,,,,,,0,0.138
