,Sample_ID,USER CODE,Carbon source,Timepoint-tag,Metabolite,Concentration,Hours,Timepoint,M
185,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,GAMMA-AMINOBUTYRATE,,14,2,M3
186,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,GAMMA-AMINOBUTYRATE,,14,3,M1
187,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,GAMMA-AMINOBUTYRATE,0.204824536623812,14,3,M2
188,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,GAMMA-AMINOBUTYRATE,0.427888889111224,16,3,M3
189,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,GAMMA-AMINOBUTYRATE,,18,4,M1
190,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,GAMMA-AMINOBUTYRATE,,18,4,M2
191,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,GAMMA-AMINOBUTYRATE,0.379876000765466,20,4,M3
192,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,GAMMA-AMINOBUTYRATE,0.87261979525305,6,1,M5
193,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,GAMMA-AMINOBUTYRATE,0.43463275900453,6,1,M6
194,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,GAMMA-AMINOBUTYRATE,0.639285733968654,6,1,M7
195,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,GAMMA-AMINOBUTYRATE,1.7403670650592382,9,2,M5
196,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,GAMMA-AMINOBUTYRATE,0.434310135941326,10,2,M6
197,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,GAMMA-AMINOBUTYRATE,1.6952151638117818,9,2,M7
198,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,GAMMA-AMINOBUTYRATE,1.036829779807868,10,3,M5
199,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,GAMMA-AMINOBUTYRATE,0.290456994158628,11,3,M6
200,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,GAMMA-AMINOBUTYRATE,1.25180021200564,10,3,M7
201,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,GAMMA-AMINOBUTYRATE,,12,4,M5
202,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,GAMMA-AMINOBUTYRATE,0.168818021094134,13,4,M6
203,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,GAMMA-AMINOBUTYRATE,0.253754772415762,12,4,M7
204,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,GAMMA-AMINOBUTYRATE,2.6730239360594803,10,1,M9
205,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,GAMMA-AMINOBUTYRATE,3.52431543313478,10,1,M10
206,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,GAMMA-AMINOBUTYRATE,2.02035144722212,10,1,M11
207,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,GAMMA-AMINOBUTYRATE,9.4231675249404,16,2,M9
208,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,GAMMA-AMINOBUTYRATE,10.864381729768139,16,2,M10
209,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,GAMMA-AMINOBUTYRATE,8.19041600693034,16,2,M11
210,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,GAMMA-AMINOBUTYRATE,4.3954099042329,18,3,M9
211,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,GAMMA-AMINOBUTYRATE,8.681101641904899,18,3,M10
212,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,GAMMA-AMINOBUTYRATE,7.17355614674068,18,3,M11
213,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,GAMMA-AMINOBUTYRATE,,22,4,M9
214,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,GAMMA-AMINOBUTYRATE,,22,4,M10
215,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,GAMMA-AMINOBUTYRATE,0.1603594837114858,22,4,M11
216,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,GAMMA-AMINOBUTYRATE,,0,0,Alanine_001
217,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,GAMMA-AMINOBUTYRATE,,0,0,Alanine_002
218,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,GAMMA-AMINOBUTYRATE,,0,0,Alanine_003
219,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,GAMMA-AMINOBUTYRATE,,0,0,Galactose_001
220,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,GAMMA-AMINOBUTYRATE,0.0282050175839298,0,0,Galactose_002
221,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,GAMMA-AMINOBUTYRATE,,0,0,Galactose_003
222,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,GAMMA-AMINOBUTYRATE,,0,0,malate_001
223,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,GAMMA-AMINOBUTYRATE,,0,0,malate_002
224,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,GAMMA-AMINOBUTYRATE,,0,0,malate_003
225,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,PROLINE,,6,1,M1
226,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,PROLINE,,6,1,M2
227,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,PROLINE,,8,1,M3
228,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,PROLINE,0.00533842838578314,12,2,M1
229,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,PROLINE,0.01110708815191066,12,2,M2
230,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,PROLINE,0.0426521829342762,14,2,M3
231,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,PROLINE,0.00205420908275,14,3,M1
232,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,PROLINE,0.0051437335275812,14,3,M2
233,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,PROLINE,0.01627716206105184,16,3,M3
234,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,PROLINE,0.00031335223146534204,18,4,M1
235,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,PROLINE,0.44810480143112796,18,4,M2
236,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,PROLINE,0.780464255675842,20,4,M3
237,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,PROLINE,0.01737311941456662,6,1,M5
238,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,PROLINE,,6,1,M6
239,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,PROLINE,,6,1,M7
240,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,PROLINE,0.01016856537813458,9,2,M5
241,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,PROLINE,,10,2,M6
242,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,PROLINE,,9,2,M7
243,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,PROLINE,0.01610234520214766,10,3,M5
244,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,PROLINE,0.014245500441164242,11,3,M6
245,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,PROLINE,0.01926451848150532,10,3,M7
246,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,PROLINE,0.020013508496883,12,4,M5
247,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,PROLINE,0.0673255851755154,13,4,M6
248,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,PROLINE,,12,4,M7
249,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,PROLINE,0.224582242573706,10,1,M9
250,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,PROLINE,0.318872191070924,10,1,M10
251,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,PROLINE,0.2610131286844,10,1,M11
252,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,PROLINE,0.513702372327984,16,2,M9
253,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,PROLINE,0.316766630061256,16,2,M10
254,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,PROLINE,0.657293004084804,16,2,M11
255,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,PROLINE,0.350813003730484,18,3,M9
256,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,PROLINE,0.40612367172256203,18,3,M10
257,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,PROLINE,0.5818986258136379,18,3,M11
258,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,PROLINE,0.0525476599634276,22,4,M9
259,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,PROLINE,0.13995879407432402,22,4,M10
260,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,PROLINE,0.115691188845122,22,4,M11
261,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,PROLINE,,0,0,Alanine_001
262,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,PROLINE,,0,0,Alanine_002
263,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,PROLINE,,0,0,Alanine_003
264,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,PROLINE,0.01592717263351886,0,0,Galactose_001
265,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,PROLINE,0.0276380314408474,0,0,Galactose_002
266,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,PROLINE,0.01540802502040856,0,0,Galactose_003
267,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,PROLINE,0.0711031152919964,0,0,malate_001
268,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,PROLINE,0.0219327741405378,0,0,malate_002
269,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,PROLINE,,0,0,malate_003
270,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,TYROSINE,,6,1,M1
271,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,TYROSINE,,6,1,M2
272,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,TYROSINE,,8,1,M3
273,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,TYROSINE,,12,2,M1
274,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,TYROSINE,,12,2,M2
275,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,TYROSINE,,14,2,M3
276,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,TYROSINE,,14,3,M1
277,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,TYROSINE,,14,3,M2
278,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,TYROSINE,0.0030190088001261,16,3,M3
279,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,TYROSINE,0.0801351995903736,18,4,M1
280,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,TYROSINE,1.399998775525094,18,4,M2
281,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,TYROSINE,1.619012814613292,20,4,M3
282,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,TYROSINE,,6,1,M5
283,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,TYROSINE,,6,1,M6
284,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,TYROSINE,,6,1,M7
285,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,TYROSINE,0.006823661695923281,9,2,M5
286,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,TYROSINE,,10,2,M6
287,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,TYROSINE,,9,2,M7
288,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,TYROSINE,,10,3,M5
289,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,TYROSINE,,11,3,M6
290,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,TYROSINE,,10,3,M7
291,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,TYROSINE,0.22120865841558598,12,4,M5
292,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,TYROSINE,0.43990885151687803,13,4,M6
293,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,TYROSINE,0.0568250838733098,12,4,M7
294,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,TYROSINE,,10,1,M9
295,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,TYROSINE,0.050451921839450596,10,1,M10
296,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,TYROSINE,,10,1,M11
297,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,TYROSINE,,16,2,M9
298,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,TYROSINE,0.0545901146725122,16,2,M10
299,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,TYROSINE,0.0029871762754298597,16,2,M11
300,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,TYROSINE,,18,3,M9
301,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,TYROSINE,,18,3,M10
302,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,TYROSINE,0.0916876971150358,18,3,M11
303,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,TYROSINE,3.0523581796331802,22,4,M9
304,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,TYROSINE,2.41989820474748,22,4,M10
305,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,TYROSINE,2.3651830053108,22,4,M11
306,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,TYROSINE,,0,0,Alanine_001
307,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,TYROSINE,0.00680494589340064,0,0,Alanine_002
308,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,TYROSINE,,0,0,Alanine_003
309,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,TYROSINE,,0,0,Galactose_001
310,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,TYROSINE,,0,0,Galactose_002
311,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,TYROSINE,,0,0,Galactose_003
312,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,TYROSINE,,0,0,malate_001
313,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,TYROSINE,,0,0,malate_002
314,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,TYROSINE,,0,0,malate_003
315,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,VALINE,,6,1,M1
316,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,VALINE,,6,1,M2
317,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,VALINE,0.0435190152122324,8,1,M3
318,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,VALINE,,12,2,M1
319,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,VALINE,,12,2,M2
320,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,VALINE,,14,2,M3
321,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,VALINE,0.0370364869688916,14,3,M1
322,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,VALINE,,14,3,M2
323,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,VALINE,0.0675050031308172,16,3,M3
324,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,VALINE,2.7109645043304202,18,4,M1
325,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,VALINE,8.4836401046341,18,4,M2
326,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,VALINE,4.97671484719936,20,4,M3
327,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,VALINE,,6,1,M5
328,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,VALINE,,6,1,M6
329,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,VALINE,,6,1,M7
330,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,VALINE,,9,2,M5
331,SM_MPTA_112023_50_L-malate-T10_M6_17,#50: L-malate-T10 M6,L-malate,T2,VALINE,,10,2,M6
332,SM_MPTA_112023_129_L-malate-T9_M7_18,#129: L-malate-T9 M7,L-malate,T2,VALINE,,9,2,M7
333,SM_MPTA_112023_49_L-malate-T10_M5_19,#49: L-malate-T10 M5,L-malate,T3,VALINE,,10,3,M5
334,SM_MPTA_112023_134_L-malate-T11_M6_20,#134: L-malate-T11 M6,L-malate,T3,VALINE,,11,3,M6
335,SM_MPTA_112023_51_L-malate-T10_M7_21,#51: L-malate-T10 M7,L-malate,T3,VALINE,,10,3,M7
336,SM_MPTA_112023_58_L-malate-T12_M5_22,#58: L-malate-T12 M5,L-malate,T4,VALINE,2.5342322714819803,12,4,M5
337,SM_MPTA_112023_143_L-malate-T13_M6_23,#143: L-malate-T13 M6,L-malate,T4,VALINE,3.04972487857262,13,4,M6
338,SM_MPTA_112023_60_L-malate-T12_M7_24,#60: L-malate-T12 M7,L-malate,T4,VALINE,1.030293832420814,12,4,M7
339,SM_MPTA_112023_52_L-alanine-T10_M9_25,#52: L-alanine-T10 M9,L-alanine,T1,VALINE,8.23971355877502,10,1,M9
340,SM_MPTA_112023_53_L-alanine-T10_M10_26,#53: L-alanine-T10 M10,L-alanine,T1,VALINE,7.44760441574474,10,1,M10
341,SM_MPTA_112023_54_L-alanine-T10_M11_27,#54: L-alanine-T10 M11,L-alanine,T1,VALINE,6.95202489229988,10,1,M11
342,SM_MPTA_112023_79_L-alanine-T16_M9_28,#79: L-alanine-T16 M9,L-alanine,T2,VALINE,6.328588670908561,16,2,M9
343,SM_MPTA_112023_80_L-alanine-T16_M10_29,#80: L-alanine-T16 M10,L-alanine,T2,VALINE,5.93519583718834,16,2,M10
344,SM_MPTA_112023_81_L-alanine-T16_M11_30,#81: L-alanine-T16 M11,L-alanine,T2,VALINE,6.957732843445901,16,2,M11
345,SM_MPTA_112023_88_L-alanine-T18_M9_31,#88: L-alanine-T18 M9,L-alanine,T3,VALINE,7.38110491172916,18,3,M9
346,SM_MPTA_112023_89_L-alanine-T18_M10_32,#89: L-alanine-T18 M10,L-alanine,T3,VALINE,5.65656600185222,18,3,M10
347,SM_MPTA_112023_90_L-alanine-T18_M11_33,#90: L-alanine-T18 M11,L-alanine,T3,VALINE,7.5438805654549395,18,3,M11
348,SM_MPTA_112023_106_L-alanine-T22_M9_34,#106: L-alanine-T22 M9,L-alanine,T4,VALINE,11.24008724093482,22,4,M9
349,SM_MPTA_112023_107_L-alanine-T22_M10_35,#107: L-alanine-T22 M10,L-alanine,T4,VALINE,6.637131716134,22,4,M10
350,SM_MPTA_112023_108_L-alanine-T22_M11_36,#108: L-alanine-T22 M11,L-alanine,T4,VALINE,11.28680077798886,22,4,M11
351,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,  M9 Alanine_001,L-alanine,T0,VALINE,0.355711182482856,0,0,Alanine_001
352,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,M9 Alanine_002,L-alanine,T0,VALINE,0.219010358422566,0,0,Alanine_002
353,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,   M9 Alanine_003,L-alanine,T0,VALINE,0.213912649488656,0,0,Alanine_003
354,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40, M9 Galactose_001,Galactose,T0,VALINE,,0,0,Galactose_001
355,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41, M9 Galactose_002,Galactose,T0,VALINE,,0,0,Galactose_002
356,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42, M9 Galactose_003,Galactose,T0,VALINE,,0,0,Galactose_003
357,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,M9 malate_001,L-malate,T0,VALINE,0.0915433902482454,0,0,malate_001
358,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,M9 malate_002,L-malate,T0,VALINE,,0,0,malate_002
359,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,M9 malate_003,L-malate,T0,VALINE,,0,0,malate_003
360,SM_MPTA_112023_28_Galactose-T6_M1_1,#28: Galactose-T6 M1,Galactose,T1,PIPECOLIC ACID,,6,1,M1
361,SM_MPTA_112023_29_Galactose-T6_M2_2,#29: Galactose-T6 M2,Galactose,T1,PIPECOLIC ACID,0.008361103800336039,6,1,M2
362,SM_MPTA_112023_39_Galactose-T8_M3_3,#39: Galactose-T8 M3,Galactose,T1,PIPECOLIC ACID,0.00988864390818156,8,1,M3
363,SM_MPTA_112023_55_Galactose-T12_M1_4,#55: Galactose-T12 M1,Galactose,T2,PIPECOLIC ACID,0.025224652536723402,12,2,M1
364,SM_MPTA_112023_56_Galactose-T12_M2_5,#56: Galactose-T12 M2,Galactose,T2,PIPECOLIC ACID,0.014045415289760799,12,2,M2
365,SM_MPTA_112023_66_Galactose-T14_M3_6,#66: Galactose-T14 M3,Galactose,T2,PIPECOLIC ACID,0.01919861107970888,14,2,M3
366,SM_MPTA_112023_64_Galactose-T14_M1_7,#64: Galactose-T14 M1,Galactose,T3,PIPECOLIC ACID,0.0221558061335558,14,3,M1
367,SM_MPTA_112023_65_Galactose-T14_M2_8,#65: Galactose-T14 M2,Galactose,T3,PIPECOLIC ACID,0.023914128983095,14,3,M2
368,SM_MPTA_112023_75_Galactose-T16_M3_9,#75: Galactose-T16 M3,Galactose,T3,PIPECOLIC ACID,0.024554576817673,16,3,M3
369,SM_MPTA_112023_82_Galactose-T18_M1_10,#82: Galactose-T18 M1,Galactose,T4,PIPECOLIC ACID,0.230097850672604,18,4,M1
370,SM_MPTA_112023_83_Galactose-T18_M2_11,#83: Galactose-T18 M2,Galactose,T4,PIPECOLIC ACID,0.0376346160857612,18,4,M2
371,SM_MPTA_112023_93_Galactose-T20_M3_12,#93: Galactose-T20 M3,Galactose,T4,PIPECOLIC ACID,0.0517008716739172,20,4,M3
372,SM_MPTA_112023_31_L-malate-T6_M5_13,#31: L-malate-T6 M5,L-malate,T1,PIPECOLIC ACID,,6,1,M5
373,SM_MPTA_112023_32_L-malate-T6_M6_14,#32: L-malate-T6 M6,L-malate,T1,PIPECOLIC ACID,,6,1,M6
374,SM_MPTA_112023_33_L-malate-T6_M7_15,#33: L-malate-T6 M7,L-malate,T1,PIPECOLIC ACID,,6,1,M7
375,SM_MPTA_112023_127_L-malate-T9_M5_16,#127: L-malate-T9 M5,L-malate,T2,PIPECOLIC ACID,0.01573208286487044,9,2,M5
