,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
52,SM_MPTA_112023_65_Galactose-T14_M2_8,Galactose,LEUCINE,0.22948913960954398,14.0,3,M2
53,SM_MPTA_112023_75_Galactose-T16_M3_9,Galactose,LEUCINE,0.1106216994006316,16.0,3,M3
54,SM_MPTA_112023_82_Galactose-T18_M1_10,Galactose,LEUCINE,3.4938690965820003,18.0,4,M1
55,SM_MPTA_112023_83_Galactose-T18_M2_11,Galactose,LEUCINE,6.83407136248258,18.0,4,M2
56,SM_MPTA_112023_93_Galactose-T20_M3_12,Galactose,LEUCINE,5.90951947532386,20.0,4,M3
57,SM_MPTA_112023_31_L-malate-T6_M5_13,L-malate,LEUCINE,,6.0,1,M5
58,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,LEUCINE,,6.0,1,M6
59,SM_MPTA_112023_33_L-malate-T6_M7_15,L-malate,LEUCINE,,6.0,1,M7
60,SM_MPTA_112023_127_L-malate-T9_M5_16,L-malate,LEUCINE,,9.25,2,M5
61,SM_MPTA_112023_50_L-malate-T10_M6_17,L-malate,LEUCINE,0.0691928768132704,10.0,2,M6
62,SM_MPTA_112023_129_L-malate-T9_M7_18,L-malate,LEUCINE,0.055951443022438596,9.25,2,M7
63,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,LEUCINE,,10.0,3,M5
64,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,LEUCINE,,11.0,3,M6
65,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,LEUCINE,0.0725134830821984,10.0,3,M7
66,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,LEUCINE,2.0973282252146,12.0,4,M5
67,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,LEUCINE,2.70908189629306,13.0,4,M6
68,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,LEUCINE,0.646263756715032,12.0,4,M7
69,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,LEUCINE,0.933855970093586,10.0,1,M9
70,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,LEUCINE,1.063380118328004,10.0,1,M10
71,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,LEUCINE,0.9977639709222821,10.0,1,M11
72,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,LEUCINE,0.986866996038412,16.0,2,M9
73,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,LEUCINE,0.885169985459178,16.0,2,M10
74,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,LEUCINE,1.270453261691038,16.0,2,M11
75,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,LEUCINE,1.113805579911368,18.0,3,M9
76,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,LEUCINE,0.889249983514768,18.0,3,M10
77,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,LEUCINE,1.379455470434864,18.0,3,M11
78,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,LEUCINE,7.681232732665601,22.0,4,M9
79,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,LEUCINE,5.14069789359028,22.0,4,M10
80,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,LEUCINE,7.35951832088786,22.0,4,M11
81,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,L-alanine,LEUCINE,,0.0,0,Alanine_001
82,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,L-alanine,LEUCINE,,0.0,0,Alanine_002
83,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,L-alanine,LEUCINE,,0.0,0,Alanine_003
84,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40,Galactose,LEUCINE,,0.0,0,Galactose_001
85,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41,Galactose,LEUCINE,,0.0,0,Galactose_002
86,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42,Galactose,LEUCINE,,0.0,0,Galactose_003
87,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,L-malate,LEUCINE,,0.0,0,malate_001
88,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,L-malate,LEUCINE,,0.0,0,malate_002
89,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,L-malate,LEUCINE,,0.0,0,malate_003
90,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,ISOLEUCINE,0.1149591260568564,6.0,1,M1
91,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,ISOLEUCINE,,6.0,1,M2
92,SM_MPTA_112023_39_Galactose-T8_M3_3,Galactose,ISOLEUCINE,,8.0,1,M3
93,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,ISOLEUCINE,,12.0,2,M1
94,SM_MPTA_112023_56_Galactose-T12_M2_5,Galactose,ISOLEUCINE,0.0710744886510182,12.0,2,M2
95,SM_MPTA_112023_66_Galactose-T14_M3_6,Galactose,ISOLEUCINE,0.09023624664690941,14.0,2,M3
