,KEGG ID
532,C01157
533,C01161
534,C01165
535,C01168
536,C01170
537,C01172
538,C01177
539,C01179
540,C01180
541,C01181
542,C01182
543,C01185
544,C01187
545,C01190
546,C01197
547,C01204
548,C01209
549,C01212
550,C01213
551,C01216
552,C01217
553,C01222
554,C01225
555,C01228
556,C01233
557,C01235
558,C01236
559,C01242
560,C01250
561,C01260
562,C01261
563,C01267
564,C01268
565,C01269
566,C01271
567,C01279
568,C01286
569,C01289
570,C01290
571,C01300
572,C01302
573,C01304
574,C01322
575,C01326
576,C01327
577,C01328
578,C01330
579,C01335
580,C01337
581,C01342
582,C01344
583,C01345
584,C01346
585,C01352
586,C01353
587,C01367
588,C01368
589,C01380
590,C01390
591,C01401
592,C01412
593,C01413
594,C01417
595,C01419
596,C01438
597,C01444
598,C01451
599,C01468
600,C01478
601,C01487
602,C01496
603,C01499
604,C01500
605,C01508
606,C01528
607,C01530
608,C01536
609,C01551
610,C01563
611,C01585
612,C01594
613,C01595
614,C01602
615,C01613
616,C01628
617,C01635
618,C01636
619,C01637
620,C01638
621,C01639
622,C01640
623,C01641
624,C01642
625,C01643
626,C01644
627,C01645
628,C01646
629,C01647
630,C01648
631,C01649
632,C01650
633,C01651
634,C01652
635,C01653
636,C01661
637,C01672
638,C01674
639,C01697
640,C01721
641,C01733
642,C01755
643,C01762
644,C01801
645,C01832
646,C01834
647,C01835
648,C01847
649,C01879
650,C01882
651,C01888
652,C01898
653,C01909
654,C01929
655,C01931
656,C01934
657,C01935
658,C01936
659,C01944
660,C01962
661,C01970
662,C01977
663,C01978
664,C01991
665,C01997
666,C02013
667,C02047
668,C02051
669,C02052
670,C02057
671,C02059
672,C02067
673,C02091
674,C02097
675,C02107
676,C02128
677,C02130
678,C02133
679,C02147
680,C02163
681,C02166
682,C02188
683,C02191
684,C02205
685,C02211
686,C02218
687,C02222
688,C02225
689,C02226
690,C02232
691,C02247
692,C02262
693,C02265
694,C02269
695,C02282
696,C02291
697,C02320
698,C02323
699,C02325
700,C02336
701,C02338
702,C02341
703,C02350
704,C02352
705,C02353
706,C02354
707,C02355
708,C02356
709,C02362
710,C02376
711,C02380
712,C02385
713,C02412
714,C02415
715,C02429
716,C02430
717,C02457
718,C02463
719,C02476
720,C02479
721,C02501
722,C02504
723,C02505
724,C02512
725,C02553
726,C02554
727,C02565
728,C02583
729,C02591
730,C02593
731,C02612
732,C02631
733,C02637
734,C02642
735,C02646
736,C02655
737,C02659
738,C02686
739,C02702
740,C02713
741,C02714
742,C02723
743,C02730
744,C02737
745,C02739
746,C02741
747,C02743
748,C02745
749,C02766
750,C02780
751,C02839
752,C02843
753,C02869
754,C02876
755,C02882
756,C02888
757,C02909
758,C02912
759,C02917
760,C02939
761,C02953
762,C02962
763,C02967
764,C02970
765,C02972
766,C02979
767,C02983
768,C02984
769,C02987
770,C02988
771,C02989
772,C02992
773,C02995
774,C02999
775,C03024
776,C03028
777,C03033
778,C03064
779,C03069
780,C03082
781,C03089
782,C03090
783,C03114
784,C03125
785,C03127
786,C03150
787,C03160
788,C03161
789,C03172
790,C03175
791,C03193
792,C03194
793,C03196
794,C03221
795,C03232
796,C03263
797,C03273
798,C03274
799,C03284
800,C03287
801,C03291
802,C03294
803,C03296
804,C03313
805,C03319
806,C03340
807,C03344
808,C03345
809,C03363
810,C03373
811,C03384
812,C03393
813,C03401
814,C03402
815,C03406
816,C03415
817,C03451
818,C03453
819,C03459
820,C03460
821,C03479
822,C03492
823,C03506
824,C03508
825,C03511
826,C03512
827,C03519
828,C03539
829,C03541
830,C03546
831,C03557
832,C03561
833,C03589
834,C03657
835,C03684
836,C03688
837,C03692
838,C03722
839,C03733
840,C03736
841,C03740
842,C03741
843,C03742
844,C03758
845,C03765
846,C03785
847,C03794
848,C03826
849,C03838
850,C03859
851,C03889
852,C03892
853,C03912
854,C03921
855,C03939
856,C03964
857,C03972
858,C03979
859,C04006
860,C04030
861,C04039
862,C04043
863,C04044
864,C04051
865,C04053
866,C04058
867,C04079
868,C04088
869,C04114
870,C04115
871,C04121
872,C04133
873,C04144
874,C04146
875,C04152
876,C04153
877,C04154
878,C04157
879,C04171
880,C04180
881,C04181
882,C04188
883,C04204
884,C04225
885,C04230
886,C04233
887,C04236
888,C04242
889,C04246
