KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C17211,2-oxo-5-methylthiopentanoate,None,58815,None,CSCCCC(=O)C([O-])=O,True
C17212,3-(2'-Methylthio)ethylmalic acid,96023620,80963,None,None,True
C17213,Homomethionine,10329619,50708,None,CSCCC[C@H](N)C(O)=O,True
C17214,2-(3'-Methylthio)propylmalic acid,None,50262,None,None,True
C17215,3-(3'-methylthio)propylmalate,44237292,133501,None,CSCCCC(C(O)C([O-])=O)C([O-])=O,True
C17216,2-oxo-6-methylthiohexanoate,44237195,None,None,CSCCCCC(=O)C([O-])=O,True
C17217,Dihomomethionine,None,50710,None,None,True
C17218,2-(4'-methylthio)butylmalate,44237181,None,None,CSCCCCC(O)(CC([O-])=O)C([O-])=O,True
C17219,3-(4'-methylthio)butylmalate,44237164,None,None,CSCCCCC(C(O)C([O-])=O)C([O-])=O,True
C17222,2-(5'-methylthio)pentylmalate,44237333,None,None,CSCCCCCC(O)(CC([O-])=O)C([O-])=O,True
C17223,3-(5'-methylthio)pentylmalate,44237178,None,None,CSCCCCCC(C(O)C([O-])=O)C([O-])=O,True
C17226,2-(6'-methylthio)hexylmalate,44237240,None,None,CSCCCCCCC(O)(CC([O-])=O)C([O-])=O,True
C17227,3-(6'-methylthio)hexylmalate,44237339,None,None,CSCCCCCCC(C(O)C([O-])=O)C([O-])=O,True
C17230,2-(7'-methylthio)heptylmalate,44237389,None,None,CSCCCCCCCC(O)(CC([O-])=O)C([O-])=O,True
C17231,3-(7'-methylthio)heptylmalate,44237172,None,None,CSCCCCCCCC(C(O)C([O-])=O)C([O-])=O,True
C17322,tRNA containing 2-thiouridine,96023686,81006,None,None,True
C17323,None,None,None,None,None,False
C17324,None,None,None,None,None,False
C17551,2-Polyprenyl-6-hydroxyphenol,None,81178,None,None,True
C17552,2-Polyprenyl-6-methoxyphenol,46173939,None,None,COC1=CC=CC(C\C=C(/C)CCC=C(C)C)=C1O,True
C17556,undecaprenyl phosphate,5283548,60468,None,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\CC/C(C)=C\COP(=O)(O)O,True
C17569,ubiquinone-8,5283546,61683,None,COC1=C(OC)C(=O)C(C\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CC\C=C(/C)CCC=C(C)C)=C(C)C1=O,True
C17758,"4,5-seco-dopa",96024085,16098,None,[H]C(O)=C([H])C(\C[C@]([H])(N)C(O)=O)=C(\[H])C(=O)C(O)=O,True
