KEGG,Metabolite name,PubChem,ChEBI,METLIN,SMILES,Exact match
C00029,Uridine diphosphate glucose,8629,46229,5278.0,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00030,None,None,None,None,None,False
C00031,D-Glucose,5793,15903,133.0,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00032,Heme,26945,17627,3680.0,CC1=C(CCC(O)=O)C2=CC3=[N+]4C(=CC5=C(C)C(C=C)=C6C=C7C(C)=C(C=C)C8=[N+]7[Fe--]4(N2C1=C8)N56)C(C)=C3CCC(O)=O,True
C00033,Acetic acid,176,15366,3206.0,CC(O)=O,True
C00035,Guanosine diphosphate,8977,17552,6077.0,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,True
C00036,Oxalacetic acid,970,30744,123.0,OC(=O)CC(=O)C(O)=O,True
C00037,Glycine,750,15428,20.0,NCC(O)=O,True
C00038,Zinc,32051,29105,None,[Zn++],True
C00039,DNA,None,16991,None,None,True
C00040,Acyl-CoA,None,17984,None,None,True
C00041,L-Alanine,5950,16977,None,C[C@H](N)C(O)=O,True
C00042,Succinic acid,1110,15741,114.0,OC(=O)CCC(O)=O,True
C00043,Uridine diphosphate-N-acetylglucosamine,445675,16264,5281.0,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1OP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,True
C00044,Guanosine triphosphate,6830,15996,6128.0,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,True
C00045,None,None,None,None,None,False
C00047,Lysine,5962,18019,5200.0,NCCCC[C@H](N)C(O)=O,True
C00048,Glyoxylic acid,760,16891,3213.0,OC(=O)C=O,True
C00049,L-Aspartic acid,5960,17053,5206.0,N[C@@H](CC(O)=O)C(O)=O,True
C00051,Glutathione,124886,16856,44.0,N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O,True
C00052,Uridine diphosphategalactose,18068,67119,5291.0,OC[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=CC(=O)NC2=O)[C@H](O)[C@@H](O)[C@H]1O,True
C00053,Phosphoadenosine phosphosulfate,10214,17980,6028.0,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,True
C00054,"Adenosine 3',5'-diphosphate",159296,17985,None,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]3O)C2=NC=N1,True
C00055,Cytidine monophosphate,6131,17361,5143.0,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00058,Formic acid,284,30751,3202.0,OC=O,True
C00059,Sulfate,1117,26836,3233.0,OS(O)(=O)=O,True
C00060,Carboxylate,None,35757,None,None,True
C00061,Flavin mononucleotide,643976,17621,6295.0,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2,True
C00062,L-Arginine,6322,16467,5502.0,N[C@@H](CCCNC(N)=N)C(O)=O,True
C00063,Cytidine triphosphate,6176,17677,5136.0,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00064,Glutamine,5961,18050,5614.0,N[C@@H](CCC(N)=O)C(O)=O,True
C00065,Serine,5951,17115,5203.0,N[C@@H](CO)C(O)=O,True
C00067,Formaldehyde,712,16842,3198.0,C=O,True
C00068,Thiamine pyrophosphate,1132,9532,2832.0,CC1=C(CCOP(O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N,True
C00069,None,None,None,None,None,False
C00070,Copper,27099,29036,None,[Cu++],True
C00071,Aldehyde,None,None,None,None,True
C00072,Ascorbic acid,54670067,29073,3753.0,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,True
C00073,Methionine,6137,16643,5664.0,CSCC[C@H](N)C(O)=O,True
C00074,Phosphoenolpyruvic acid,1005,44897,5264.0,OC(=O)C(=C)OP(O)(O)=O,True
C00075,Uridine triphosphate,6133,15713,5277.0,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O,True
C00076,Calcium,271,29108,None,[Ca++],True
C00077,Ornithine,6262,15729,27.0,NCCC[C@H](N)C(O)=O,True
C00078,L-Tryptophan,6305,16828,5879.0,N[C@@H](CC1=CNC2=C1C=CC=C2)C(O)=O,True
C00079,Phenylalanine,6140,17295,28.0,N[C@@H](CC1=CC=CC=C1)C(O)=O,True
C00080,Hydrogen Ion,1038,15378,None,[H+],True
C00081,Inosine triphosphate,8583,16039,5204.0,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O,True
C00082,L-Tyrosine,6057,17895,34.0,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,True
C00083,Malonyl-CoA,644066,15531,6056.0,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O,True
C00084,Acetaldehyde,177,15343,3200.0,CC=O,True
C00085,Fructose 6-phosphate,69507,15946,5159.0,OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O,True
C00086,Urea,1176,16199,6.0,NC(N)=O,True
C00088,Nitrite,24529,25567,3201.0,ON=O,True
C00089,Sucrose,5988,17992,137.0,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,True
C00091,Succinyl-CoA,92133,15380,5951.0,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCC(O)=O,True
C00092,Glucose 6-phosphate,5958,4170,145.0,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O,True
C00093,Glycerol 3-phosphate,439162,15978,5161.0,OC[C@@H](O)COP(O)(O)=O,True
C00094,Sulfite,1100,48854,3223.0,OS(O)=O,True
C00095,D-Fructose,439709,28645,135.0,OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,True
C00096,Guanosine diphosphate mannose,18396,15820,6045.0,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1,True
C00097,L-Cysteine,5862,17561,5556.0,N[C@@H](CS)C(O)=O,True
C00099,beta-Alanine,239,16958,5119.0,NCCC(O)=O,True
C00100,Propionyl-CoA,92753,15539,6130.0,CCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,True
C00101,Tetrahydrofolic acid,91443,20506,714.0,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1,True
C00103,Glucose 1-phosphate,65533,29042,6331.0,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00104,IDP,644173,17808,6892.0,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(O)=O)OC([C@@H]1O)N1C=NC2=C1NC=NC2=O,True
C00105,Uridine 5'-monophosphate,6030,16695,None,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O,True
C00106,Uracil,1174,17568,258.0,O=C1NC=CC(=O)N1,True
C00108,2-Aminobenzoic acid,227,30754,6018.0,NC1=CC=CC=C1C(O)=O,True
C00109,2-Ketobutyric acid,58,30831,None,CCC(=O)C(O)=O,True
C00111,Dihydroxyacetone phosphate,668,16108,6262.0,OCC(=O)COP(O)(O)=O,True
C00112,CDP,6132,17239,6313.0,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00114,Choline,305,15354,56.0,C[N+](C)(C)CCO,True
C00116,Glycerol,753,17754,105.0,OCC(O)CO,True
C00117,D-Ribose 5-phosphate,440101,18189,6315.0,O[C@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O,True
C00118,Glyceraldehyde 3-phosphate,439168,29052,3294.0,O[C@H](COP(O)(O)=O)C=O,True
C00119,Phosphoribosyl pyrophosphate,7339,17111,5274.0,O[C@H]1[C@@H](O)[C@@H](OP(O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O,True
C00120,Biotin,171548,15956,243.0,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,True
C00121,D-Ribose,5779,47013,313.0,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,True
C00122,Fumaric acid,444972,18012,3242.0,OC(=O)\C=C\C(O)=O,True
C00123,Leucine,6106,15603,24.0,CC(C)C[C@H](N)C(O)=O,True
C00124,D-Galactose,439357,28061,134.0,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@H]1O,True
C00125,None,None,None,None,None,False
C00126,None,None,None,None,None,False
C00127,Oxidized glutathione,65359,17858,6893.0,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O,True
C00129,Isopentenyl pyrophosphate,1195,16584,6181.0,CC(=C)CCOP(O)(=O)OP(O)(O)=O,True
C00130,Inosinic acid,8582,17202,5196.0,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,True
C00131,Deoxyadenosine triphosphate,15993,16284,6303.0,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O1,True
C00132,Methanol,887,17790,4201.0,CO,True
C00133,D-Alanine,71080,15570,None,C[C@@H](N)C(O)=O,True
C00134,Putrescine,1045,17148,3226.0,NCCCCN,True
C00135,Histidine,6274,15971,21.0,N[C@@H](CC1=CN=CN1)C(O)=O,True
C00136,Butyryl-CoA,265,57371,5996.0,CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,True
C00137,myo-Inositol,None,17268,5221.0,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O,True
C00138,None,None,None,None,None,False
C00139,None,None,None,None,None,False
C00140,N-Acetyl-D-glucosamine,439174,506227,3356.0,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,True
C00141,alpha-Ketoisovaleric acid,49,16530,5091.0,CC(C)C(=O)C(O)=O,True
C00143,"5,10-Methylene-THF",439175,15636,6304.0,[H][C@@]12CN(CN1C1=C(NC2)N=C(N)NC1=O)C1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O,True
C00144,Guanosine monophosphate,6804,17345,6216.0,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,True
C00145,None,None,None,None,None,False
C00146,Phenol,996,15882,128.0,OC1=CC=CC=C1,True
C00147,Adenine,190,16708,85.0,NC1=C2NC=NC2=NC=N1,True
C00148,Proline,145742,17203,29.0,OC(=O)[C@@H]1CCCN1,True
C00149,Malic acid,222656,30797,None,O[C@@H](CC(O)=O)C(O)=O,True
C00151,α-amino acid,None,15705,None,N[C@@H]([*])C(O)=O,True
C00152,L-Asparagine,6267,17196,14.0,N[C@@H](CC(N)=O)C(O)=O,True
C00153,Niacinamide,936,17154,1497.0,NC(=O)C1=CC=CN=C1,True
C00154,Palmityl-CoA,644109,15525,6172.0,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,True
C00155,Homocysteine,91552,17588,3256.0,N[C@@H](CCS)C(O)=O,True
C00156,4-Hydroxybenzoic acid,135,30763,5486.0,OC(=O)C1=CC=C(O)C=C1,True
C00157,PC(32:0),452110,72999,5548.0,[H][C@@](COC(=O)CCCCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC,True
C00158,Citric acid,311,30769,124.0,OC(=O)CC(O)(CC(O)=O)C(O)=O,True
C00159,D-Mannose,185698,28729,None,OC[C@H]1O[C@H](O)[C@@H](O)[C@@H](O)[C@@H]1O,True
C00160,Glycolate,3460,17497 29805,None,None,True
C00161,2-Oxo acid,None,35910,None,OC(=O)C([*])=O,True
C00162,Fatty acid,None,35366,None,None,True
C00163,Propionic acid,1032,30768,3215.0,CCC(O)=O,True
C00164,Acetoacetic acid,96,15344,276.0,CC(=O)CC(O)=O,True
C00165,DG(16:0/16:0),644078,82929,4255.0,[H][C@](CO)(COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC,True
C00166,Phenylpyruvic acid,997,30851,328.0,OC(=O)C(=O)CC1=CC=CC=C1,True
C00167,Uridine diphosphate glucuronic acid,17473,17200,5884.0,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O,True
C00168,Hydroxypyruvic acid,964,30841,482.0,OCC(=O)C(O)=O,True
C00169,Carbamoyl phosphate,278,17672,6002.0,NC(=O)OP(O)(O)=O,True
C00170,5'-Methylthioadenosine,439176,17509,3425.0,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N,True
C00173,Acyl-[acyl-carrier protein],None,16018,None,None,True
C00175,Cobalt,104729,48828,None,[Co++],True
C00177,Cyanide,5975,17514,None,C#[N-],True
C00178,Thymine,1135,17821,290.0,CC1=CNC(=O)NC1=O,True
C00179,Agmatine,199,17431,3523.0,NCCCCNC(N)=N,True
C00180,Benzoic acid,243,30746,1297.0,OC(=O)C1=CC=CC=C1,True
C00181,D-Xylose,135191,53455,314.0,O[C@@H]1COC(O)[C@H](O)[C@H]1O,True
C00182,Glycogen,439177,28087,160.0,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]3CO)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00183,L-Valine,6287,16414,5842.0,CC(C)[C@H](N)C(O)=O,True
C00184,Dihydroxyacetone,670,16016,6368.0,OCC(=O)CO,True
C00185,Cellobiose,10712,36217,3480.0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,True
C00186,Lactic acid,107689,422,5205.0,C[C@H](O)C(O)=O,True
C00188,L-Threonine,6288,16857,32.0,C[C@@H](O)[C@H](N)C(O)=O,True
C00189,Ethanolamine,700,16000,3207.0,NCCO,True
C00191,D-Glucuronic acid,444791,42717,161.0,O[C@H]1O[C@@H]([C@@H](O)[C@H](O)[C@H]1O)C(O)=O,True
C00192,Hydroxylamine,787,15429,6894.0,NO,True
C00194,Adenosylcobalamin,None,18408,None,[C@H]1(C[Co-3]2345[N+]6=C7C(C)=C8N2[C@]([H])([C@H](CC(=O)N)[C@]8(CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]2[C@@H](CO)O[C@H](N8C=[N+]3C3=CC(C)=C(C)C=C83)[C@@H]2O)C)[C@@]2(C)[C@@](CC(=O)N)([C@H](CCC(=O)N)C(C(C)=C3[N+]4=C(C=C6C([C@@H]7CCC(=O)N)(C)C)[C@@H](CCC(=O)N)[C@@]3(CC(=O)N)C)=[N+]52)C)O[C@@H](N2C3=NC=NC(=C3N=C2)N)[C@H](O)[C@@H]1O,True
C00196,2-Pyrocatechuic acid,19,18026,5386.0,OC(=O)C1=C(O)C(O)=CC=C1,True
C00197,D-Glycerate 3-phosphate,439183,17794,None,O[C@H](COP(O)(O)=O)C(O)=O,True
C00198,Gluconolactone,7027,16217,353.0,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00199,D-Ribulose 5-phosphate,439184,17363,5591.0,OCC(=O)[C@H](O)[C@H](O)COP(O)(O)=O,True
C00201,None,None,None,None,None,False
C00203,Uridine diphosphate-N-acetylgalactosamine,1167,None,5293.0,CC(O)=NC1C(OP(O)(=O)OP(O)(=O)OCC2OC(C(O)C2O)N2C=CC(O)=NC2=O)OC(CO)C(O)C1O,True
C00204,2-dehydro-3-deoxy-D-gluconic acid,161227,17032,None,O=C(O)C(=O)C(O)(O)CO,True
C00206,dADP,188966,16174,6286.0,NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1,True
C00208,D-Maltose,10991489,47937,413.0,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,True
C00209,Oxalic acid,971,16995,113.0,OC(=O)C(O)=O,True
C00212,Adenosine,60961,16335,86.0,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,True
C00213,Sarcosine,1088,15611,51.0,CNCC(O)=O,True
C00214,Thymidine,5789,17748,3375.0,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,True
C00216,D-Arabinose,444173,46996,None,O[C@@H]1CO[C@@H](O)[C@@H](O)[C@@H]1O,True
C00217,D-Glutamic acid,23327,15966,6895.0,N[C@H](CCC(O)=O)C(O)=O,True
C00218,Methylamine,6329,16830,3767.0,CN,True
C00219,Arachidonic acid,444899,15843,193.0,CCCCC\C=C/C\C=C/C\C=C/C\C=C/CCCC(O)=O,True
C00221,beta-D-Glucose,None,None,None,None,True
C00222,Malonic semialdehyde,868,17960,None,OC(=O)CC=O,True
C00224,Adenosine phosphosulfate,10238,17709,5933.0,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](O)[C@H]1O,True
C00226,Primary alcohol,None,15734,None,None,True
C00227,Acetylphosphate,186,15350,6278.0,CC(=O)OP(O)(O)=O,True
C00229,Acyl-carrier protein,None,18359,None,None,True
C00231,Xylulose 5-phosphate,439190,16332,5829.0,OCC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O,True
C00232,Succinic acid semialdehyde,1112,16265,6114.0,OC(=O)CCC=O,True
C00233,Ketoleucine,70,48430,5663.0,CC(C)CC(=O)C(O)=O,True
C00234,10-Formyltetrahydrofolate,122347,15637,5912.0,NC1=NC(=O)C2=C(NCC(CN(C=O)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)N2)N1,True
C00235,Dimethylallylpyrophosphate,647,16057,6016.0,CC(C)=CCOP(O)(=O)OP(O)(O)=O,True
C00236,"Glyceric acid 1,3-biphosphate",439191,16001,None,O[C@H](COP(O)(O)=O)C(=O)OP(O)(O)=O,True
C00237,Carbon monoxide,281,17245,None,[C-]#[O+],True
C00238,Potassium,813,29103,3197.0,[K+],True
C00239,dCMP,13945,15918,6078.0,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1,True
C00240,None,None,None,None,None,False
C00242,Guanine,764,16235,315.0,NC1=NC(=O)C2=C(N1)N=CN2,True
C00243,Alpha-Lactose,84571,36219,267.0,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,True
C00244,Nitrate,943,17632,3208.0,[O-][N+]([O-])=O,True
C00245,Taurine,1123,15891,31.0,NCCS(O)(=O)=O,True
C00246,Butyric acid,264,30772,107.0,CCCC(O)=O,True
C00248,Lipoamide,863,17460,3372.0,NC(=O)CCCCC1CCSS1,True
C00249,Palmitic acid,985,15756,187.0,CCCCCCCCCCCCCCCC(O)=O,True
C00250,Pyridoxal,1050,17310,6312.0,CC1=NC=C(CO)C(C=O)=C1O,True
C00251,Chorismate,12039,17333,None,O[C@@H]1C=CC(=C[C@H]1OC(=C)C(O)=O)C(O)=O,True
C00253,Nicotinic acid,938,15940,6272.0,OC(=O)C1=CN=CC=C1,True
C00254,Prephenate,363602639,84387,None,O[C@H]1C=C[C@](CC(=O)C(O)=O)(C=C1)C(O)=O,True
C00255,Riboflavin,493570,17015,5249.0,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,True
C00256,D-Lactic acid,61503,42111,6150.0,C[C@@H](O)C(O)=O,True
C00257,Gluconic acid,10690,33198,345.0,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O,True
C00258,Glyceric acid,439194,32398,280.0,OC[C@@H](O)C(O)=O,True
C00259,L-Arabinose,439764,40886,5474.0,O[C@H]1CO[C@H](O)[C@H](O)[C@H]1O,True
C00262,Hypoxanthine,790,17368,83.0,OC1=NC=NC2=C1NC=N2,True
C00263,L-Homoserine,12647,15699,5687.0,N[C@@H](CCO)C(O)=O,True
C00266,Glycolaldehyde,756,17071,3205.0,OCC=O,True
C00267,alpha-D-Glucose,79025,17925,6897.0,OC[C@H]1O[C@H](O)[C@H](O)[C@@H](O)[C@@H]1O,True
C00269,CDP-diacylglycerol,None,17962,None,None,True
C00270,N-Acetylneuraminate,3568,17012,None,None,True
C00272,Tetrahydrobiopterin,44257,59560,5098.0,[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O,True
C00275,Mannose 6-phosphate,439198,49728,5987.0,O[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H]1O,True
C00279,D-Erythrose 4-phosphate,122357,48153,6158.0,O[C@H](COP(O)(O)=O)[C@@H](O)C=O,True
C00282,Hydrogen,783,18276,None,[H][H],True
C00283,Hydrogen sulfide,402,16136,3193.0,S,True
C00286,dGTP,65103,16497,6248.0,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1,True
C00288,Hydrogen carbonate,767,28976,6944.0,OC(O)=O,True
C00294,Inosine,6021,17596,84.0,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C(O)N=CN=C12,True
C00295,Orotic acid,967,16742,318.0,OC(=O)C1=CC(=O)NC(=O)N1,True
C00296,Quinic acid,6508,17521,3329.0,O[C@@H]1C[C@@](O)(C[C@@H](O)[C@H]1O)C(O)=O,True
C00299,Uridine,6029,16704,90.0,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=CC(=O)NC1=O,True
C00301,Adenosine diphosphate ribose,192,16960,6059.0,NC1=C2N=CN(C3OC(COP(O)(=O)OP(O)(=O)OCC4OC(O)C(O)C4O)C(O)C3O)C2=NC=N1,True
C00302,DL-Glutamate,611,18237,None,NC(CCC(O)=O)C(O)=O,True
C00303,Majoroside F6,131751089,28300,None,CC1OC(OC2C(O)C(O)C(CO)OC2OC2CC3(C)C(CC(O)C4C(CCC34C)C(C)(C\C=C\C(C)(C)O)OC3OC(CO)C(O)C(O)C3O)C3(C)CCC(O)C(C)(C)C23)C(O)C(O)C1O,True
C00305,Magnesium,888,18420,None,[Mg++],True
C00309,D-Ribulose,12358756,17173,5594.0,OC[C@@]1(O)OC[C@@H](O)[C@H]1O,True
C00310,D-Xylulose,12358757,17140,6333.0,OC[C@@]1(O)OC[C@@H](O)[C@@H]1O,True
C00311,Isocitric acid,1198,30887,3328.0,OC(C(CC(O)=O)C(O)=O)C(O)=O,True
C00312,L-Xylulose,89810215,17399,5719.0,OC[C@]1(O)OC[C@H](O)[C@H]1O,True
C00313,oxalyl-CoA,25201721,None,None,CC(C)(COP([O-])(=O)OP([O-])(=O)OCC1OC(C(O)C1OP([O-])([O-])=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)C([O-])=O,True
C00314,Pyridoxine,1054,16709,5245.0,CC1=C(O)C(CO)=C(CO)C=N1,True
C00315,Spermidine,1102,16610,254.0,NCCCCNCCCN,True
C00318,None,None,None,None,None,False
C00320,Thiosulfate,1085,5587,5260.0,OS(S)(=O)=O,True
C00322,Oxoadipic acid,71,15753,5234.0,OC(=O)CCCC(=O)C(O)=O,True
C00325,GDP-L-fucose,439211,17009,6001.0,C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O,True
C00327,Citrulline,9750,16349,16.0,N[C@@H](CCCNC(N)=O)C(O)=O,True
C00329,Glucosamine,439213,47977,266.0,N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,True
C00330,Deoxyguanosine,187790,17172,3395.0,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1,True
C00332,Acetoacetyl-CoA,92153,15345,449.0,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N,True
C00333,Galacturonic acid,84740,47962,6713.0,O[C@@H](C=O)[C@@H](O)[C@@H](O)[C@H](O)C(O)=O,True
C00334,gamma-Aminobutyric acid,119,16865,None,NCCCC(O)=O,True
C00337,"4,5-Dihydroorotic acid",648,30865,5513.0,OC(=O)C1CC(=O)NC(=O)N1,True
