Name,ionMz
Alanyl-alanine,159.0775;159.0773
Aminoadipate,160.0616
2-Dehydro-3-deoxy-rhamnonate,161.0455;161.0453
2-Ethylmalate,161.0455;161.0453
3-Hydroxycinnamic acid,163.0398;163.0397;163.0351
Phenylpyruvic acid,163.0398;163.0397;163.0351
2-Deoxyglucose,163.0614;163.0611
Fucose,163.0614;163.0611
Fuculose,163.0614;163.0611
Rhamnose,163.0614;163.0611
Rhamnulose,163.0614;163.0611
alpha-Fucopyranose,163.0614;163.0611
alpha-Fucose,163.0614;163.0611
alpha-Rhamnose,163.0614;163.0611
beta-Fucopyranose,163.0614;163.0611
beta-Rhamnose,163.0614;163.0611
Methionine (R)-S-oxide,164.038
Met-oxide,164.038
methionine (S)-S-oxide,164.038
Phenylalanine,164.0716;164.0717
3-(2-Hydroxyphenyl)propanoate,165.0551;165.0556
3-(3-Hydroxyphenyl)propionate,165.0551;165.0556
Phenyllactic acid,165.0551;165.0556
Pyridoxal,166.0508;166.0507
Phosphoenolpyruvate,166.9759;166.9752
Urate,167.0207;167.021
Pyridoxamine,167.0828;167.0827
Pyridoxine,168.0667;168.0664
"3,4-Dihydroxyphenylethyleneglycol",169.0503
"2,3,4,5-Tetrahydrodipicolinate",170.0455;170.0454
Homoserine lactone,170.0825
Glycerol 2-phosphate,171.0092;171.0064;171.0065
sn-Glycerol 3-phosphate,171.0092;171.0064;171.0065
Sn-Glycerol-1-phosphate,171.0092;171.0064;171.0065
glycerol-3-phosphate,171.0092;171.0064;171.0065
Acetyl-Glu-semialdehyde,172.0616;172.0615
Aconitate,173.0092;173.0089
trans-Aconitic acid,173.0092;173.0089
2-Isopropyl-3-oxosuccinate,173.0455;173.0453
Shikimate,173.0455;173.0453
Acetylornithine,173.0932
Arginine,173.1041
Acetyl-Asp,174.0407;174.0409
Citrulline,174.088
"(4S)-4,6-Dihydroxy-2,5-dioxohexanoate",175.022;175.0245
5-Dehydro-4-deoxy-glucuronate,175.022;175.0245
Hexuronic acid,175.022;175.0245
Ureidosuccinic acid,175.0361;175.0364
2-Isopropylmalic acid,175.0611;175.061
3-Carboxy-3-hydroxy-isocaproate,175.0611;175.061
3-Propylmalate,175.0611;175.061
2-Dehydro-3-deoxy-galactonate,177.0405;177.0402
2-Keto-3-deoxy-gluconic acid,177.0405;177.0402
3-Dehydro-2-deoxy-gluconate,177.0405;177.0402
Galactonolactone,177.0405;177.0402
Glucono-lactone,177.0405;177.0402
S-Carboxymethyl-Cys,178.0175;178.017
N-Acetylanthranilate,178.0509;178.051
3-(4-Hydroxyphenyl)pyruvate,179.036;179.0348
"Trans-2,3-Dihydroxycinnamate",179.036;179.0348
2-Deoxygluconate,179.0561
Allose,179.0561
Alpha-Galactose,179.0561
Fructose,179.0561
Galactose,179.0561
Glucose,179.0561
Inositol,179.0561
Mannose,179.0561
Myoinositol,179.0561
Rhamnonate,179.0561
Sorbose,179.0561
alpha-Glucose,179.0561
b-Glucose,179.0561
beta-Galactose,179.0561
Tyrosine,180.0663;180.0664
"3-(2,3-Dihydroxyphenyl)propanoate",181.051;181.0505
3-(4-Hydroxyphenyl)lactate,181.051;181.0505
"cis-3-(3-Carboxyethenyl)-3,5-cyclohexadiene-1,2-diol",181.051;181.0505
1-Deoxy-glycero-tetrulose 4-phosphate,183.0061
"3,4-Dihydroxy-2-butanone-4-P",183.0061
"L-3,4-Dihydroxybutan-2-one 4-P",183.0061
O-Phospho-serine,184.0017
Phosphoserine,184.0017
2-Phospho-glyceric acid,184.9853;184.9856
3-Phospho-glycerate,184.9853;184.9856
Phosphoglycerate,184.9853;184.9856
"7,8-Diaminononanoate",187.1459
Acetyl-Glu,188.0565;188.0566
Oxalosuccinate,189.0022
3-Dehydroquinate,189.0404;189.0405
Diaminopimelate,189.088
"Meso-2,6-Diaminoheptanedioate",189.088
Acetyl-Met,190.0558;190.055
"2,3-Diketo-gulonate",191.0197;191.0196
"2,5-Diketo-gluconate",191.0197;191.0196
2-Dehydro-3-deoxy-glucarate,191.0197;191.0196
5-Dehydro-4-deoxy-glucarate,191.0197;191.0196
Citric acid,191.0197;191.0196
(Iso)Citrate,191.0197;191.0196
Quinate,191.0561
3-Carbamoyl-2-phenylpropionaldehyde,192.0666;192.0663
"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one",192.0666;192.0663
2-Dehydro-gluconate,193.0352;193.0349
3-Dehydro-gulonate,193.0352;193.0349
5-Keto-gluconate,193.0352;193.0349
Hexuronate,193.0352;193.0349
Galacturonate,193.0352;193.0349
Glucuronic acid,193.0352;193.0349
Tagaturonate,193.0352;193.0349
Methyl-beta-galactoside,193.0719
"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine",194.0682;194.0686
6-Hydroxymethyl dihydropterin,194.0682;194.0686
Altronate,195.0508;195.0509
Galactonate,195.0508;195.0509
Hexonic acid,195.0508;195.0509
Gluconic acid,195.0508;195.0509
Gulonate,195.0508;195.0509
Idonate,195.0508;195.0509
Mannonate,195.0508;195.0509
gamma-Glutamyl-beta-aminopropiononitrile,198.088
D-Erythrose 4-phosphate,199.0019;199.0014
Dodecanoic acid (FA12:0),199.1701;199.1703
"1,4-Dihydroxy-2-naphthoate",203.0348
Tryptophan,203.0824;203.0826
Lipoamide,204.0498;204.0508
"(R)-2-Hydroxybutane-1,2,4-tricarboxylate",205.0351;205.0353
Lipoate,205.0351;205.0353
