,0
532,C01648
533,C02501
534,C01187
535,C04534
536,C00121
537,C00390
538,C00666
539,C12624
540,C05938
541,C06398
542,C00294
543,C02743
544,C15532
545,C01185
546,C21015
547,C00636
548,C00931
549,C22442
550,C19080
551,C19673
552,C00514
553,C00137
554,C12834
555,C04144
556,C03892
557,C02163
558,C00065
559,C20378
560,C14858
561,C00461
562,C00559
563,C00989
564,C05774
565,C02350
566,C02843
567,C00499
568,C15980
569,C20415
570,C00344
571,C06186
572,C05196
573,C03741
574,C04043
575,C00153
576,C03541
577,C03082
578,C11088
579,C04233
580,C04431
581,C00338
582,C00568
583,C01279
584,C11516
585,C00315
586,C00197
587,C00615
588,C01081
589,C00542
590,C05730
591,C14855
592,C04644
593,C00003
594,C15672
595,C05258
596,C12622
597,C07490
598,C00760
599,C00900
600,C00188
601,C16338
602,C16254
603,C00322
604,C14871
605,C02505
606,C05711
607,C00798
608,C06187
609,C19723
610,C01233
611,C15930
612,C03172
613,C21993
614,C03460
615,C00680
616,C04088
617,C17219
618,C02995
619,C01104
620,C19879
621,C14839
622,C03221
623,C05750
624,C20753
625,C01180
626,C16255
627,C01642
628,C06178
629,C20422
630,C20646
631,C00392
632,C00263
633,C00275
634,C04646
635,C00332
636,C14840
637,C00459
638,C00026
639,C00233
640,C00906
641,C15806
642,C00491
643,C02554
644,C06509
645,C04242
646,C21157
647,C00209
648,C04153
649,C00462
650,C01112
651,C14803
652,C16330
653,C05702
654,C00937
655,C05364
656,C03127
657,C03319
658,C01013
659,C11278
660,C03069
661,C05932
662,C05751
663,C02972
664,C16272
665,C20258
666,C14802
667,C20831
668,C22150
669,C05759
670,C00877
671,C00093
672,C06024
673,C00108
674,C04734
675,C20497
676,C01419
677,C22158
678,C04751
679,C22441
680,C21485
681,C16469
682,C21007
683,C00676
684,C00463
685,C20959
686,C00156
687,C00133
688,C13508
689,C02839
690,C00853
691,C04352
692,C00071
693,C15811
694,C21610
695,C12455
696,C01005
697,C01050
698,C19871
699,C00369
700,C02147
701,C00561
702,C03688
703,C02713
704,C01635
705,C05576
706,C00693
707,C00035
708,C00667
709,C01721
710,C01640
711,C02269
712,C12215
713,C02780
714,C01649
715,C00007
716,C05744
717,C00857
718,C01528
719,C00458
720,C05824
721,C05850
722,C00618
723,C00158
724,C04404
725,C00194
726,C16520
727,C00249
728,C03838
729,C01300
730,C00043
731,C00405
732,C15673
733,C01412
734,C00077
735,C18096
736,C00671
737,C01997
738,C01929
739,C02362
740,C00017
741,C18305
742,C05951
743,C04272
744,C04732
745,C14857
746,C00935
747,C12623
748,C19859
749,C00879
750,C00018
751,C03722
752,C00507
753,C01978
754,C02133
755,C00905
756,C19085
757,C04317
758,C00407
759,C14144
760,C11457
761,C02970
762,C22154
763,C21983
764,C05198
765,C00185
766,C06504
767,C18796
768,C03826
769,C03889
770,C02325
771,C20905
772,C05947
773,C05924
774,C14856
775,C01172
776,C04556
777,C00079
778,C04633
779,C00575
780,C00389
781,C01652
782,C16236
783,C15809
784,C00441
785,C00819
786,C05796
787,C00668
788,C20904
789,C00831
790,C00966
791,C00217
792,C00534
793,C21158
794,C17758
795,C02097
796,C18902
797,C20463
798,C02067
799,C00601
800,C00006
801,C15812
802,C00692
803,C14089
804,C03373
805,C06196
806,C21616
807,C02338
808,C01487
809,C05640
810,C22453
811,C00064
812,C19078
813,C03492
814,C06714
815,C02353
816,C02882
817,C00167
818,C03089
819,C04152
820,C12248
821,C00033
822,C11736
823,C00498
824,C15602
825,C14874
826,C02128
827,C01268
828,C01222
829,C06156
830,C05264
831,C05235
832,C00029
833,C20374
834,C16587
835,C04438
836,C06899
837,C04154
838,C06506
839,C05265
840,C06311
841,C00583
842,C00460
843,C00296
844,C00119
845,C02686
846,C04619
847,C04377
848,C03125
849,C00416
850,C04702
851,C15973
852,C06715
853,C20958
854,C00229
855,C01146
856,C00075
857,C05768
858,C19848
859,C16698
860,C04334
861,C01024
862,C06249
863,C16565
864,C16519
865,C20249
866,C08325
867,C02984
868,C00986
869,C17552
870,C14099
871,C03024
872,C04640
873,C15972
874,C20648
875,C02222
876,C05401
877,C14786
878,C02415
879,C11946
880,C15587
881,C02247
882,C16586
883,C09871
884,C20375
885,C11477
886,C21029
887,C05271
888,C03740
889,C17222
890,C00068
891,C00081
892,C00645
893,C04666
894,C20858
895,C16334
896,C02479
897,C05261
898,C09332
899,C05819
900,C00793
901,C00002
902,C20836
903,C06735
904,C00170
905,C11453
906,C17023
907,C00577
908,C00923
909,C05512
910,C21387
911,C03028
912,C11437
913,C16186
914,C01879
915,C20451
916,C05758
917,C07090
918,C00012
919,C05817
920,C17211
921,C14863
922,C00811
923,C00208
924,C21152
925,C04327
926,C16331
927,C15603
928,C05983
929,C00894
930,C16596
931,C19882
932,C04756
933,C05726
934,C00802
935,C05280
936,C14793
937,C03161
938,C05745
939,C05764
940,C00141
941,C00196
942,C00272
943,C06251
944,C00005
945,C00365
946,C01250
947,C00049
948,C20658
949,C20231
950,C00009
951,C16335
952,C15996
953,C01637
954,C02205
955,C15586
956,C16617
957,C01094
958,C00704
959,C04620
960,C01653
961,C02583
962,C00101
963,C02909
964,C19910
965,C03415
966,C02429
967,C21749
968,C00688
969,C05760
970,C00979
971,C00380
972,C00258
973,C00310
974,C00067
975,C02463
976,C04752
977,C02565
978,C21094
979,C14090
980,C03232
981,C01304
982,C05279
983,C01762
984,C00448
985,C05623
986,C00173
987,C19770
