sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	CC(C)[C@@H]1CC[C@@H](C)C[C@@H]1O	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Monocyclic monoterpenoids	Aliphatic homomonocyclic compounds	Cyclic alcohols and derivatives;Cyclohexanols;Hydrocarbon derivatives;Menthane monoterpenoids	Alcohol;Monocyclic Monoterpenoid;Organic oxygen compound;Cyclohexanol;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Cyclic alcohol;Organooxygen compound;P-menthane monoterpenoid
	CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Eicosanoids	Prostaglandins and related compounds	Aliphatic homomonocyclic compounds	Carbocyclic fatty acids;Carboxylic acids;Cyclic alcohols and derivatives;Cyclic ketones;Cyclopentanols;Fatty alcohols;Hydrocarbon derivatives;Hydroxy fatty acids;Medium-chain fatty acids;Medium-chain hydroxy acids and derivatives;Monocarboxylic acids and derivatives;Organic oxides	Alcohol;Carbocyclic fatty acid;Carbonyl group;Carboxylic acid;Prostaglandin skeleton;Cyclic ketone;Cyclic alcohol;Carboxylic acid derivative;Medium-chain hydroxy acid;Cyclopentanol;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Fatty alcohol;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Medium-chain fatty acid;Hydroxy fatty acid;Organooxygen compound
	OC1=CC(O)=C2C(=O)C(OS(O)(=O)=O)=C(OC2=C1)C1=CC=C(O)C(O)=C1	Organic compounds	Phenylpropanoids and polyketides	Flavonoids	Sulfated flavonoids	3-sulfated flavonoids	Aromatic heteropolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;3'-hydroxyflavonoids;4'-hydroxyflavonoids;5-hydroxyflavonoids;7-hydroxyflavonoids;Arylsulfates;Benzene and substituted derivatives;Chromones;Flavonoids;Heteroaromatic compounds;Hydrocarbon derivatives;Organic oxides;Organooxygen compounds;Oxacyclic compounds;Pyranones and derivatives;Sulfuric acid monoesters;Vinylogous acids	Monocyclic benzene moiety;Sulfuric acid monoester;1-benzopyran;1-hydroxy-2-unsubstituted benzenoid;Organic oxide;Chromone;Aromatic heteropolycyclic compound;Pyranone;Arylsulfate;Organoheterocyclic compound;Benzopyran;Organic sulfuric acid or derivatives;3-sulfated flavonoid;Heteroaromatic compound;5-hydroxyflavonoid;1-hydroxy-4-unsubstituted benzenoid;3'-hydroxyflavonoid;Oxacycle;Vinylogous acid;Organic oxygen compound;Pyran;7-hydroxyflavonoid;4'-hydroxyflavonoid;Sulfate-ester;Phenol;Hydrocarbon derivative;Benzenoid;Sulfuric acid ester;Organooxygen compound
	OC(C#N)C1=CC=C(O)C=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids	Aromatic homomonocyclic compounds	Alpha-hydroxynitriles;Aromatic alcohols;Benzene and substituted derivatives;Cyanohydrins;Hydrocarbon derivatives;Organonitrogen compounds;Organopnictogen compounds;Secondary alcohols	Aromatic alcohol;Alcohol;Monocyclic benzene moiety;Nitrile;1-hydroxy-2-unsubstituted benzenoid;Cyanohydrin;Aromatic homomonocyclic compound;Organic oxygen compound;Alpha-hydroxynitrile;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Carbonitrile;Organooxygen compound
	OC[C@H](O)CC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	1,2-diols;Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Beta-hydroxy ketones;Carboxylic acids;Fatty Acyls;Hydrocarbon derivatives;Hydroxy fatty acids;Monocarboxylic acids and derivatives;Organic oxides;Primary alcohols;Secondary alcohols	Alcohol;Fatty acyl;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Secondary alcohol;Hydrocarbon derivative;Hydroxy fatty acid;Primary alcohol;Organooxygen compound;1,2-diol
	O[C@@H]1CC(=O)C2=C(C1)C=C(O)C=C2O	Organic compounds	Benzenoids	Tetralins	Tetralins	Tetralins	Aromatic homopolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;1-hydroxy-4-unsubstituted benzenoids;Aryl alkyl ketones;Hydrocarbon derivatives;Organic oxides;Secondary alcohols;Vinylogous acids	Alcohol;Tetralin;Aryl alkyl ketone;1-hydroxy-2-unsubstituted benzenoid;Aromatic homopolycyclic compound;1-hydroxy-4-unsubstituted benzenoid;Ketone;Vinylogous acid;Organic oxide;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Organooxygen compound;Aryl ketone
	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)O[C@@H]4[C@@H](COP(O)(=O)O[C@@H]5[C@@H](CO)O[C@H]([C@@H]5O)N5C=NC6=C(N)N=CN=C56)O[C@H]([C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@@H](O)[C@H]3O)C2=NC=N1	Organic compounds	Nucleosides, nucleotides, and analogues	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Ribonucleoside 3'-phosphates	Aromatic heteropolycyclic compounds	Azacyclic compounds;Dialkyl phosphates;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary alcohols;Primary amines;Purine ribonucleoside 3',5'-bisphosphates;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Purine ribonucleoside 3',5'-bisphosphate;Ribonucleoside 3'-phosphate;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Dialkyl phosphate;Organic oxygen compound;Phosphoric acid ester;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	COC1=CC(\C=C/C(=O)OCC[N+](C)(C)C)=CC(OC)=C1O	Organic compounds	Phenylpropanoids and polyketides	Cinnamic acids and derivatives	Hydroxycinnamic acids and derivatives	Hydroxycinnamic acids	Aromatic homomonocyclic compounds	Acyl cholines;Alkyl aryl ethers;Amines;Anisoles;Carbonyl compounds;Dimethoxybenzenes;Enoate esters;Fatty acid esters;Hydrocarbon derivatives;Methoxyphenols;Monocarboxylic acids and derivatives;Organic cations;Organic oxides;Organic salts;Organopnictogen compounds;Phenoxy compounds;Tetraalkylammonium salts	Fatty acyl;Phenol ether;Monocyclic benzene moiety;Carbonyl group;Ether;Methoxyphenol;Alkyl aryl ether;Carboxylic acid derivative;Dimethoxybenzene;Alpha,beta-unsaturated carboxylic ester;Organic oxide;Organonitrogen compound;Organopnictogen compound;Organic cation;Organic salt;Enoate ester;Tetraalkylammonium salt;Quaternary ammonium salt;Methoxybenzene;Hydroxycinnamic acid;Aromatic homomonocyclic compound;Fatty acid ester;Monocarboxylic acid or derivatives;Organic oxygen compound;M-dimethoxybenzene;Anisole;Carboxylic acid ester;Acyl choline;Phenol;Hydrocarbon derivative;Benzenoid;Organic nitrogen compound;Phenoxy compound;Amine;Organooxygen compound
	CC(=C)[C@@H]1CC=C(C)[C@@H](O)C1	Organic compounds	Lipids and lipid-like molecules	Prenol lipids	Monoterpenoids	Monocyclic monoterpenoids	Aliphatic homomonocyclic compounds	Hydrocarbon derivatives;Menthane monoterpenoids;Secondary alcohols	Alcohol;Monocyclic Monoterpenoid;Organic oxygen compound;Secondary alcohol;Aliphatic homomonocyclic compound;Hydrocarbon derivative;Organooxygen compound;P-menthane monoterpenoid
	OC1=CC=C(C=C1)C1=CN2C(=O)C(CC3=CC=CC=C3)=NC2=C(CC2=CC=CC=C2)N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrazines	Imidazopyrazines	Imidazopyrazines	Aromatic heteropolycyclic compounds	1-hydroxy-2-unsubstituted benzenoids;Azacyclic compounds;Benzene and substituted derivatives;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Lactams;N-substituted imidazoles;Organic oxides;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds;Pyrazines	Monocyclic benzene moiety;Lactam;Imidazopyrazine;Azacycle;Heteroaromatic compound;1-hydroxy-2-unsubstituted benzenoid;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Imidazole;Pyrazine;Organonitrogen compound;Organopnictogen compound;Phenol;Hydrocarbon derivative;Benzenoid;Organic nitrogen compound;Organooxygen compound;N-substituted imidazole
