sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	CCC(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Lactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Organoheterocyclic compound;Alcohol;Vinylogous amide;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](CO)O1	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Imidolactam;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Amine;Organooxygen compound
	CC(C)C(=O)C(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Alpha-hydroxy ketones;Alpha-keto acids and derivatives;Carboxylic acids;Fatty Acyls;Hydrocarbon derivatives;Methyl-branched fatty acids;Monocarboxylic acids and derivatives;Organic oxides	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Methyl-branched fatty acid;Short-chain keto acid;Alpha-hydroxy ketone;Carboxylic acid derivative;Branched fatty acid;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Alpha-keto acid;Hydrocarbon derivative;Organooxygen compound
	CC(CO)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Primary alcohols	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Primary alcohol;Organooxygen compound
	NC(=O)NCCC(O)=O	Organic compounds	Organic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids and derivatives	Organic carbonic acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carbonic acid derivative;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2	Organic compounds	Organoheterocyclic compounds	Biotin and derivatives	Biotin and derivatives	Biotin and derivatives	Aliphatic heteropolycyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Dialkylthioethers;Heterocyclic fatty acids;Hydrocarbon derivatives;Imidazolidinones;Medium-chain fatty acids;Monocarboxylic acids and derivatives;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Thienoimidazolidines;Thiolanes;Thiophenes	Thiolane;Imidazolidine;Fatty acyl;Carbonyl group;Carboxylic acid;Heterocyclic fatty acid;Fatty acid;Thiophene;Carboxylic acid derivative;Aliphatic heteropolycyclic compound;Imidazolidinone;Organic oxide;Biotin_derivative;Organonitrogen compound;Organopnictogen compound;Medium-chain fatty acid;Carbonic acid derivative;Azacycle;Dialkylthioether;Biotin;Thienoimidazolidine;Monocarboxylic acid or derivatives;Organic oxygen compound;Thioether;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound
	NC1=C2NC=NC2=NC=N1	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purines and purine derivatives	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Organopnictogen compounds;Primary amines;Pyrimidines and pyrimidine derivatives	Azacycle;Heteroaromatic compound;Pyrimidine;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Imidolactam;Amine;Azole
	CCCC(O)=O	Organic compounds	Lipids and lipid-like molecules	Fatty Acyls	Fatty acids and conjugates	Straight chain fatty acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Straight chain fatty acid;Carboxylic acid;Carboxylic acid derivative;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	CC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Carboxylic acid;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO	Organic compounds	Organoheterocyclic compounds	Dihydrofurans	Furanones	Butenolides	Aliphatic heteromonocyclic compounds	1,2-diols;Carbonyl compounds;Dihydrofurans;Enoate esters;Hydrocarbon derivatives;Lactones;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Oxacyclic compounds;Primary alcohols;Secondary alcohols;Vinylogous acids	Enoate ester;Alcohol;Carbonyl group;Monosaccharide;Carboxylic acid derivative;Lactone;Oxacycle;Alpha,beta-unsaturated carboxylic ester;Vinylogous acid;2-furanone;Saccharide;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Carboxylic acid ester;Aliphatic heteromonocyclic compound;Secondary alcohol;Hydrocarbon derivative;Primary alcohol;Organooxygen compound;1,2-diol
	NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside monophosphates	Aromatic heteropolycyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;1,2-diol;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	OC[C@H]1O[C@H](OC[C@H]2OC(O)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Acetals;Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Acetal;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound
	NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine nucleosides	Purine nucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monosaccharides;N-substituted imidazoles;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Monosaccharide;Imidazopyrimidine;Pyrimidine;Saccharide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Purine nucleoside;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Amine;Organooxygen compound
	N	Organic compounds	Organic nitrogen compounds		Organic nitrogen compounds	Organic nitrogen compounds	Acyclic compounds		Acyclic compound;Organic nitrogen compound
	OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Acetals;Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Acetal;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound
	NCCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Beta amino acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Beta amino acid or derivatives;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@@H]2COP(O)(=O)O[C@H]2[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Cyclic purine nucleotides	3',5'-cyclic purine nucleotides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monosaccharides;N-substituted imidazoles;Organic oxides;Organic phosphoric acids and derivatives;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Monosaccharide;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;3',5'-cyclic purine ribonucleotide;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Organooxygen compound
	CC(=O)CC(O)=O	Organic compounds	Organic acids and derivatives	Keto acids and derivatives	Short-chain keto acids and derivatives	Short-chain keto acids and derivatives	Aliphatic acyclic compounds	Beta-hydroxy ketones;Beta-keto acids and derivatives;Carboxylic acids;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain keto acid;Carboxylic acid derivative;Beta-keto acid;Ketone;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleotides	Purine ribonucleotides	Purine ribonucleoside 3',5'-bisphosphates	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monoalkyl phosphates;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Purine ribonucleoside monophosphates;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Ribonucleoside 3'-phosphates;Secondary alcohols;Tetrahydrofurans	Pentose phosphate;Purine ribonucleoside monophosphate;Monosaccharide;Pentose-5-phosphate;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;Azole;N-substituted imidazole;Purine ribonucleoside 3',5'-bisphosphate;Ribonucleoside 3'-phosphate;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Purine;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	C[N+](C)(C)CC(O)CC(O)=O	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Carnitines	Aliphatic acyclic compounds	1,2-aminoalcohols;Amines;Beta hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Hydroxy fatty acids;Monocarboxylic acids and derivatives;Organic cations;Organic oxides;Organic salts;Organopnictogen compounds;Secondary alcohols;Short-chain hydroxy acids and derivatives;Tetraalkylammonium salts	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Fatty acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Organopnictogen compound;Hydroxy fatty acid;Organic cation;Organic salt;Alcohol;Tetraalkylammonium salt;1,2-aminoalcohol;Hydroxy acid;Carnitine;Monocarboxylic acid or derivatives;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Amine;Organooxygen compound
	OC[C@H]1O[C@H](C[C@@H]1O)N1C=NC2=C1N=CN=C2O	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Purine 2'-deoxyribonucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Monosaccharides;N-substituted imidazoles;Organonitrogen compounds;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Purines and purine derivatives;Secondary alcohols;Tetrahydrofurans	Monosaccharide;Hydroxypyrimidine;Imidazopyrimidine;Pyrimidine;Saccharide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Purine 2'-deoxyribonucleoside;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organooxygen compound
	OC(=O)C\C(=C\C(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Tricarboxylic acids and derivatives	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Carboxylic acid;Organic oxygen compound;Hydrocarbon derivative;Tricarboxylic acid or derivatives;Organooxygen compound
	NCCC1=CC(O)=C(O)C=C1	Organic compounds	Benzenoids	Phenols	1-hydroxy-2-unsubstituted benzenoids	1-hydroxy-2-unsubstituted benzenoids	Aromatic homomonocyclic compounds	1-hydroxy-4-unsubstituted benzenoids;Benzene and substituted derivatives;Hydrocarbon derivatives;Monoalkylamines;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds	Monocyclic benzene moiety;1-hydroxy-2-unsubstituted benzenoid;1-hydroxy-4-unsubstituted benzenoid;Aromatic homomonocyclic compound;Organic oxygen compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	O=C1CCNC(=O)N1	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	Aliphatic heteromonocyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Diazinanes;Dicarboximides;Hydrocarbon derivatives;N-acyl ureas;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	N-acyl urea;Carbonyl group;Carbonic acid derivative;Azacycle;Pyrimidone;Carboxylic acid derivative;1,3-diazinane;Organic oxide;Organic oxygen compound;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Dicarboximide;Organic nitrogen compound;Ureide;Organooxygen compound
	N[C@@H](CS)C(=O)NCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Acyl glycines	Aliphatic acyclic compounds	Alkylthiols;Alpha amino acid amides;Alpha amino acids;Carbonyl compounds;Carboxylic acids;Cysteine and derivatives;Dipeptides;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Organosulfur compounds;Secondary carboxylic acid amides	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Organosulfur compound;Alpha peptide;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Alpha-amino acid amide;Carboxamide group;N-acylglycine;Alpha-dipeptide;Secondary carboxylic acid amide;Monocarboxylic acid or derivatives;Organic oxygen compound;Cysteine or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Alkylthiol;Organooxygen compound
	CC1CNC(=O)NC1=O	Organic compounds	Organoheterocyclic compounds	Diazines	Pyrimidines and pyrimidine derivatives	Pyrimidones	Aliphatic heteromonocyclic compounds	Azacyclic compounds;Carbonyl compounds;Carboxylic acids and derivatives;Diazinanes;Dicarboximides;Hydrocarbon derivatives;N-acyl ureas;Organic carbonic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	N-acyl urea;Carbonyl group;Carbonic acid derivative;Azacycle;Pyrimidone;Carboxylic acid derivative;1,3-diazinane;Organic oxide;Organic oxygen compound;Aliphatic heteromonocyclic compound;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Dicarboximide;Organic nitrogen compound;Ureide;Organooxygen compound
	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside triphosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Pyrimidine ribonucleoside triphosphate;Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;1,2-diol;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Purine 2'-deoxyribonucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hypoxanthines;Imidazoles;Lactams;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Purines and purine derivatives;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Monosaccharide;Pyrimidone;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Purine 2'-deoxyribonucleoside;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hypoxanthine;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Amine;Organooxygen compound
	C[N+](C)(C)CCO[P@](O)(=O)OC[C@H](O)CO	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphocholines	Glycerophosphocholines	Aliphatic acyclic compounds	1,2-diols;Amines;Dialkyl phosphates;Hydrocarbon derivatives;Organic cations;Organic oxides;Organic salts;Organopnictogen compounds;Phosphocholines;Primary alcohols;Secondary alcohols;Tetraalkylammonium salts	Alcohol;Aliphatic acyclic compound;Tetraalkylammonium salt;Quaternary ammonium salt;Phosphocholine;Glycero-3-phosphocholine;Dialkyl phosphate;Organic oxide;Organic oxygen compound;Phosphoric acid ester;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Organic cation;Organic salt;Primary alcohol;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound;1,2-diol
	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleosides	Pyrimidine nucleosides	Pyrimidine nucleosides	Aromatic heteromonocyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Aromatic heteromonocyclic compound;Monosaccharide;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Pyrimidine nucleoside;Primary alcohol;Imidolactam;Organoheterocyclic compound;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Amine;Organooxygen compound
	OC(=O)CC(O)(CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Tricarboxylic acids and derivatives	Tricarboxylic acids and derivatives	Aliphatic acyclic compounds	Alpha hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Organic oxides;Tertiary alcohols	Alcohol;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Alpha-hydroxy acid;Tricarboxylic acid or derivatives;Hydroxy acid;Tertiary alcohol;Organic oxide;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	Organic compounds	Nucleosides, nucleotides, and analogues	Pyrimidine nucleotides	Pyrimidine ribonucleotides	Pyrimidine ribonucleoside monophosphates	Aromatic heteromonocyclic compounds	1,2-diols;Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidolactams;Monoalkyl phosphates;Monosaccharides;Organic carbonic acids and derivatives;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Pentose phosphates;Primary amines;Pyrimidones;Secondary alcohols;Tetrahydrofurans	Aromatic heteromonocyclic compound;Pentose phosphate;Monosaccharide;Pentose-5-phosphate;Pyrimidone;Pyrimidine;Saccharide;Organic oxide;Organonitrogen compound;Organopnictogen compound;Imidolactam;Organoheterocyclic compound;1,2-diol;Alcohol;Carbonic acid derivative;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Pyrimidine ribonucleoside monophosphate;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Organic phosphoric acid derivative;Amine;Alkyl phosphate;Organooxygen compound
	C[N+](C)(C)CCO	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Quaternary ammonium salts	Cholines	Aliphatic acyclic compounds	1,2-aminoalcohols;Alcohols and polyols;Hydrocarbon derivatives;Organic cations;Organic salts;Organopnictogen compounds;Tetraalkylammonium salts	Alcohol;Aliphatic acyclic compound;Tetraalkylammonium salt;1,2-aminoalcohol;Organic oxygen compound;Choline;Organopnictogen compound;Hydrocarbon derivative;Organic cation;Organic salt;Amine;Organooxygen compound;Alkanolamine
	O[C@@H]1COC(O)[C@H](O)[C@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Organoheterocyclic compound
