kegg_id,metabolite_ids,Metabolite value
C06332,M_acanth_c,0.11329472166806687
C00024,M_accoa_c,0.6562549285947572
C05235,M_acetol_c,0.03410553286345985
C04133,M_acg5p_c,0.07251319463532635
C01250,M_acg5sa_c,0.07660855215703144
C00140,M_acgam_c,0.2235636015778253
C04256,M_acgam1p_c,0.10875051556538118
C00357,M_acgam6p_c,0.1515925638420179
C02655,M_acglc__D_c,0.06046317649816002
C00624,M_acglu_c,0.06658659019648239
C02130,M_acmalt_c,
C00645,M_acmana_c,
C04257,M_acmanap_c,0.1518002070863167
C16698,M_acmum6p_c,0.24829060458458896
C00270,M_acnam_c,
C00417,M_acon_C_c,0.04136837001138538
C02341,M_acon_T_c,0.041368370011962696
C11514,M_aconm_c,0.24445902825755983
C00437,M_acorn_c,0.10885380875856887
C00979,M_acser_c,0.07438598449437395
C05744,M_actACP_c,
C00227,M_actp_c,0.016461196926842447
C00147,M_ade_c,0.15615997960076733
C00212,M_adn_c,0.19833088655140108
C06508,M_adocbi_c,
C06509,M_adocbip_c,
C00194,M_adocbl_c,0.6583500520841779
C00008,M_adp_c,0.20553839272473562
C00498,M_adpglc_c,0.25673351375073983
C06397,M_adphep_DD_c,0.31018342320277004
C06398,M_adphep_LD_c,0.3104843878567687
C00301,M_adprib_c,0.3005821114815288
C01882,M_adprib_c,0.3005821114815288
C06710,M_ag_c,
C06510,M_agdpcbi_c,
C00179,M_agm_c,0.13329214624575592
C00021,M_ahcys_c,0.4458890056494691
C04895,M_ahdt_c,0.2036202515574903
C04677,M_aicar_c,0.15235956439518805
C00026,M_akg_c,0.03626288821768631
C00099,M_ala_B_c,0.030991383792433602
C00133,M_ala__D_c,0.0511132404386716
C00041,M_ala__L_c,0.02376516761483094
C01401,M_ala__L_c,0.02376516761483094
C00993,M_alaala_c,0.10957122762093041
C06010,M_alac__S_c,0.03593868889923968
C01487,M_all__D_c,
C02962,M_all6p_c,0.05208538861370959
C01551,M_alltn_c,0.1203966422603564
C00499,M_alltt_c,0.1271045032144924
C18096,M_allul6p_c,0.052075347051894205
C00817,M_altrn_c,
C00019,M_amet_c,0.4673623321465814
C01137,M_ametam_c,0.47293519936498774
C04425,M_amob_c,
C00020,M_amp_c,0.19978939131317652
C00108,M_anth_c,0.09794330138596097
C01260,M_ap4a_c,0.4154715080745719
C04058,M_ap5a_c,
C03194,M_appl_c,0.26490228712960917
C05771,M_appl_c,0.26490228712960917
C00224,M_aps_c,0.22456672739685768
C01112,M_ara5p_c,0.04370881994233411
C11476,M_arab__L_c,
C06187,M_arbt6p_c,
C05554,M_arbtn_fe3_c,
C00062,M_arg__L_c,0.11522413911480012
C02385,M_arg__L_c,0.11522413911480012
C03406,M_argsuc_c,0.14266482162880179
C02163,M_argtrna_c,
C16186,M_ascb6p_c,
C00152,M_asn__L_c,0.05376424274242675
C16438,M_asn__L_c,0.05376424274242675
C03402,M_asntrna_c,
C06697,M_aso3_c,
C01478,M_aso4_c,
C11215,M_aso4_c,
C18647,M_aso4_c,
C18648,M_aso4_c,
C00049,M_asp__L_c,0.030119602104061727
C16433,M_asp__L_c,0.030119602104061727
C00441,M_aspsa_c,0.041893651172719704
C02984,M_asptrna_c,
C05519,M_athr__L_c,0.0605480295296168
C00002,M_atp_c,0.21100950965412535
C00877,M_b2coa_c,0.6745402196868144
C20749,M_bbtcoa_c,
C00576,M_betald_c,
C01412,M_btal_c,
C00136,M_btcoa_c,0.7897095065921955
C00120,M_btn_c,1.3065182139426312
C20386,M_btnso_c,
C04246,M_but2eACP_c,
C00076,M_ca2_c,
C08130,M_ca2_c,
C12277,M_ca2_c,
C13140,M_ca2_c,
C13189,M_ca2_c,
C17392,M_ca2_c,
C18381,M_ca2_c,
C00575,M_camp_c,0.2050496999507323
C00438,M_cbasp_c,0.03712152096014831
C00853,M_cbl1_c,0.11197675516132488
C01563,M_cbm_c,
C00169,M_cbp_c,0.007462416650327874
C15233,M_cd2_c,
C20248,M_cdg_c,0.17750090773869243
C00112,M_cdp_c,0.12565247725162543
C12622,M_cenchddd_c,
C01419,M_cgly_c,0.25972123637818534
C00114,M_chol_c,
C00251,M_chor_c,0.09782682307876156
C21152,M_chtbs6p_c,
C00423,M_cinnm_c,
C10438,M_cinnm_c,
C00158,M_cit_c,0.04084919910481988
C13660,M_cit_c,0.04084919910481988
C00327,M_citr__L_c,0.10613257868389292
C04121,M_ckdo_c,0.22657252892348545
C00698,M_cl_c,
C01327,M_cl_c,
C00055,M_cmp_c,0.12002258942235278
C00011,M_co2_c,0.02436149377506025
C00010,M_coa_c,0.6411818869121233
C00175,M_cobalt2_c,0.00030916331493768823
C20239,M_cph4_c,0.17848583944372054
C18239,M_cpmp_c,0.19921555891507792
C03263,M_cpppg3_c,1.6266679292967212
C00318,M_crn_c,
C00487,M_crn_c,
C15025,M_crn__D_c,
C20750,M_crncoa_c,
C00380,M_csn_c,0.07630928492613487
C04114,M_ctbt_c,
C20748,M_ctbtcoa_c,
C00063,M_ctp_c,0.13120486988859037
C00070,M_cu2_c,0.00030916331480446146
C00177,M_cyan_c,
C01326,M_cyan_c,
C18673,M_cyan_c,
C01417,M_cynt_c,
C19067,M_cynt_c,
C00793,M_cys__D_c,
C00097,M_cys__L_c,0.1841421289804468
C00736,M_cys__L_c,0.1841421289804468
C02291,M_cyst__L_c,0.23920031717191703
C03125,M_cystrna_c,
C00475,M_cytd_c,0.11890534805155673
C00559,M_dad_2_c,0.20344987722239471
C05198,M_dad_5_c,
C00206,M_dadp_c,0.2093160875559219
C00360,M_damp_c,0.20461589405026404
C01037,M_dann_c,1.047529752878107
C00131,M_datp_c,0.21470592877740335
C15556,M_db4p_c,0.04069776869697339
C05275,M_dc2coa_c,0.8564084984141185
C03794,M_dcamp_c,0.22691518387065734
C00705,M_dcdp_c,0.1295114477903092
C00239,M_dcmp_c,0.12432809999052274
C00458,M_dctp_c,0.13490128901186837
C00881,M_dcyt_c,0.12321857519089763
C03221,M_dd2coa_c,0.8790333515735105
C01832,M_ddcacoa_c,0.8865035609540439
C00361,M_dgdp_c,0.2031914267531798
C00362,M_dgmp_c,0.19780526351711458
C18870,M_dgslnt_c,
C00330,M_dgsn_c,0.19669573871784474
C00286,M_dgtp_c,0.20858126797457244
C00184,M_dha_c,0.02204687894368229
C00111,M_dhap_c,0.02999944996301407
C12623,M_dhcinnm_c,
C00415,M_dhf_c,0.5121487488735421
C15809,M_dhgly_c,0.18841378627147964
C21094,M_dhmptp_c,0.20374171357324666
C03657,M_dhna_c,0.440521100614788
C04874,M_dhnpt_c,0.20055073194215067
C21008,M_dhnpt_c,0.20055073194215067
C00337,M_dhor__S_c,0.03683375286828161
C05925,M_dhpmp_c,0.2019154380309418
C04044,M_dhpppn_c,
C00921,M_dhpt_c,0.46452442033904084
C11838,M_dhptd_c,0.1813450358257418
C05649,M_dhptdn_c,
C01344,M_didp_c,0.2134175892391399
C06196,M_dimp_c,0.20852557176195274
C05512,M_din_c,0.17953325733555126
C01345,M_ditp_c,0.2137209970721532
C03114,M_dmbzid_c,
C04332,M_dmlz_c,0.32120626141732833
