met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB00133,Guanosine,C00387,6802,NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB00142,Formic acid,C00058,284,OC=O
ECMDB00143,D-Galactose,C00124,439357,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
ECMDB00148,L-Glutamate,C00025,33032,N[C@@H](CCC(O)=O)C(O)=O
ECMDB00149,Ethanolamine,C00189,700,NCCO
ECMDB00150,Gluconolactone,C00198,7027,OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00156,L-Malic acid,C00149,222656,O[C@@H](CC(O)=O)C(O)=O
ECMDB00157,Hypoxanthine,C00262,790,OC1=NC=NC2=C1NC=N2
ECMDB00158,L-Tyrosine,C00082,6057,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O
ECMDB00159,L-Phenylalanine,C00079,6140,N[C@@H](CC1=CC=CC=C1)C(O)=O
ECMDB00160,Inositol,C00137,,OC1C(O)C(O)C(O)C(O)C1O
ECMDB00161,L-Alanine,C00041,5950,C[C@H](N)C(O)=O
ECMDB00162,L-Proline,C00148,145742,OC(=O)[C@@H]1CCCN1
ECMDB00163,D-Maltose,C00208,439186,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB00165,L-Homocysteine,C00155,,N[C@@H](CCS)C(O)=O
ECMDB00167,L-Threonine,C00188,6288,C[C@@H](O)[C@H](N)C(O)=O
ECMDB00168,L-Asparagine,C00152,6267,N[C@@H](CC(N)=O)C(O)=O
ECMDB00169,D-Mannose,C00159,18950,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
ECMDB00172,L-Isoleucine,C00407,791,CC[C@H](C)[C@H](N)C(O)=O
ECMDB00174,L-Fucose,C01019,17106,C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
ECMDB00176,Fumaric acid,C00122,723,OC(=O)\C=C\C(O)=O
ECMDB00177,L-Histidine,C00135,6274,N[C@@H](CC1=CN=CN1)C(O)=O
ECMDB00182,L-Lysine,C00047,5962,NCCCC[C@H](N)C(O)=O
ECMDB00186,alpha-Lactose,C00243,84571,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O
ECMDB00187,L-Serine,C00065,5951,N[C@@H](CO)C(O)=O
ECMDB00189,Inosine triphosphate,C00081,8583,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CN=C2O
ECMDB00190,L-Lactic acid,C00186,107689,C[C@H](O)C(O)=O
ECMDB00191,L-Aspartic acid,C00049,5960,N[C@@H](CC(O)=O)C(O)=O
ECMDB00192,L-Cystine,C00491,67678,N[C@@H](CSSC[C@H](N)C(O)=O)C(O)=O
ECMDB00195,Inosine,C00294,6021,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1NC=NC2=O
ECMDB00205,Phenylpyruvic acid,C00166,997,OC(=O)C(=O)CC1=CC=CC=C1
ECMDB00210,Pantothenic acid,C00864,6613,CC(C)(CO)C(O)C(=O)NCCC(O)=O
ECMDB00213,Myo-inositol 1-phosphate,C04006,107737,O[C@H]1[C@H](O)[C@H](O)[C@H](OP(O)(O)=O)[C@@H](O)[C@@H]1O
ECMDB00214,Ornithine,C01602,6262,NCCC[C@H](N)C(O)=O
ECMDB00215,N-Acetyl-D-glucosamine,C00140,439174,[H]OC([H])([H])[C@]1([H])O[C@@]([H])(O[H])[C@@]([H])(N([H])C(=O)C([H])([H])[H])[C@]([H])(O[H])[C@@]1([H])O[H]
ECMDB00217,NADP,C00006,5886,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
ECMDB00218,Orotidylic acid,C01103,160617,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C(=O)NC(=O)C=C1C(O)=O
ECMDB00220,Palmitic acid,C00249,985,CCCCCCCCCCCCCCCC(O)=O
ECMDB00223,Oxalacetic acid,C00036,970,OC(=O)CC(=O)C(O)=O
ECMDB00225,Oxoadipic acid,C00322,71,OC(=O)CCCC(=O)C(O)=O
ECMDB00226,Orotic acid,C00295,967,OC(=O)C1=CC(=O)NC(=O)N1
ECMDB00229,Nicotinamide ribotide,C01185,14180,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)[N+]1=CC=CC(=C1)C(O)=O
ECMDB00232,Quinolinic acid,C03722,1066,OC(=O)C1=CC=CN=C1C(O)=O
ECMDB00235,Thiamine,C00378,1130,CC1=C(CCO)SC=[N+]1CC1=CN=C(C)N=C1N
ECMDB00237,Propionic acid,C00163,1032,CCC(O)=O
ECMDB00239,Pyridoxine,C00314,1054,CC1=C(O)C(CO)=C(CO)C=N1
ECMDB00240,Sulfite,C00094,1099,[O-]S([O-])=O
ECMDB00241,Protoporphyrin IX,C02191,4971,CC1=C(CCC(O)=O)/C2=C/C3=N/C(=C\C4=C(C)C(C=C)=C(N4)/C=C4\N=C(\C=C\1/N\2)C(C=C)=C4C)/C(C)=C3CCC(O)=O
ECMDB00243,Pyruvic acid,C00022,,CC(=O)C(O)=O
ECMDB00244,Riboflavin,C00255,6759,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1
ECMDB00245,Porphobilinogen,C00931,1021,NCC1=C(CC(O)=O)C(CCC(O)=O)=CN1
ECMDB00247,Sorbitol,C00794,5780,OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
ECMDB00251,Taurine,C00245,1123,NCCS(O)(=O)=O
ECMDB00254,Succinic acid,C00042,1110,OC(=O)CCC(O)=O
ECMDB00257,Thiosulfate,C00320,439208,[O-]S([S-])(=O)=O
ECMDB00258,Sucrose,C00089,5988,OC[C@H]1O[C@@](CO)(O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O
ECMDB00262,Thymine,C00178,1135,CC1=CNC(=O)NC1=O
ECMDB00263,Phosphoenolpyruvic acid,C00074,1005,OC(=O)C(=C)OP(O)(O)=O
ECMDB00271,Sarcosine,C00213,,CNCC(O)=O
ECMDB00272,Phosphoserine,C01005,68841,N[C@@H](COP(O)(O)=O)C(O)=O
ECMDB00273,Thymidine,C00214,5789,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O
ECMDB00280,Phosphoribosyl pyrophosphate,C00119,7339,O[C@H]1[C@@H](O)[C@@H](O[P@](O)(=O)OP(O)(O)=O)O[C@@H]1COP(O)(O)=O
ECMDB00283,Ribose,C00121,,OC[C@H]1OC(O)[C@H](O)[C@@H]1O
ECMDB00285,Uridine triphosphate,C00075,6133,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB00288,Uridine 5'-monophosphate,C00105,6030,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB00289,Uric acid,C00366,1175,O=C1NC2=C(N1)C(=O)NC(=O)N2
