met_id,name,kegg_id,pubchem_id,moldb_smiles
ECMDB01076,Fructose 1-phosphate,C01094,439394,OC[C@H]1O[C@](O)(COP(O)(O)=O)[C@@H](O)[C@@H]1O
ECMDB01078,Mannose 6-phosphate,C00275,65127,OC1OC(COP([O-])([O-])=O)C(O)C(O)C1O
ECMDB01079,5-Methyltetrahydropteroyltri-L-glutamic acid,C04489,16722111,[H][C@](N)(CCC(O)=O)C(=O)OC1=NC(=N)NC2=C1N(C)C(=CN2)C([H])(OC(=O)[C@@]([H])(N)CCC(O)=O)C([H])(C)OC(=O)[C@@]([H])(N)CCC(O)=O
ECMDB01080,4-Aminobutyraldehyde,C00555,118,NCCCC=O
ECMDB01083,"Cob(I)yrinate a,c diamide",C06505,,[Co]N1\C2=C(C)/C3=N/C(=C\C4=N\C(=C(C)/C5=N[C@@](C)([C@@]1([H])[C@H](CC(=O)O)[C@@]2(C)CCC(=O)O)[C@@](C)(CC(=O)N)[C@@H]5CCC(=O)O)\[C@@](C)(CC(=O)N)[C@@H]4CCC(=O)O)/C(C)(C)[C@@H]3CCC(=O)O
ECMDB01086,Uroporphyrinogen III,C01051,1179,OC(=O)CCC1=C2CC3=C(CCC(O)=O)C(CC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=C(CC5=C(CC(O)=O)C(CCC(O)=O)=C(CC(N2)=C1CC(O)=O)N5)N4)N3
ECMDB01087,5-Methylthioribose,C03089,494,CSC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O
ECMDB01088,Butyryl-CoA,C00136,,CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01094,Octaprenyl diphosphate,C04146,,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
ECMDB01095,GDP-L-Fucose,C00325,27505,C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)[C@@H]1O
ECMDB01096,Carbamoylphosphate,C00169,278,NC(=O)OP(O)(O)=O
ECMDB01097,Protoporphyrinogen IX,C01079,121893,CC1=C2CC3=C(C)C(C=C)=C(CC4=C(C)C(C=C)=C(CC5=C(C)C(CCC(O)=O)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3
ECMDB01106,3-Aminopropionaldehyde,C05665,75,NCCC=O
ECMDB01109,Glucosamine-1P,C04501,,N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]1OP(O)(O)=O
ECMDB01112,D-Glyceraldehyde 3-phosphate,C00118,729,OC(COP(O)(O)=O)C=O
ECMDB01113,Isovaleryl-CoA,C02939,,[H][C@](O)(C(O)=NCCC(O)=NCCSC(=O)CC(C)C)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@@]1([H])O[C@@]([H])(N2C=NC3=C(N)N=CN=C23)[C@]([H])(O)[C@]1([H])OP(O)(O)=O
ECMDB01117,4-Phosphopantothenoylcysteine,C04352,440304,CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(O)=O
ECMDB01120,Dimethylallylpyrophosphate,C00235,647,CC(C)=CCO[P@](O)(=O)OP(O)(O)=O
ECMDB01121,N-Acetyl-D-mannosamine 6-phosphate,C04257,440273,CC(=O)N[C@@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ECMDB01123,2-Aminobenzoic acid,C00108,227,NC1=CC=CC=C1C(O)=O
ECMDB01124,Trehalose 6-phosphate,C00689,122336,OC[C@H]1O[C@H](O[C@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB01127,6-Phosphonoglucono-D-lactone,C01236,439452,O[C@H]1[C@H](O)[C@@H](COP(O)(O)=O)OC(=O)[C@@H]1O
ECMDB01128,5-Phosphoribosylamine,C03090,150,N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01129,N-Acetylmannosamine,C00645,439281,[H]C1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@]([H])(O)[C@]1([H])N=C(C)O
ECMDB01131,Iminoaspartic acid,C05840,796,OC(=O)CC(=N)C(O)=O
ECMDB01134,Phosphoadenosine phosphosulfate,C00053,990,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OS(O)(=O)=O)[C@@H](OP(O)(O)=O)[C@H]1O
ECMDB01137,Hydroxymethylbilane,C01024,788,OCC1=C(CC(O)=O)C(CCC(O)=O)=C(CC2=C(CC(O)=O)C(CCC(O)=O)=C(CC3=C(CC(O)=O)C(CCC(O)=O)=C(CC4=C(CC(O)=O)C(CCC(O)=O)=CN4)N3)N2)N1
ECMDB01138,N-Acetyl-L-alanine,,7345,C[C@H](NC(C)=O)C(O)=O
ECMDB01142,FMNH,C01847,,CC1=CC2=C(C=C1C)N(CC(O)C(O)C(O)COP(O)(O)=O)C1=C(N2)C(=O)NC(=O)N1
ECMDB01144,Dihydroneopterin triphosphate,C04895,121885,NC1=NC2=C(N=C(CN2)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OP(O)(O)=O)C(=O)N1
ECMDB01149,5-Aminolevulinic acid,C00430,137,NCC(=O)CCC(O)=O
ECMDB01151,D-Allose,C01487,102288,[H]C1(O)O[C@]([H])(CO)[C@@]([H])(O)[C@@]([H])(O)[C@@]1([H])O
ECMDB01157,2-Methylacetoacetyl-CoA,C03344,53,CC(C(C)=O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OCC1OC(C(O)C1OP(O)(O)=O)N1C=NC2=C(N)N=CN=C12
ECMDB01162,Heme O,C15672,23724534,CC(C)=CCC\C(C)=C\CC\C(C)=C\CCC(O)C1=C(C)/C2=C/C3=N/C(=C\C4=C(CCC(O)=O)C(C)=C5/C=C6\N=C(\C=C\1/N\2[Fe]N45)C(C)=C6C=C)/C(CCC(O)=O)=C3C
ECMDB01163,Guanosine diphosphate mannose,C00096,732,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB01166,3-Hydroxybutyryl-CoA,C01144,521,C[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01167,Pyruvaldehyde,C00546,880,CC(=O)C=O
ECMDB01173,5'-Methylthioadenosine,C00170,149,CSC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N
ECMDB01174,Tetrahydropteroyltri-L-glutamic acid,C04144,16722112,[H][C@](N)(CCC(O)=O)C(=O)OC1=NC(=N)NC2=C1NC(=CN2)C([H])(OC(=O)[C@@]([H])(N)CCC(O)=O)C([H])(C)OC(=O)[C@@]([H])(N)CCC(O)=O
ECMDB01175,Malonyl-CoA,C00083,10663,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O
ECMDB01178,Adenosine diphosphate ribose,C00301,192,[H][C@@]1(O)O[C@]([H])(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)[C@@]([H])(O)[C@@]1([H])O
ECMDB01179,Nicotinic acid adenine dinucleotide,C00857,165490,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)[N+]4=CC=CC(=C4)C(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1
ECMDB01180,N2-Succinyl-L-glutamic acid 5-semialdehyde,C05932,556,OC(=O)CCC(=O)N[C@@H](CCC=O)C(O)=O
ECMDB01185,S-Adenosylmethionine,C00019,1079,[H][C@@](N)(CC[S+](C)C[C@@]1([H])O[C@@]([H])(N2C=NC3=C2N=CN=C3N)[C@]([H])(O)[C@]1([H])O)C(O)=O
ECMDB01191,Deoxyuridine triphosphate,C00460,689,O[C@H]1C[C@@H](O[C@@H]1COP(O)(=O)OP(O)(=O)OP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB01193,5(S)-Hydroperoxyeicosatetraenoic acid,C05356,5280778,CCCCC\C=C/C\C=C/C\C=C/C=C/[C@H](CCCC(O)=O)OO
ECMDB01195,Dyspropterin,C03684,128973,CC(=O)C(=O)C1CNC2=C(N1)C(=O)NC(N)=N2
ECMDB01197,FADH2,C01352,,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=C(N2)C(=O)NC(=O)N1
ECMDB01199,N2-Succinyl-L-ornithine,C03415,920,NCCC[C@H](NC(=O)CCC(O)=O)C(O)=O
ECMDB01201,Guanosine diphosphate,C00035,8977,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB01202,dCMP,C00239,13945,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(O)=O)O1
ECMDB01206,Acetyl-CoA,C00024,6302,CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01209,Allantoic acid,C00499,203,NC(=O)NC(NC(N)=O)C(O)=O
ECMDB01211,Diadenosine tetraphosphate,C01260,21706,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(=O)OP(O)(=O)OC[C@H]4O[C@H]([C@H](O)[C@@H]4O)N4C=NC5=C(N)N=CN=C45)[C@@H](O)[C@H]3O)C2=NC=N1
ECMDB01213,1-Deoxy-D-xylulose 5-phosphate,C11437,443201,CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O
ECMDB01216,Tetrahydropteridine,C05650,156,C1CNC2=C(N1)C=NC=N2
ECMDB01227,5-Thymidylic acid,C00364,9700,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(O)=O)O2)C(=O)NC1=O
ECMDB01228,L-Glutamic acid 5-phosphate,C03287,193475,N[C@@H](CCC(=O)OP(O)(O)=O)C(O)=O
ECMDB01232,4-Nitrophenol,C00870,980,OC1=CC=C(C=C1)[N+]([O-])=O
ECMDB01235,5-Aminoimidazole ribonucleotide,C03373,161500,NC1=CN=CN1[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01245,dCDP,C00705,150855,NC1=NC(=O)N(C=C1)[C@H]1C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O1
ECMDB01248,FAD,C00016,439154,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)CO[P@](O)(=O)O[P@@](O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC3=C1N=CN=C3N)C1=NC(=O)NC(=O)C1=N2
ECMDB01252,Betaine aldehyde,C00576,249,C[N+](C)(C)CC=O
ECMDB01254,Glucosamine 6-phosphate,C00352,439217,N[C@H]1[C@@H](O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O
ECMDB01256,Spermine,C00750,1103,NCCCNCCCCNCCCN
ECMDB01257,Spermidine,C00315,1102,NCCCCNCCCN
ECMDB01259,Succinic acid semialdehyde,C00232,1112,OC(=O)CCC=O
ECMDB01261,Coproporphyrinogen III,C03263,321,CC1=C2CC3=C(C)C(CCC(O)=O)=C(CC4=C(CCC(O)=O)C(C)=C(CC5=C(CCC(O)=O)C(C)=C(CC(N2)=C1CCC(O)=O)N5)N4)N3
ECMDB01262,Maltotriose,C01835,439586,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)C(O)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB01266,L-Sorbose,C00247,439192,OC[C@@]1(O)OC[C@H](O)[C@@H](O)[C@@H]1O
ECMDB01270,"Glyceric acid 1,3-biphosphate",,683,OC(COP(O)(O)=O)C(=O)OP(O)(O)=O
ECMDB01271,Pseudouridine 5'-phosphate,C01168,,O[C@H]1[C@@H](O)[C@@H](O[C@@H]1COP(O)(O)=O)C1=CNC(=O)NC1=O
ECMDB01273,Guanosine triphosphate,C00044,6830,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB01274,dTDP,C00363,164628,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
ECMDB01275,Propionyl-CoA,C00100,439164,CCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01276,N1-Acetylspermidine,C00612,,CC(=O)NCCCNCCCCN
ECMDB01285,Geranyl-PP,C05847,445995,CC(C)=CCC\C(C)=C\CO[P@@](=O)(O)OP(=O)(O)O
ECMDB01292,1-Deoxy-D-xylulose,C06257,,OC[C@@H]1OC[C@@H](O)[C@@H]1O
ECMDB01294,"2,3-Diphosphoglyceric acid",C01159,186004,OC(=O)[C@@H](COP(O)(O)=O)OP(O)(O)=O
ECMDB01296,Maltotetraose,C02052,439639,OC[C@H]1O[C@H](O[C@H]2[C@H](O)[C@@H](O)[C@@H](O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)C(O)O[C@@H]4CO)O[C@@H]3CO)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB01301,L-D-1-Pyrroline-5-carboxylic acid,C04322,1196,OC(=O)C1CCC=N1
ECMDB01303,Zinc,C00038,23994,[Zn]
ECMDB01305,L-Glutamic-gamma-semialdehyde,C01165,193305,N[C@@H](CCC=O)C(O)=O
ECMDB01308,5'-Phosphoribosyl-N-formylglycineamide,C04376,,O[C@H]1[C@@H](O)[C@H](NC(=O)CNC=O)O[C@@H]1COP(O)(O)=O
ECMDB01310,D-Alanine,C00133,71080,C[C@@H](N)C(O)=O
ECMDB01311,D-Lactic acid,C00256,61503,C[C@@H](O)C(O)=O
ECMDB01313,D-Myo-inositol 4-phosphate,C03546,440043,[H]C1(O)[C@]([H])(O)[C@]([H])(O)C([H])(OP(O)(O)=O)[C@]([H])(O)[C@@]1([H])O
ECMDB01316,6-Phosphogluconic acid,C00345,91493,O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O
ECMDB01317,N5-Carboxyaminoimidazole ribonucleotide,,,OC1C(COP(O)(O)=O)OC(C1O)N1C=NC=C1NC(O)=O
ECMDB01319,Pyridoxine 5'-phosphate,C00627,1055,CC1=NC=C(COP(O)(O)=O)C(CO)=C1O
ECMDB01328,dTDP-D-Glucose,C00842,439324,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OC3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)O2)C(=O)NC1=O
ECMDB01332,Adenylsuccinic acid,C03794,440122,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C(N[C@@H](CC(O)=O)C(O)=O)N=CN=C12
ECMDB01333,Manganese,C00034,23930,[Mn++]
ECMDB01338,Palmityl-CoA,C00154,986,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01339,Glutaryl-CoA,C00527,439252,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCSC(=O)CCCC(O)=O
ECMDB01341,ADP,C00008,6022,NC1=NC=NC2=C1N=CN2[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01342,Thymidine 5'-triphosphate,C00459,64968,CC1=CN([C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)NC1=O
ECMDB01346,GDP-4-Dehydro-6-deoxy-D-mannose,C01222,439446,C[C@H]1O[C@H](OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@@H](O)C1=O
ECMDB01347,Isopentenyl pyrophosphate,C00129,,CC(=C)CCO[P@](O)(=O)OP(O)(O)=O
ECMDB01349,Selenium,C01529,107674,[Se++]
ECMDB01351,Deoxyribose 1-phosphate,C00672,439287,OC[C@H]1OC(C[C@@H]1O)OP(O)(O)=O
ECMDB01352,Hydroxypyruvic acid,C00168,964,OCC(=O)C(O)=O
ECMDB01353,2-Keto-3-deoxy-D-gluconic acid,C00204,,OC[C@@H](O)[C@H](O)CC(=O)C(O)=O
ECMDB01354,"5,10-Methylene-THF",C00143,,[H][C@@]12CN(CN1C1=C(NC2)N=C(N)NC1=O)C1=CC=C(C=C1)C(=O)NC(CCC(O)=O)C(O)=O
ECMDB01362,Hydrogen (gas),C00282,5362549,[H][H]
ECMDB01366,Purine,C15587,,N1C=NC2=C1C=NC=N2
ECMDB01367,N-Acetyl-glucosamine 1-phosphate,C04256,,CC(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)OC1OP(O)(O)=O
ECMDB01368,3-Mercaptopyruvic acid,C00957,98,OC(=O)C(=O)CS
ECMDB01369,Pyrroline hydroxycarboxylic acid,C04281,1059,OC1CC(N=C1)C(O)=O
ECMDB01370,Diaminopimelic acid,C00666,865,N[C@@H](CCC[C@H](N)C(O)=O)C(O)=O
ECMDB01372,Thiamine pyrophosphate,C00068,1132,CC1=C(CCO[P@](O)(=O)OP(O)(O)=O)SC=[N+]1CC1=CN=C(C)N=C1N
ECMDB01373,Dephospho-CoA,C00882,444485,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
ECMDB01376,2-Keto-3-deoxy-6-phosphogluconic acid,C04442,3080745,O[C@H](COP(O)(O)=O)[C@@H](O)CC(=O)C(O)=O
ECMDB01384,UDP-Glucuronic acid,C00167,,O[C@@H]1[C@@H](COP(O)(=O)OP(O)(=O)O[C@H]2O[C@@H]([C@@H](O)[C@H](O)[C@H]2O)C(O)=O)O[C@H]([C@@H]1O)N1C=CC(=O)NC1=O
ECMDB01388,alpha-Linolenic acid,C06427,860,CCC=CCC=CCC=CCCCCCCCC(O)=O
ECMDB01391,GDP-4-Dehydro-6-L-deoxygalactose,C01222,,C[C@@H]1OC(OP(O)(=O)OP(O)(=O)OCC2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=C(N)NC3=O)[C@@H](O)[C@H](O)C1=O
ECMDB01392,p-Aminobenzoic acid,C00568,978,NC1=CC=C(C=C1)C(O)=O
ECMDB01396,5-Methyltetrahydrofolic acid,C00440,439234,CN1C(CNC2=CC=C(C=C2)C(=O)N[C@H](CCC(O)=O)C(O)=O)CNC2=C1C(=O)NC(N)=N2
ECMDB01397,Guanosine monophosphate,C00144,6804,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1
ECMDB01399,"4,6-Dideoxy-4-oxo-dTDP-D-glucose",C11907,443496,C[C@H]1OC(OP(O)(=O)OP(O)(=O)OC[C@H]2O[C@H](C[C@@H]2O)N2C=C(C)C(=O)NC2=O)[C@H](O)[C@@H](O)C1=O
ECMDB01400,Sorbitol-6-phosphate,C02810,618,OCC(O)C(O)C(O)C(O)COP(O)(O)=O
ECMDB01401,Glucose 6-phosphate,C00092,439284,OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O
ECMDB01405,3-Sulfinylpyruvic acid,C05527,6398963,OC(=O)C(=O)CS([O-])=O
ECMDB01406,Niacinamide,C00153,936,NC(=O)C1=CC=CN=C1
ECMDB01409,dUMP,C00365,65063,O[C@H]1C[C@@H](O[C@@H]1COP(O)(O)=O)N1C=CC(=O)NC1=O
ECMDB01412,"7,8-Dihydropteroic acid",C00921,170,NC1=NC2=C(N=C(CNC3=CC=C(C=C3)C(O)=O)CN2)C(=O)N1
ECMDB01414,Putrescine,C02896,1045,NCCCCN
ECMDB01416,Pantetheine 4'-phosphate,C01134,987,CC(C)(COP(O)(O)=O)[C@@H](O)C(=O)NCCC(=O)NCCS
ECMDB01418,O-Succinyl-L-homoserine,C01118,439406,N[C@@H](CCOC(=O)CCC(O)=O)C(O)=O
ECMDB01423,Coenzyme A,C00010,6816,CC(C)(COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)C(O)C(=O)NCCC(=O)NCCS
ECMDB01426,Formaldehyde,C00067,712,C=O
ECMDB01429,Phosphate,C00009,1061,[O-]P([O-])([O-])=O
ECMDB01431,Pyridoxamine,C00534,1052,CC1=C(O)C(CN)=C(CO)C=N1
ECMDB01432,Agmatine,C00179,199,NCCCCNC(N)=N
ECMDB01436,D-Mannose 1-phosphate,C00636,644175,OC[C@H]1OC(OP(O)(O)=O)[C@@H](O)[C@@H](O)[C@@H]1O
ECMDB01437,N-Succinyl-L-glutamate,C05931,440847,[H][C@@](CCC(O)=O)(N=C(O)CCC(O)=O)C(O)=O
ECMDB01439,Phosphoribosyl formamidocarboxamide,C04734,1011,NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01440,dGTP,C00286,65103,NC1=NC2=C(N=CN2[C@H]2C[C@H](O)[C@@H](COP(O)(=O)OP(O)(=O)OP(O)(O)=O)O2)C(=O)N1
ECMDB01441,"6,7-Dihydropteridine",C05649,167,C1CN=C2N=CN=CC2=N1
ECMDB01448,Sulfate,C00059,1117,[O-]S([O-])(=O)=O
ECMDB01451,Lipoic acid,C16241,864,OC(=O)CCCC[C@@H]1CCSS1
ECMDB01469,Undecaprenyl diphosphate,C04574,,CC(C)=CCC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\CC\C(C)=C\COP(O)(=O)OP(O)(O)=O
ECMDB01473,Dihydroxyacetone phosphate,C00111,668,OCC(=O)COP(O)(O)=O
ECMDB01476,3-Hydroxyanthranilic acid,C00632,86,NC1=C(O)C=CC=C1C(O)=O
ECMDB01484,Acetoacetyl-CoA,C00332,439214,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01487,NADH,C00004,928,NC(=O)C1=CN(C=CC1)[C@@H]1O[C@H](CO[P@](O)(=O)O[P@](O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C(N)N=CN=C23)[C@@H](O)[C@H]1O
ECMDB01488,Nicotinic acid,C00253,938,OC(=O)C1=CN=CC=C1
ECMDB01491,Pyridoxal 5'-phosphate,C00018,1051,CC1=NC=C(COP(O)(O)=O)C(C=O)=C1O
ECMDB01493,3-Methylcrotonyl-CoA,C03069,439869,CC(C)=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01494,Acetylphosphate,C00227,186,CC(=O)OP(O)(O)=O
ECMDB01495,Queuine,C01449,,O[C@@H]1C=C[C@@H](NCC2=CNC3=C2C(=O)NC(=N)N3)[C@@H]1O
ECMDB01514,Glucosamine,C00329,439213,[H][C@@]1(N)C(O)O[C@@]([H])(CO)[C@]([H])(O)[C@@]1([H])O
ECMDB01517,AICAR,C04677,65110,NC(=O)C1=C(N)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01520,Flavin Mononucleotide,C00061,710,CC1=CC2=C(C=C1C)N(C[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O)C1=NC(=O)NC(=O)C1=N2
ECMDB01521,Tetradecanoyl-CoA,C02593,1126,CCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N
ECMDB01526,S-Acetyldihydrolipoamide,C01136,,CC(=O)SC(CCS)CCCCC(N)=O
ECMDB01532,dATP,C00131,15993,[H][C@]1(O)C[C@@]([H])(O[C@]1([H])COP([O-])(=O)OP([O-])(=O)OP([O-])([O-])=O)N1C=NC2=C(N)N=CN=C12
ECMDB01545,Pyridoxal,C00250,1050,CC1=NC=C(CO)C(C=O)=C1O
ECMDB01546,CDP,C00112,6132,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01550,S-Formylglutathione,C01031,488,N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(O)=O)C(O)=O
ECMDB01553,2-Oxo-4-methylthiobutanoic acid,C01180,473,CSCCC(=O)C(O)=O
ECMDB01554,Xanthylic acid,C00655,1190,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1NC(=O)NC2=O
ECMDB01555,Pyridoxamine 5'-phosphate,C00647,1053,CC1=NC=C(COP(O)(O)=O)C(CN)=C1O
ECMDB01562,N5-Formyl-H4F,C03479,143,NC1=NC2=C(N(C=O)C(CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)CN2)C(=O)N1
ECMDB01567,Glycineamideribotide,C03838,440137,NCC(=O)N[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O
ECMDB01586,Glucose 1-phosphate,C00103,65533,OC[C@H]1OC(OP(O)(O)=O)[C@H](O)[C@@H](O)[C@@H]1O
ECMDB01846,Tetrahydrofolic acid,C00101,1129,NC1=NC(=O)C2=C(NC[C@H](CNC3=CC=C(C=C3)C(=O)NC(CCC(O)=O)C(O)=O)N2)N1
ECMDB01875,Methanol,C00132,887,CO
ECMDB01881,Propylene glycol,C00583,1030,CC(O)CO
