Time,OD mean,OD std
0,0.79,NaN
1,0.807,NaN
2,1.17,0.098994949
3,1.95,0.084852814
4,3,0.127279221
5,4.675,0.077781746
6,6.805,0.049497475
7,7.01,0.197989899
8,6.75,0.608111832
9,7.15,0.056568542
10,7.74,0.113137085
11,8.86,0.367695526
12,9.025,0.304055916
13,10.265,0.219203102
14,13.53,0.183847763
15,15.47,0.183847763
16,16.57,0.183847763
17,16.23,0.098994949
26,15.94,0.014142136
