Time,Glucose mean,Glucose std
0,NaN,NaN
1,16.16,0.042426407
2,14.73,0
3,13.72,0.028284271
4,9.34,0
5,2.558,0.01767767
6,1.236,0.035355339
7,0,NaN
8,0,NaN
9,0,NaN
10,0,NaN
11,0,NaN
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
26,0,NaN
