JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper
JW2891,b2924,mscS,"mechanosensitive channel protein, small conductance",0.95,Inner membrane,Unspecific,Unspecific,small conductance mechanosensitive ion channel (MscS) Family,,Channel,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11160,,
JW2657,b2682,ygaZ,"probable L-valine exporter, norvaline resistance",0.7,Inner membrane,L-valine,Amino acid,Branched Chain Amino Acid Exporter (LIV-E) ,Proton antiport,Proton antiport,Export,https://tcdb.org/search/result.php?tc=2.A.78,https://biocyc.org/complex?orgid=ECOLI&id=CPLX0-7684,YgaZ and YgaH comprise a putative two-component transporter that is implicated in L-valine export in E. coli K-12. deletion of ygaZH does not affect L-valine production suggesting that YgaZH may not be the major L-valine exporter in the engineered strain,https://www.pnas.org/doi/full/10.1073/pnas.0702609104#T1
JW2661,b2686,emrB,multidrug efflux system protein,1.6,Inner membrane,Wide variety of toxic compounds,Drug,Multidrug efflux pump,Unknown,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11439,"Connected to tolC. Not sure that this is an antiporter, but it seems like RND systems are",
JW2571,b2587,kgtP,alpha-ketoglutarate transporter,0.86,Inner membrane,alpha-ketoglutarate,Other,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10522,"kgtP mutants show greatly impaired growth on α-ketoglutarate which can be complemented by the cloned kgtP gene. kgtP appears to be constitutively expressed [Seol92].

KgtP has been implicated in arabinose efflux [Koita12].
",
JW2389,b2393,nupC,nucleoside (except guanosine) transporter,0.84,Inner membrane,nucleosides except guanosine,Nucleoside,concentrative nucleoside transporter (CNT) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11971,,
JW2305,b2308,hisQ,histidine/lysine/arginine/ornithine transporter,0.87,Inner membrane,"the basic amino acids lysine, arginine, ornithine and histidine",Amino acid,ABC,ABC,ABC,Import,https://tcdb.org/search/result.php?tc=3.A.1.3.29,https://biocyc.org/gene?orgid=ECOLI&id=EG12125,with argT,
JW0108,b0112,aroP,aromatic amino acid transporter,0.81,Inner membrane,"phenylalanine, tyrosine, and tryptophan",Amino acid,APC,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10084,,
JW0194,b0198,metI,DL-methionine transporter,0.79,Inner membrane,Methionine,Amino acid,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11737,,
JW0320,b0328,yahN,"amino acid exporter for proline, lysine, glutamate, homoserine",0.75,Inner membrane,L-homoserine,Amino acid,resistance to homoserine/threonine (RhtB) family,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=G6193,Homologous to rhtB. Not verified,
JW0451,b0462,acrB,multidrug efflux system,0.77,Inner membrane,Diverse,Unspecific,Multidrug efflux pump,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11703,AcrA is the periplasmic lipoprotein component of the AcrAB-TolC and AcrAD-TolC multidrug efflux pumps. Deletion of acrB indicates that this increases expression of other efflux pumps,https://journals.asm.org/doi/10.1128/mbio.00968-17
