Time,Glucose mean,Glucose std
0,NaN,NaN
1,18.505,24.74873734
2,17.895,17.67766953
3,17.395,9.192388155
4,16.9,21.21320344
5,15.7,43.84062043
6,13.75,8.768124087
7,11.234,5.939696962
8,7.156,2.2627417
9,5.168,NaN
10,1.805,3.676955262
11,0.2325,0.494974747
12,0,NaN
13,0,NaN
14,0,NaN
15,0,NaN
16,0,NaN
17,0,NaN
26,0,NaN
