Batch-Tube,ionMz,Strain,AUC Z-score (AUC OD),Z-score start (AUC OD),Z-score end (AUC OD),Z-score min (AUC OD),Z-score max (AUC OD),AUC Z-score (Hours),Z-score start (Hours),Z-score end (Hours),Z-score min (Hours),Z-score max (Hours)
1-0A,57.0346,WT,-10.268926093567849,0.906312205499421,-1.1241755475499018,-1.1241755475499018,0.906312205499421,-1.9570478485674552,1.291676862541733,-1.1236314626603023,-1.1236314626603023,1.291676862541733
1-0A,59.0135,WT,-10.359196037830735,-0.09426026733349027,-0.5272477047040365,-1.474340116727493,-0.09426026733349027,-8.669305750257967,0.4854760720108743,-0.5236281695791033,-1.4313846252424303,0.4854760720108743
1-0A,71.0141,WT,-9.577385485680848,0.9921577521318219,-0.9471090253782966,-1.0732259686493648,0.9921577521318219,-1.5519114926507922,1.1899895399256528,-0.9470689428521748,-1.0750215426587093,1.1899895399256528
1-0A,72.0093,WT,-2.7046890409212057,0.5964683510283783,-0.6888746526437061,-0.6909593113287363,0.5964683510283783,2.386476672825273,0.7918060608855322,-0.6999159647585086,-0.6999159647585086,0.822327285952852
1-0A,72.9932,WT,-0.8997742906603023,-0.30892627976156095,0.7237496522690992,-0.34825570336655337,0.7237496522690992,-2.974162640287747,-0.04465517827538734,0.7145773081297861,-0.5478892008483371,0.7145773081297861
1-0A,73.0297,WT,0.11242908136590722,-1.4803435985037932,-0.538875536142762,-1.4803435985037932,0.5682174272784899,-7.732290737085319,-1.380327493649561,-0.5380842379400028,-1.4179189360599125,0.5169246084875386
1-0A,74.025,WT,1.4378400536902562,-0.9688620714583898,-0.043438693308833765,-0.9688620714583898,0.6675110976130585,1.41728623416431,-1.4842626553896685,-0.050786949921133834,-1.4842626553896685,0.6645983145318861
1-0A,75.0089,WT,-6.922578519490102,-0.6739122503262529,-0.8800211931894263,-0.9907691127442309,0.6856214983692906,-7.29073228237618,-1.030396848073791,-0.8791033842271956,-1.030396848073791,0.593067637904405
1-0A,85.0297,WT,-10.161583078597252,0.8217828347227414,-1.0309190554589667,-1.0461649830720285,0.8217828347227414,-2.742954448512592,1.0601286063434365,-1.0309268556865259,-1.0404082365775076,1.0601286063434365
1-0A,87.0088,WT,-2.684408010563732,-0.6958704231474697,-0.7914835208136541,-1.390521444922663,1.9490318844434835,-5.496733547797573,-0.6592230754398616,-0.7947599412147691,-1.074881115840464,1.723701409809033
1-0A,87.0452,WT,-10.224719369878887,0.4558039247606498,-1.177046240628055,-1.183754478161175,0.4558039247606498,-3.84097273704814,0.9809141692730745,-1.1780126961304846,-1.1803866329318595,0.9809141692730745
1-0A,88.0406,WT,-0.48230890329543463,-1.1117749675081408,-0.14185476241464903,-1.1117749675081408,0.6616793101706516,-6.494070293081095,-1.1097106829132737,-0.14219861118159394,-1.1146922413624336,0.5636138827908673
1-0A,89.0247,WT,-2.573537296385755,-0.7755881461814839,-0.721397044684359,-0.8056216311590562,0.4417928948432539,-7.5395266298393135,-0.6211585705120117,-0.7183560141206273,-0.9948380749319891,0.4628502026552573
1-0A,91.0402,WT,-2.7897105438423,-0.05196781359938863,-1.0149459960926863,-1.0149459960926863,0.16451993249248784,-2.8349662944849987,-0.1032755040235609,-1.0082869568429702,-1.0082869568429702,0.057824031784446485
1-0A,93.0347,WT,7.308999381533544,-1.4593542366791636,0.9028343395025721,-1.4593542366791636,0.940586172424698,-3.3499511701242355,-1.4983874660430831,0.9054926555210054,-1.6141250787178443,0.9054926555210054
1-0A,100.0407,WT,-5.368403531756039,0.07590550557847327,-1.309994603233874,-1.309994603233874,0.09143704750829351,-3.836673797715836,0.5488633379010106,-1.2728624111373688,-1.2728624111373688,0.5488633379010106
1-0A,101.0245,WT,-10.140233035708285,1.070382905257254,-1.2151456521294952,-1.217752771210102,1.070382905257254,-1.529708056150303,1.2830929278153125,-1.2152913726318955,-1.2152913726318955,1.2830929278153125
1-0A,101.061,WT,-3.196747742537815,2.0153984227791297,-0.2862170528869483,-0.8402557043637987,2.0153984227791297,6.8437754685416055,2.50624194035049,-0.27713354582032046,-0.7302443201428946,2.50624194035049
1-0A,102.0199,WT,-6.30854510049864,1.7878263961927352,-0.8288078456138446,-0.9538750186811237,1.7878263961927352,6.798253867383409,2.345542684986029,-0.8313005192204235,-0.9424891314772772,2.345542684986029
