,Strain #,Tube #,Parallel,Tube,Strain,Medium,Batch,Hours,OD,Timepoint,Batch-Tube,Exp. phase time limit,AUC OD
0,18,4,B,4B,actP,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-4B,13.0,0.0
1,22,8,B,8B,setA,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-8B,13.0,0.0
2,32,4,A,4A,focA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-4A,14.0,0.0
3,29,1,A,1A,gadC,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-1A,14.0,0.0
4,39,11,C,11C,fruA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-11C,13.0,0.0
5,39,11,B,11B,fruA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-11B,13.0,0.0
6,39,11,A,11A,fruA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-11A,13.0,0.0
7,31,3,A,3A,glnP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-3A,13.0,0.0
8,31,3,B,3B,glnP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-3B,13.0,0.0
9,31,3,C,3C,glnP,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-3C,13.0,0.0
10,32,4,C,4C,focA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-4C,14.0,0.0
11,22,8,A,8A,setA,M9 20 mM glucose pH 7.4,2,0.0,0.01,,2-8A,13.0,0.0
12,33,5,B,5B,artQ,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-5B,14.0,0.0
13,35,7,B,7B,glpF,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-7B,12.0,0.0
14,35,7,C,7C,glpF,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-7C,12.0,0.0
15,37,9,C,9C,cycA,M9 20 mM glucose pH 7.4,3,0.0,0.01,,3-9C,14.0,0.0
