,Well,Batch,Timepoint,Strain,Parallel,Plate
1223,F12,3,6,WT,C,P13
1224,G1,3,6,proP,A,P13
1225,G2,3,6,proP,B,P13
1226,G3,3,6,proP,C,P13
1227,G4,3,6,cycA,A,P13
1228,G5,3,6,cycA,B,P13
1229,G6,3,6,cycA,C,P13
1230,G7,3,6,nupC,A,P13
1231,G8,3,6,nupC,B,P13
1232,G9,3,6,nupC,C,P13
1233,G10,3,6,fruA,A,P13
1234,G11,3,6,fruA,B,P13
1235,G12,3,6,fruA,C,P13
1236,H1,3,6,sdaC,A,P13
1237,H2,3,6,sdaC,B,P13
1238,H3,3,6,sdaC,C,P13
1239,H4,3,6,gltP,A,P13
1240,H5,3,6,gltP,B,P13
1241,H6,3,6,gltP,C,P13
1242,H7,3,6,mscL,A,P13
1243,H8,3,6,mscL,B,P13
1244,H9,3,6,mscL,C,P13
1245,H10,3,6,WT,D,P13
1246,H11,3,6,WT,E,P13
1247,H12,3,6,WT,F,P13
1248,A1,3,7,gadC,A,P14
1249,A2,3,7,gadC,B,P14
1250,A3,3,7,gadC,C,P14
1251,A4,3,7,znuB,A,P14
1252,A5,3,7,znuB,B,P14
1253,A6,3,7,znuB,C,P14
1254,A7,3,7,glnP,A,P14
1255,A8,3,7,glnP,B,P14
1256,A9,3,7,glnP,C,P14
1257,A10,3,7,focA,A,P14
1258,A11,3,7,focA,B,P14
1259,A12,3,7,focA,C,P14
1260,B1,3,7,artQ,A,P14
1261,B2,3,7,artQ,B,P14
1262,B3,3,7,artQ,C,P14
1263,B4,3,7,rbsC,A,P14
1264,B5,3,7,rbsC,B,P14
1265,B6,3,7,rbsC,C,P14
1266,B7,3,7,glpF,A,P14
1267,B8,3,7,glpF,B,P14
1268,B9,3,7,glpF,C,P14
1269,B10,3,7,WT,A,P14
1270,B11,3,7,WT,B,P14
1271,B12,3,7,WT,C,P14
1272,C1,3,7,proP,A,P14
1273,C2,3,7,proP,B,P14
1274,C3,3,7,proP,C,P14
1275,C4,3,7,cycA,A,P14
1276,C5,3,7,cycA,B,P14
1277,C6,3,7,cycA,C,P14
1278,C7,3,7,nupC,A,P14
1279,C8,3,7,nupC,B,P14
1280,C9,3,7,nupC,C,P14
1281,C10,3,7,fruA,A,P14
1282,C11,3,7,fruA,B,P14
1283,C12,3,7,fruA,C,P14
1284,D1,3,7,sdaC,A,P14
1285,D2,3,7,sdaC,B,P14
1286,D3,3,7,sdaC,C,P14
1287,D4,3,7,gltP,A,P14
1288,D5,3,7,gltP,B,P14
1289,D6,3,7,gltP,C,P14
1290,D7,3,7,mscL,A,P14
1291,D8,3,7,mscL,B,P14
1292,D9,3,7,mscL,C,P14
1293,D10,3,7,WT,D,P14
1294,D11,3,7,WT,E,P14
1295,D12,3,7,WT,F,P14
1296,E1,3,8,gadC,A,P14
1297,E2,3,8,gadC,B,P14
1298,E3,3,8,gadC,C,P14
1299,E4,3,8,znuB,A,P14
1300,E5,3,8,znuB,B,P14
1301,E6,3,8,znuB,C,P14
1302,E7,3,8,glnP,A,P14
1303,E8,3,8,glnP,B,P14
1304,E9,3,8,glnP,C,P14
1305,E10,3,8,focA,A,P14
1306,E11,3,8,focA,B,P14
1307,E12,3,8,focA,C,P14
1308,F1,3,8,artQ,A,P14
1309,F2,3,8,artQ,B,P14
1310,F3,3,8,artQ,C,P14
1311,F4,3,8,rbsC,A,P14
1312,F5,3,8,rbsC,B,P14
1313,F6,3,8,rbsC,C,P14
1314,F7,3,8,glpF,A,P14
1315,F8,3,8,glpF,B,P14
1316,F9,3,8,glpF,C,P14
1317,F10,3,8,WT,A,P14
1318,F11,3,8,WT,B,P14
1319,F12,3,8,WT,C,P14
1320,G1,3,8,proP,A,P14
1321,G2,3,8,proP,B,P14
1322,G3,3,8,proP,C,P14
1323,G4,3,8,cycA,A,P14
1324,G5,3,8,cycA,B,P14
1325,G6,3,8,cycA,C,P14
1326,G7,3,8,nupC,A,P14
1327,G8,3,8,nupC,B,P14
1328,G9,3,8,nupC,C,P14
1329,G10,3,8,fruA,A,P14
1330,G11,3,8,fruA,B,P14
1331,G12,3,8,fruA,C,P14
1332,H1,3,8,sdaC,A,P14
1333,H2,3,8,sdaC,B,P14
1334,H3,3,8,sdaC,C,P14
1335,H4,3,8,gltP,A,P14
1336,H5,3,8,gltP,B,P14
1337,H6,3,8,gltP,C,P14
1338,H7,3,8,mscL,A,P14
1339,H8,3,8,mscL,B,P14
1340,H9,3,8,mscL,C,P14
1341,H10,3,8,WT,D,P14
1342,H11,3,8,WT,E,P14
1343,H12,3,8,WT,F,P14
1344,A1,3,9,gadC,A,P15
1345,A2,3,9,gadC,B,P15
1346,A3,3,9,gadC,C,P15
1347,A4,3,9,znuB,A,P15
1348,A5,3,9,znuB,B,P15
1349,A6,3,9,znuB,C,P15
1350,A7,3,9,glnP,A,P15
1351,A8,3,9,glnP,B,P15
1352,A9,3,9,glnP,C,P15
1353,A10,3,9,focA,A,P15
1354,A11,3,9,focA,B,P15
1355,A12,3,9,focA,C,P15
1356,B1,3,9,artQ,A,P15
1357,B2,3,9,artQ,B,P15
1358,B3,3,9,artQ,C,P15
1359,B4,3,9,rbsC,A,P15
1360,B5,3,9,rbsC,B,P15
1361,B6,3,9,rbsC,C,P15
1362,B7,3,9,glpF,A,P15
1363,B8,3,9,glpF,B,P15
1364,B9,3,9,glpF,C,P15
1365,B10,3,9,WT,A,P15
1366,B11,3,9,WT,B,P15
1367,B12,3,9,WT,C,P15
1368,C1,3,10,gadC,A,P15
1369,C2,3,9,proP,B,P15
1370,C3,3,9,proP,C,P15
1371,C4,3,9,cycA,A,P15
1372,C5,3,9,cycA,B,P15
1373,C6,3,9,cycA,C,P15
1374,C7,3,9,nupC,A,P15
1375,C8,3,9,nupC,B,P15
1376,C9,3,9,nupC,C,P15
1377,C10,3,9,fruA,A,P15
1378,C11,3,9,fruA,B,P15
1379,C12,3,9,fruA,C,P15
1380,D1,3,9,sdaC,A,P15
1381,D2,3,10,gadC,B,P15
1382,D3,3,9,sdaC,C,P15
1383,D4,3,9,gltP,A,P15
1384,D5,3,9,gltP,B,P15
1385,D6,3,9,gltP,C,P15
1386,D7,3,9,mscL,A,P15
1387,D8,3,9,mscL,B,P15
1388,D9,3,9,mscL,C,P15
1389,D10,3,9,WT,D,P15
1390,D11,3,9,WT,E,P15
1391,D12,3,9,WT,F,P15
1392,E1,3,9,proP,A,P15
1393,E2,3,9,sdaC,B,P15
1394,E3,3,10,gadC,C,P15
1395,E4,3,10,znuB,A,P15
1396,E5,3,10,znuB,B,P15
1397,E6,3,10,znuB,C,P15
1398,E7,3,10,glnP,A,P15
1399,E8,3,10,glnP,B,P15
1400,E9,3,10,glnP,C,P15
1401,E10,3,10,focA,A,P15
1402,E11,3,10,focA,B,P15
1403,E12,3,10,focA,C,P15
1404,F1,3,10,artQ,A,P15
1405,F2,3,10,artQ,B,P15
1406,F3,3,10,artQ,C,P15
1407,F4,3,10,rbsC,A,P15
1408,F5,3,10,rbsC,B,P15
1409,F6,3,10,rbsC,C,P15
1410,F7,3,10,glpF,A,P15
1411,F8,3,10,glpF,B,P15
1412,F9,3,10,glpF,C,P15
1413,F10,3,10,WT,A,P15
1414,F11,3,10,WT,B,P15
1415,F12,3,10,WT,C,P15
1416,G1,3,10,proP,A,P15
1417,G2,3,10,proP,B,P15
1418,G3,3,10,proP,C,P15
1419,G4,3,10,cycA,A,P15
1420,G5,3,10,cycA,B,P15
1421,G6,3,10,cycA,C,P15
1422,G7,3,10,nupC,A,P15
1423,G8,3,10,nupC,B,P15
1424,G9,3,10,nupC,C,P15
1425,G10,3,10,fruA,A,P15
1426,G11,3,10,fruA,B,P15
1427,G12,3,10,fruA,C,P15
1428,H1,3,10,sdaC,A,P15
1429,H2,3,10,sdaC,B,P15
1430,H3,3,10,sdaC,C,P15
1431,H4,3,10,gltP,A,P15
1432,H5,3,10,gltP,B,P15
1433,H6,3,10,gltP,C,P15
1434,H7,3,10,mscL,A,P15
1435,H8,3,10,mscL,B,P15
1436,H9,3,10,mscL,C,P15
1437,H10,3,10,WT,D,P15
1438,H11,3,10,WT,E,P15
1439,H12,3,10,WT,F,P15
1440,A1,4,1,rhtC,A,P16
1441,A2,4,1,rhtC,B,P16
1442,A3,4,1,rhtC,C,P16
1443,A4,4,1,dppB,A,P16
1444,A5,4,1,dppB,B,P16
1445,A6,4,1,dppB,C,P16
1446,A7,4,1,dctA,A,P16
1447,A8,4,1,dctA,B,P16
1448,A9,4,1,dctA,C,P16
1449,A10,4,1,gltS,A,P16
1450,A11,4,1,gltS,B,P16
1451,A12,4,1,gltS,C,P16
1452,B1,4,1,mtr,A,P16
1453,B2,4,1,mtr,B,P16
1454,B3,4,1,mtr,C,P16
1455,B4,4,1,ugpA,A,P16
1456,B5,4,1,ugpA,B,P16
1457,B6,4,1,ugpA,C,P16
1458,B7,4,1,uhpT,A,P16
1459,B8,4,1,uhpT,B,P16
1460,B9,4,1,uhpT,C,P16
1461,B10,4,1,WT,A,P16
1462,B11,4,1,WT,B,P16
1463,B12,4,1,WT,C,P16
1464,C1,4,1,cstA,A,P16
1465,C2,4,1,cstA,B,P16
1466,C3,4,1,cstA,C,P16
1467,C4,4,1,nupG,A,P16
1468,C5,4,1,nupG,B,P16
1469,C6,4,1,nupG,C,P16
1470,C7,4,1,emrB,A,P16
1471,C8,4,1,emrB,B,P16
1472,C9,4,1,emrB,C,P16
1473,C10,4,1,galP,A,P16
1474,C11,4,1,galP,B,P16
1475,C12,4,1,galP,C,P16
1476,D1,4,1,pheP,A,P16
1477,D2,4,1,pheP,B,P16
1478,D3,4,1,pheP,C,P16
1479,D4,4,1,tdcC,A,P16
1480,D5,4,1,tdcC,B,P16
1481,D6,4,1,tdcC,C,P16
1482,D7,4,1,dcuA,A,P16
1483,D8,4,1,dcuA,B,P16
1484,D9,4,1,dcuA,C,P16
1485,D10,4,1,WT,D,P16
1486,D11,4,1,WT,E,P16
1487,D12,4,1,WT,F,P16
1488,E1,4,2,rhtC,A,P16
1489,E2,4,2,rhtC,B,P16
1490,E3,4,2,rhtC,C,P16
1491,E4,4,2,dppB,A,P16
1492,E5,4,2,dppB,B,P16
1493,E6,4,2,dppB,C,P16
1494,E7,4,2,dctA,A,P16
1495,E8,4,2,dctA,B,P16
1496,E9,4,2,dctA,C,P16
1497,E10,4,2,gltS,A,P16
1498,E11,4,2,gltS,B,P16
1499,E12,4,2,gltS,C,P16
1500,F1,4,2,mtr,A,P16
1501,F2,4,2,mtr,B,P16
1502,F3,4,2,mtr,C,P16
1503,F4,4,2,ugpA,A,P16
1504,F5,4,2,ugpA,B,P16
1505,F6,4,2,ugpA,C,P16
1506,F7,4,2,uhpT,A,P16
1507,F8,4,2,uhpT,B,P16
1508,F9,4,2,uhpT,C,P16
1509,F10,4,2,WT,A,P16
1510,F11,4,2,WT,B,P16
1511,F12,4,2,WT,C,P16
1512,G1,4,2,cstA,A,P16
1513,G2,4,2,cstA,B,P16
1514,G3,4,2,cstA,C,P16
1515,G4,4,2,nupG,A,P16
1516,G5,4,2,nupG,B,P16
1517,G6,4,2,nupG,C,P16
1518,G7,4,2,emrB,A,P16
1519,G8,4,2,emrB,B,P16
1520,G9,4,2,emrB,C,P16
1521,G10,4,2,galP,A,P16
1522,G11,4,2,galP,B,P16
1523,G12,4,2,galP,C,P16
1524,H1,4,2,pheP,A,P16
1525,H2,4,2,pheP,B,P16
1526,H3,4,2,pheP,C,P16
1527,H4,4,2,tdcC,A,P16
1528,H5,4,2,tdcC,B,P16
1529,H6,4,2,tdcC,C,P16
1530,H7,4,2,dcuA,A,P16
1531,H8,4,2,dcuA,B,P16
1532,H9,4,2,dcuA,C,P16
1533,H10,4,2,WT,D,P16
1534,H11,4,2,WT,E,P16
1535,H12,4,2,WT,F,P16
1536,A1,4,3,rhtC,A,P17
1537,A2,4,3,rhtC,B,P17
1538,A3,4,3,rhtC,C,P17
1539,A4,4,3,dppB,A,P17
1540,A5,4,3,dppB,B,P17
1541,A6,4,3,dppB,C,P17
1542,A7,4,3,dctA,A,P17
1543,A8,4,3,dctA,B,P17
1544,A9,4,3,dctA,C,P17
1545,A10,4,3,gltS,A,P17
1546,A11,4,3,gltS,B,P17
1547,A12,4,3,gltS,C,P17
1548,B1,4,3,mtr,A,P17
1549,B2,4,3,mtr,B,P17
1550,B3,4,3,mtr,C,P17
1551,B4,4,3,ugpA,A,P17
1552,B5,4,3,ugpA,B,P17
1553,B6,4,3,ugpA,C,P17
1554,B7,4,3,uhpT,A,P17
1555,B8,4,3,uhpT,B,P17
1556,B9,4,3,uhpT,C,P17
1557,B10,4,3,WT,A,P17
1558,B11,4,3,WT,B,P17
1559,B12,4,3,WT,C,P17
1560,C1,4,3,cstA,A,P17
1561,C2,4,3,cstA,B,P17
1562,C3,4,3,cstA,C,P17
1563,C4,4,3,nupG,A,P17
1564,C5,4,3,nupG,B,P17
1565,C6,4,3,nupG,C,P17
1566,C7,4,3,emrB,A,P17
1567,C8,4,3,emrB,B,P17
1568,C9,4,3,emrB,C,P17
1569,C10,4,3,galP,A,P17
1570,C11,4,3,galP,B,P17
1571,C12,4,3,galP,C,P17
1572,D1,4,3,pheP,A,P17
1573,D2,4,3,pheP,B,P17
1574,D3,4,3,pheP,C,P17
1575,D4,4,3,tdcC,A,P17
1576,D5,4,3,tdcC,B,P17
1577,D6,4,3,tdcC,C,P17
1578,D7,4,3,dcuA,A,P17
1579,D8,4,3,dcuA,B,P17
1580,D9,4,3,dcuA,C,P17
1581,D10,4,3,WT,D,P17
1582,D11,4,3,WT,E,P17
1583,D12,4,3,WT,F,P17
1584,E1,4,4,rhtC,A,P17
1585,E2,4,4,rhtC,B,P17
1586,E3,4,4,rhtC,C,P17
1587,E4,4,4,dppB,A,P17
1588,E5,4,4,dppB,B,P17
1589,E6,4,4,dppB,C,P17
1590,E7,4,4,dctA,A,P17
1591,E8,4,4,dctA,B,P17
1592,E9,4,4,dctA,C,P17
1593,E10,4,4,gltS,A,P17
1594,E11,4,4,gltS,B,P17
1595,E12,4,4,gltS,C,P17
1596,F1,4,4,mtr,A,P17
1597,F2,4,4,mtr,B,P17
1598,F3,4,4,mtr,C,P17
1599,F4,4,4,ugpA,A,P17
1600,F5,4,4,ugpA,B,P17
1601,F6,4,4,ugpA,C,P17
1602,F7,4,4,uhpT,A,P17
1603,F8,4,4,uhpT,B,P17
1604,F9,4,4,uhpT,C,P17
1605,F10,4,4,WT,A,P17
1606,F11,4,4,WT,B,P17
1607,F12,4,4,WT,C,P17
1608,G1,4,4,cstA,A,P17
1609,G2,4,4,cstA,B,P17
1610,G3,4,4,cstA,C,P17
1611,G4,4,4,nupG,A,P17
1612,G5,4,4,nupG,B,P17
1613,G6,4,4,nupG,C,P17
1614,G7,4,4,emrB,A,P17
1615,G8,4,4,emrB,B,P17
1616,G9,4,4,emrB,C,P17
1617,G10,4,4,galP,A,P17
1618,G11,4,4,galP,B,P17
1619,G12,4,4,galP,C,P17
1620,H1,4,4,pheP,A,P17
1621,H2,4,4,pheP,B,P17
1622,H3,4,4,pheP,C,P17
1623,H4,4,4,tdcC,A,P17
1624,H5,4,4,tdcC,B,P17
1625,H6,4,4,tdcC,C,P17
1626,H7,4,4,dcuA,A,P17
1627,H8,4,4,dcuA,B,P17
1628,H9,4,4,dcuA,C,P17
1629,H10,4,4,WT,D,P17
1630,H11,4,4,WT,E,P17
1631,H12,4,4,WT,F,P17
1632,A1,4,5,rhtC,A,P18
1633,A2,4,5,rhtC,B,P18
1634,A3,4,5,rhtC,C,P18
1635,A4,4,5,dppB,A,P18
1636,A5,4,5,dppB,B,P18
1637,A6,4,5,dppB,C,P18
1638,A7,4,5,dctA,A,P18
1639,A8,4,5,dctA,B,P18
1640,A9,4,5,dctA,C,P18
1641,A10,4,5,gltS,A,P18
1642,A11,4,5,gltS,B,P18
1643,A12,4,5,gltS,C,P18
1644,B1,4,5,mtr,A,P18
1645,B2,4,5,mtr,B,P18
1646,B3,4,5,mtr,C,P18
1647,B4,4,5,ugpA,A,P18
1648,B5,4,5,ugpA,B,P18
1649,B6,4,5,ugpA,C,P18
1650,B7,4,5,uhpT,A,P18
1651,B8,4,5,uhpT,B,P18
1652,B9,4,5,uhpT,C,P18
1653,B10,4,5,WT,A,P18
1654,B11,4,5,WT,B,P18
1655,B12,4,5,WT,C,P18
1656,C1,4,5,cstA,A,P18
1657,C2,4,5,cstA,B,P18
1658,C3,4,5,cstA,C,P18
1659,C4,4,5,nupG,A,P18
1660,C5,4,5,nupG,B,P18
1661,C6,4,5,nupG,C,P18
1662,C7,4,5,emrB,A,P18
1663,C8,4,5,emrB,B,P18
1664,C9,4,5,emrB,C,P18
1665,C10,4,5,galP,A,P18
1666,C11,4,5,galP,B,P18
1667,C12,4,5,galP,C,P18
1668,D1,4,5,pheP,A,P18
1669,D2,4,5,pheP,B,P18
1670,D3,4,5,pheP,C,P18
1671,D4,4,5,tdcC,A,P18
1672,D5,4,5,tdcC,B,P18
1673,D6,4,5,tdcC,C,P18
1674,D7,4,5,dcuA,C,P18
1675,D8,4,5,dcuA,B,P18
1676,D9,4,5,dcuA,A,P18
1677,D10,4,5,WT,D,P18
1678,D11,4,5,WT,E,P18
1679,D12,4,5,WT,F,P18
1680,E1,4,6,rhtC,A,P18
1681,E2,4,6,rhtC,B,P18
1682,E3,4,6,rhtC,C,P18
1683,E4,4,6,dppB,A,P18
1684,E5,4,6,dppB,B,P18
1685,E6,4,6,dppB,C,P18
1686,E7,4,6,dctA,A,P18
1687,E8,4,6,dctA,B,P18
1688,E9,4,6,dctA,C,P18
1689,E10,4,6,gltS,A,P18
1690,E11,4,6,gltS,B,P18
1691,E12,4,6,gltS,C,P18
1692,F1,4,6,mtr,A,P18
1693,F2,4,6,mtr,B,P18
1694,F3,4,6,mtr,C,P18
1695,F4,4,6,ugpA,A,P18
1696,F5,4,6,ugpA,B,P18
1697,F6,4,6,ugpA,C,P18
1698,F7,4,6,uhpT,A,P18
1699,F8,4,6,uhpT,B,P18
1700,F9,4,6,uhpT,C,P18
1701,F10,4,6,WT,A,P18
1702,F11,4,6,WT,B,P18
1703,F12,4,6,WT,C,P18
1704,G1,4,6,cstA,A,P18
1705,G2,4,6,cstA,B,P18
1706,G3,4,6,cstA,C,P18
1707,G4,4,6,nupG,A,P18
1708,G5,4,6,nupG,B,P18
1709,G6,4,6,nupG,C,P18
1710,G7,4,6,emrB,A,P18
1711,G8,4,6,emrB,B,P18
1712,G9,4,6,emrB,C,P18
1713,G10,4,6,galP,A,P18
1714,G11,4,6,galP,B,P18
1715,G12,4,6,galP,C,P18
1716,H1,4,6,pheP,A,P18
1717,H2,4,6,pheP,B,P18
1718,H3,4,6,pheP,C,P18
1719,H4,4,6,tdcC,A,P18
1720,H5,4,6,tdcC,B,P18
1721,H6,4,6,tdcC,C,P18
1722,H7,4,6,dcuA,A,P18
1723,H8,4,6,dcuA,B,P18
1724,H9,4,6,dcuA,C,P18
1725,H10,4,6,WT,D,P18
1726,H11,4,6,WT,E,P18
1727,H12,4,6,WT,F,P18
1728,A1,4,7,rhtC,A,P19
1729,A2,4,7,rhtC,B,P19
1730,A3,4,7,rhtC,C,P19
1731,A4,4,7,dppB,A,P19
1732,A5,4,7,dppB,B,P19
1733,A6,4,7,dppB,C,P19
1734,A7,4,7,dctA,A,P19
1735,A8,4,7,dctA,B,P19
1736,A9,4,7,dctA,C,P19
1737,A10,4,7,gltS,A,P19
1738,A11,4,7,gltS,B,P19
1739,A12,4,7,gltS,C,P19
1740,B1,4,7,mtr,A,P19
1741,B2,4,7,mtr,B,P19
1742,B3,4,7,mtr,C,P19
1743,B4,4,7,ugpA,A,P19
1744,B5,4,7,ugpA,B,P19
1745,B6,4,7,ugpA,C,P19
1746,B7,4,7,uhpT,A,P19
1747,B8,4,7,uhpT,B,P19
1748,B9,4,7,uhpT,C,P19
1749,B10,4,7,WT,A,P19
1750,B11,4,7,WT,B,P19
1751,B12,4,7,WT,C,P19
1752,C1,4,7,cstA,A,P19
1753,C2,4,7,cstA,B,P19
1754,C3,4,7,cstA,C,P19
1755,C4,4,7,nupG,A,P19
1756,C5,4,7,nupG,B,P19
1757,C6,4,7,nupG,C,P19
1758,C7,4,7,emrB,A,P19
1759,C8,4,7,emrB,B,P19
1760,C9,4,7,emrB,C,P19
1761,C10,4,7,galP,A,P19
1762,C11,4,7,galP,B,P19
1763,C12,4,7,galP,C,P19
1764,D1,4,7,pheP,A,P19
1765,D2,4,7,pheP,B,P19
1766,D3,4,7,pheP,C,P19
1767,D4,4,7,tdcC,A,P19
1768,D5,4,7,tdcC,B,P19
1769,D6,4,7,tdcC,C,P19
1770,D7,4,7,dcuA,A,P19
1771,D8,4,7,dcuA,B,P19
1772,D9,4,7,dcuA,C,P19
1773,D10,4,7,WT,D,P19
1774,D11,4,7,WT,E,P19
1775,D12,4,7,WT,F,P19
1776,E1,4,8,rhtC,A,P19
1777,E2,4,8,rhtC,B,P19
1778,E3,4,8,rhtC,C,P19
1779,E4,4,8,dppB,A,P19
1780,E5,4,8,dppB,B,P19
1781,E6,4,8,dppB,C,P19
1782,E7,4,8,dctA,A,P19
1783,E8,4,8,dctA,B,P19
1784,E9,4,8,dctA,C,P19
1785,E10,4,8,gltS,A,P19
1786,E11,4,8,gltS,B,P19
1787,E12,4,8,gltS,C,P19
1788,F1,4,8,mtr,A,P19
1789,F2,4,8,mtr,B,P19
1790,F3,4,8,mtr,C,P19
1791,F4,4,8,ugpA,A,P19
1792,F5,4,8,ugpA,B,P19
1793,F6,4,8,ugpA,C,P19
1794,F7,4,8,uhpT,A,P19
1795,F8,4,8,uhpT,B,P19
1796,F9,4,8,uhpT,C,P19
1797,F10,4,8,WT,A,P19
1798,F11,4,8,WT,B,P19
1799,F12,4,8,WT,C,P19
1800,G1,4,8,cstA,A,P19
1801,G2,4,8,cstA,B,P19
1802,G3,4,8,cstA,C,P19
1803,G4,4,8,nupG,A,P19
1804,G5,4,8,nupG,B,P19
1805,G6,4,8,nupG,C,P19
1806,G7,4,8,emrB,A,P19
1807,G8,4,8,emrB,B,P19
1808,G9,4,8,emrB,C,P19
1809,G10,4,8,galP,A,P19
1810,G11,4,8,galP,B,P19
1811,G12,4,8,galP,C,P19
1812,H1,4,8,pheP,A,P19
1813,H2,4,8,pheP,B,P19
1814,H3,4,8,pheP,C,P19
1815,H4,4,8,tdcC,A,P19
1816,H5,4,8,tdcC,B,P19
1817,H6,4,8,tdcC,C,P19
1818,H7,4,8,dcuA,A,P19
1819,H8,4,8,dcuA,B,P19
1820,H9,4,8,dcuA,C,P19
1821,H10,4,8,WT,D,P19
1822,H11,4,8,WT,E,P19
1823,H12,4,8,WT,F,P19
1824,A1,4,9,rhtC,A,P20
1825,A2,4,9,rhtC,B,P20
1826,A3,4,9,rhtC,C,P20
1827,A4,4,9,dppB,A,P20
1828,A5,4,9,dppB,B,P20
1829,A6,4,9,dppB,C,P20
1830,A7,4,9,dctA,A,P20
1831,A8,4,9,dctA,B,P20
1832,A9,4,9,dctA,C,P20
1833,A10,4,9,gltS,A,P20
1834,A11,4,9,gltS,B,P20
1835,A12,4,9,gltS,C,P20
1836,B1,4,9,mtr,A,P20
1837,B2,4,9,mtr,B,P20
1838,B3,4,9,mtr,C,P20
1839,B4,4,9,ugpA,A,P20
1840,B5,4,9,ugpA,B,P20
1841,B6,4,9,ugpA,C,P20
1842,B7,4,9,uhpT,A,P20
1843,B8,4,9,uhpT,B,P20
1844,B9,4,9,uhpT,C,P20
1845,B10,4,9,WT,A,P20
1846,B11,4,9,WT,B,P20
1847,B12,4,9,WT,C,P20
1848,C1,4,9,cstA,A,P20
1849,C2,4,9,cstA,B,P20
1850,C3,4,9,cstA,C,P20
1851,C4,4,9,nupG,A,P20
1852,C5,4,9,nupG,B,P20
1853,C6,4,9,nupG,C,P20
1854,C7,4,9,emrB,A,P20
1855,C8,4,9,emrB,B,P20
1856,C9,4,9,emrB,C,P20
1857,C10,4,9,galP,A,P20
1858,C11,4,9,galP,B,P20
1859,C12,4,9,galP,C,P20
1860,D1,4,9,pheP,A,P20
1861,D2,4,9,pheP,B,P20
1862,D3,4,9,pheP,C,P20
1863,D4,4,9,tdcC,A,P20
1864,D5,4,9,tdcC,B,P20
1865,D6,4,9,tdcC,C,P20
1866,D7,4,9,dcuA,A,P20
1867,D8,4,9,dcuA,B,P20
1868,D9,4,9,dcuA,C,P20
1869,D10,4,9,WT,D,P20
1870,D11,4,9,WT,E,P20
1871,D12,4,9,WT,F,P20
1872,E1,4,10,rhtC,A,P20
1873,E2,4,10,rhtC,B,P20
1874,E3,4,10,rhtC,C,P20
1875,E4,4,10,dppB,A,P20
1876,E5,4,10,dppB,B,P20
1877,E6,4,10,dppB,C,P20
1878,E7,4,10,dctA,A,P20
1879,E8,4,10,dctA,B,P20
1880,E9,4,10,dctA,C,P20
1881,E10,4,10,gltS,A,P20
1882,E11,4,10,gltS,B,P20
1883,E12,4,10,gltS,C,P20
1884,F1,4,10,mtr,A,P20
1885,F2,4,10,mtr,B,P20
1886,F3,4,10,mtr,C,P20
1887,F4,4,10,ugpA,A,P20
1888,F5,4,10,ugpA,B,P20
1889,F6,4,10,ugpA,C,P20
1890,F7,4,10,uhpT,A,P20
1891,F8,4,10,uhpT,B,P20
1892,F9,4,10,uhpT,C,P20
1893,F10,4,10,WT,A,P20
1894,F11,4,10,WT,B,P20
1895,F12,4,10,WT,C,P20
1896,G1,4,10,cstA,A,P20
1897,G2,4,10,cstA,B,P20
1898,G3,4,10,cstA,C,P20
1899,G4,4,10,nupG,A,P20
1900,G5,4,10,nupG,B,P20
1901,G6,4,10,nupG,C,P20
1902,G7,4,10,emrB,A,P20
1903,G8,4,10,emrB,B,P20
1904,G9,4,10,emrB,C,P20
1905,G10,4,10,galP,A,P20
1906,G11,4,10,galP,B,P20
1907,G12,4,10,galP,C,P20
1908,H1,4,10,pheP,A,P20
1909,H2,4,10,pheP,B,P20
1910,H3,4,10,pheP,C,P20
1911,H4,4,10,tdcC,A,P20
1912,H5,4,10,tdcC,B,P20
1913,H6,4,10,tdcC,C,P20
1914,H7,4,10,dcuA,A,P20
1915,H8,4,10,dcuA,B,P20
1916,H9,4,10,dcuA,C,P20
1917,H10,4,10,WT,D,P20
1918,H11,4,10,WT,E,P20
1919,H12,4,10,WT,F,P20
1920,A1,5,1,livH,A,P21
1921,A2,5,1,livH,B,P21
1922,A3,5,1,livH,C,P21
1923,A4,5,1,rhtB,A,P21
1924,A5,5,1,rhtB,B,P21
1925,A6,5,1,rhtB,C,P21
1926,A7,5,1,eamA,A,P21
1927,A8,5,1,eamA,B,P21
1928,A9,5,1,eamA,C,P21
1929,A10,5,1,metI,A,P21
1930,A11,5,1,metI,B,P21
1931,A12,5,1,metI,C,P21
1932,B1,5,1,tolC,A,P21
1933,B2,5,1,tolC,B,P21
1934,B3,5,1,tolC,C,P21
1935,B4,5,1,yahN,A,P21
1936,B5,5,1,yahN,B,P21
1937,B6,5,1,yahN,C,P21
1938,B7,5,1,kgtP,A,P21
1939,B8,5,1,kgtP,B,P21
1940,B9,5,1,kgtP,C,P21
1941,B10,5,1,WT,A,P21
1942,B11,5,1,WT,B,P21
1943,B12,5,1,WT,C,P21
1944,C1,5,1,manY,A,P21
1945,C2,5,1,manY,B,P21
1946,C3,5,1,manY,C,P21
1947,C4,5,1,hisQ,A,P21
1948,C5,5,1,hisQ,B,P21
1949,C6,5,1,hisQ,C,P21
1950,C7,5,1,ansP,A,P21
1951,C8,5,1,ansP,B,P21
1952,C9,5,1,ansP,C,P21
1953,C10,5,1,glpT,A,P21
1954,C11,5,1,glpT,B,P21
1955,C12,5,1,glpT,C,P21
