,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
0,yeaS,57.0346,0.20997473828567742,0.09262720457699379,267.75461767401345,118.11593123160627,1182.3086301562105,1368.0421392751543,1275.1753847156824,yeaS,WT,0.7,0.7
1,yeaS,59.0135,0.15031156999335507,-0.06596824331595452,1977.9892114534512,-868.0933449318819,13406.828757864172,12911.693649172006,13159.26120351809,yeaS,WT,1.0,1.0
2,yeaS,71.0141,0.16492423426096556,-0.0759132830638824,2306.7381522668275,-1061.772801868539,13932.975102203805,14040.33230896528,13986.653705584544,yeaS,WT,0.4,0.4
3,yeaS,72.0093,0.2557248488345638,-0.1311740327451484,21.73927242844644,-11.151157372389495,96.41281720599098,73.60798857428921,85.01040289014009,yeaS,WT,0.9,0.9
4,yeaS,72.9932,0.05791747210746252,-0.04415545202481001,10.564925454230899,-8.0545479984766,186.01327059111165,178.81361393272567,182.41344226191865,yeaS,WT,1.0,1.0
5,yeaS,73.0297,0.08458959296731705,-0.08458959296731705,3335.2977227802944,-3335.2977227802944,38419.42734871207,40438.91930556148,39429.17332713678,yeaS,WT,1.0,1.0
6,yeaS,74.025,0.1568036011245638,0.1568036011245638,63.72626776482695,63.72626776482695,433.9702707718157,378.8461098188724,406.40819029534407,yeaS,WT,0.7,0.7
7,yeaS,75.0089,2.1193911668257983,-2.1193911668257983,2313.4572220997993,-2313.4572220997993,1143.7767053420837,1039.357072236741,1091.5668887894124,yeaS,WT,0.0,0.0
8,yeaS,87.0088,0.17607019497435747,0.17607019497435747,3500.9042243126205,3500.9042243126205,20226.785965795243,19540.356051881117,19883.571008838182,yeaS,WT,0.4,0.4
9,yeaS,87.0452,0.12827823097085778,0.09008103174625982,42.70372278889672,29.98790503358281,343.63179126950104,322.16664492187647,332.89921809568875,yeaS,WT,0.8,0.8
10,yeaS,88.0406,0.12865095503669194,0.12865095503669194,339.33746963815753,339.33746963815753,3120.6869153579523,2154.6329536842427,2637.6599345210975,yeaS,WT,0.9,0.8
11,yeaS,89.0247,0.5399990486641993,0.5399990486641993,21429.274621309014,21429.274621309014,47785.59115660791,31582.232450929212,39683.91180376856,yeaS,WT,0.0,0.0
12,yeaS,91.0402,0.4936263085146382,0.4936263085146382,26.769586193510264,26.769586193510264,57.16126711680623,51.29967076983978,54.230468943323004,yeaS,WT,0.2,0.2
13,yeaS,93.0347,0.05854546423671413,-0.015823297573864113,22.624564728486455,-6.114824177164707,399.04097592352394,373.84775332148166,386.4443646225028,yeaS,WT,1.0,1.0
14,yeaS,95.014,0.16472778177513545,0.0190154920740139,186.82241838166271,21.566005307071073,1154.6747245675608,1113.5816237961653,1134.128174181863,yeaS,WT,0.7,0.7
15,yeaS,101.0245,0.3238079916876564,-0.2529882236885751,5076.049727681137,-3965.871247549816,15714.333204643042,15637.886987485323,15676.110096064182,yeaS,WT,0.5,0.5
16,yeaS,102.0199,0.5359302227745724,0.5359302227745724,114.9706790367127,114.9706790367127,210.2460092430437,218.80491623563623,214.52546273933996,yeaS,WT,0.0,0.0
17,yeaS,102.0562,0.8888620307984615,0.8888620307984615,1328.5972927303997,1328.5972927303997,2132.189971561948,857.2442638883517,1494.7171177251498,yeaS,WT,0.0,0.0
18,yeaS,103.04,0.8520751531078763,0.8520751531078763,3882.2434773813015,3882.2434773813015,6000.293082368618,3112.150727830816,4556.221905099717,yeaS,WT,0.0,0.0
19,yeaS,104.0355,0.6554098498615218,0.6554098498615218,164.0214089154444,164.0214089154444,239.19737389489427,261.3181705391713,250.2577722170328,yeaS,WT,0.1,0.1
20,yeaS,105.0196,0.2922838073922297,0.2432419710040253,711.9171377790351,592.4656905558032,2338.670170835741,2532.7398749741474,2435.705022904944,yeaS,WT,0.9,0.9
21,yeaS,107.05,0.43005605549486753,0.1482606741612307,240.17697726544986,82.80037012013925,560.8584130663136,556.0981985041342,558.4783057852239,yeaS,WT,0.6,0.5
22,yeaS,109.0295,0.4371080320873074,-0.4002897573090058,2291.3569483138212,-2098.3524653366285,4293.015386781388,6191.152279376477,5242.083833078932,yeaS,WT,0.4,0.4
23,yeaS,110.0358,0.7314588160704849,-0.7314588160704849,308.15791050409945,-308.15791050409945,332.19148478366577,510.39296080295964,421.2922227933127,yeaS,WT,0.0,0.0
24,yeaS,111.0203,0.03844280605352763,0.021663416963139975,22766.650649698717,12829.53812455392,588452.9576584972,595989.7501916277,592221.3539250623,yeaS,WT,1.0,1.0
25,yeaS,113.0245,0.08854808664730202,-0.07626202789318995,7245.1332324296345,-6239.870036517173,80185.5915613395,83457.31720726882,81821.45438430416,yeaS,WT,1.0,1.0
26,yeaS,113.0358,0.023066631660521784,-0.00882020071067116,478.8520143599196,-183.10306157930557,21036.062277948182,20482.961514283103,20759.51189611564,yeaS,WT,1.0,1.0
27,yeaS,114.056,0.8053558145182017,0.8053558145182017,165.8640968462322,165.8640968462322,238.4712513300607,173.4313980484856,205.95132468927315,yeaS,WT,0.0,0.0
