,Metabolite abbrv.,Model ID,Metabolite,Metabolite value [gDW/mmol],MV min,MV max,Turnover [mmol/gDW/h],N carbons,Mol weight [g/mol],Rate [mmol/gDW/h],Std. Err [mmol/gDW/h],R2,Species,Carbon source,Dataset
29,PRO,pro__L,Proline,0.05670044280010611,0.04498829079776501,0.08150739985259836,0.138306669635235,5,115.13046,3.0548781357195924e-05,4.968749484875416e-06,0.8831779926258727,E. coli,Glucose,Paczia-13
30,PYR,pyr,Pyruvate,0.017532454977775558,0.011087174764845553,0.03148033911574144,9.205248014043173,3,87.05412,0.5845960167902361,0.028016896817377627,0.9886462510844111,E. coli,Glucose,Paczia-13
31,R5P,r5p,Ribose-5-phosphate,0.04371330449692845,0.03079327034938295,0.0723891475735261,0.822693031354706,5,228.093921,0.0002760278398864468,1.8089337318432788e-05,0.9667831385233531,E. coli,Glucose,Paczia-13
32,RU5P+X5P,ru5p__D,Ribulose-5-phosphate,0.04343214279864949,0.03039962015406461,0.07229442736725877,1.0861899017367866,5,228.093921,6.441220288905058e-05,5.120836186872538e-06,0.9844447562601004,E. coli,Glucose,Paczia-13
33,RU5P+X5P,xu5p__D,Xylulose-5-phosphate,0.0434494848395417,0.030423900480569532,0.07230026970570513,0.23859284797039151,5,228.093921,6.441220288905058e-05,5.120836186872538e-06,0.9844447562601004,E. coli,Glucose,Paczia-13
34,THR,thr__L,Threonine,0.05612355432265126,0.050162707990120126,0.06920310212130687,1.381336103295375,4,119.11916,0.0001068174699021189,7.390987958884974e-06,0.9675733305244537,E. coli,Glucose,Paczia-13
35,TRP,trp__L,Tryptophan,0.20236783996548935,0.20236783996548935,0.20855574395635124,0.03556475095372492,11,204.22518,2.055161141422716e-05,1.3931494548436597e-06,0.9819509868491313,E. coli,Glucose,Paczia-13
36,TYR,tyr__L,Tyrosine,0.10040985530503921,0.08026269447418688,0.14586048963296516,0.08641640724412034,9,181.18854,1.1653593475313147e-05,8.085399525156322e-07,0.962918050671365,E. coli,Glucose,Paczia-13
37,URA,ura,Uracil,0.0523865185649508,0.0523865185649508,0.05514460806212984,0.0,4,112.08676,0.013141564898535654,0.0027787213490176777,0.7365545371455142,E. coli,Glucose,Paczia-13
38,VAL,val__L,Valine,0.08571481924259938,0.08571481924259938,0.09013249027983727,0.26475821373045305,5,117.14634,6.091824542702503e-05,3.5803213943023236e-06,0.9763913465856927,E. coli,Glucose,Paczia-13
