DO [%],FA [mL/h],FB [mL/h],N [rpm],pH,Hours,Bioreactor,CarbonSource
96.793,0.0,0.0,401.133,7.019,0.6897222222222222,M7,L-Malate
96.285,0.0,0.0,399.803,7.019,0.6980555555555555,M7,L-Malate
96.4,0.0,0.0,400.757,7.019,0.7063888888888888,M7,L-Malate
97.039,0.0,0.0,398.372,7.019,0.7147222222222221,M7,L-Malate
97.039,0.0,0.0,399.214,7.019,0.7230555555555556,M7,L-Malate
97.285,0.0,0.0,400.613,7.019,0.7313888888888889,M7,L-Malate
96.946,0.0,0.0,400.613,7.018,0.74,M7,L-Malate
97.124,0.0,0.0,400.613,7.018,0.7483333333333333,M7,L-Malate
96.483,0.0,0.0,400.334,7.018,0.7566666666666667,M7,L-Malate
96.483,0.0,0.0,399.124,7.018,0.765,M7,L-Malate
96.483,0.0,0.0,399.79,7.018,0.7733333333333334,M7,L-Malate
96.483,0.0,0.0,401.052,7.018,0.7816666666666667,M7,L-Malate
96.483,0.0,0.0,400.779,7.018,0.79,M7,L-Malate
96.483,0.0,0.0,399.572,7.018,0.7983333333333333,M7,L-Malate
96.483,0.0,0.0,400.989,7.018,0.8066666666666668,M7,L-Malate
96.483,0.0,0.0,398.635,7.018,0.8150000000000001,M7,L-Malate
96.483,0.0,0.0,398.987,7.021,0.8233333333333334,M7,L-Malate
96.483,0.0,0.0,400.245,7.021,0.8316666666666667,M7,L-Malate
96.578,0.0,0.0,400.245,7.021,0.8400000000000001,M7,L-Malate
96.578,0.0,0.0,400.245,7.021,0.8483333333333334,M7,L-Malate
96.578,0.0,0.0,400.245,7.021,0.8566666666666667,M7,L-Malate
96.578,0.0,0.0,400.245,7.021,0.865,M7,L-Malate
96.578,0.0,0.0,400.245,7.021,0.8733333333333334,M7,L-Malate
96.578,0.0,0.0,400.891,7.021,0.8816666666666667,M7,L-Malate
96.578,0.0,0.0,399.737,7.021,0.89,M7,L-Malate
96.93,0.0,0.0,399.737,7.018,0.8983333333333333,M7,L-Malate
97.337,0.0,0.0,399.737,7.018,0.9066666666666667,M7,L-Malate
97.337,0.0,0.0,399.737,7.018,0.915,M7,L-Malate
