Time&Date,N2,O2,CO2,CER,OUR,RQ,Timestamp,Hours,Bioreactor,CarbonSource
2023/09/13 09:24:49.14,78.1533,20.9118,0.0005,-0.0172,0.1108,-0.1553,2023-09-13 09:24:49.140,0.05642777777777777,M1,Galactose
2023/09/13 09:29:25.39,78.1529,20.9111,0.0015,-0.016,0.1167,-0.1371,2023-09-13 09:29:25.390,0.1331638888888889,M1,Galactose
2023/09/13 09:33:55.50,78.1498,20.9138,0.0022,-0.0153,0.1077,-0.1417,2023-09-13 09:33:55.500,0.20819444444444443,M1,Galactose
2023/09/13 09:38:25.42,78.1481,20.9142,0.0029,-0.0155,0.1258,-0.1233,2023-09-13 09:38:25.420,0.2831722222222222,M1,Galactose
2023/09/13 09:42:55.80,78.1486,20.9125,0.0035,-0.0147,0.1159,-0.1267,2023-09-13 09:42:55.800,0.35827777777777775,M1,Galactose
2023/09/13 09:47:31.67,78.1534,20.9086,0.0039,-0.0136,0.1151,-0.118,2023-09-13 09:47:31.670,0.43490833333333334,M1,Galactose
2023/09/13 09:52:02.00,78.1463,20.9148,0.0039,-0.0132,0.1036,-0.127,2023-09-13 09:52:02.000,0.51,M1,Galactose
2023/09/13 09:56:32.46,78.1541,20.9082,0.0039,-0.0132,0.1126,-0.1168,2023-09-13 09:56:32.460,0.5851277777777778,M1,Galactose
2023/09/13 10:01:03.04,78.1484,20.9133,0.0042,-0.0132,0.1194,-0.1102,2023-09-13 10:01:03.040,0.6602888888888889,M1,Galactose
2023/09/13 10:05:40.26,78.1492,20.9133,0.0039,-0.0143,0.1172,-0.1218,2023-09-13 10:05:40.260,0.7372944444444445,M1,Galactose
2023/09/13 10:10:10.28,78.1493,20.9114,0.0045,-0.0133,0.1189,-0.112,2023-09-13 10:10:10.280,0.8123,M1,Galactose
2023/09/13 10:14:39.52,78.1565,20.905,0.0044,-0.0132,0.1211,-0.1092,2023-09-13 10:14:39.520,0.8870888888888889,M1,Galactose
2023/09/13 10:19:09.79,78.1463,20.9145,0.0047,-0.0126,0.0998,-0.126,2023-09-13 10:19:09.790,0.9621638888888889,M1,Galactose
2023/09/13 10:23:46.66,78.1516,20.9089,0.0053,-0.012,0.1151,-0.1044,2023-09-13 10:23:46.660,1.0390722222222222,M1,Galactose
2023/09/13 10:28:17.07,78.1516,20.9084,0.0059,-0.0125,0.1271,-0.0985,2023-09-13 10:28:17.070,1.114186111111111,M1,Galactose
2023/09/13 10:32:46.90,78.1482,20.9113,0.006,-0.0123,0.1113,-0.1107,2023-09-13 10:32:46.900,1.1891388888888887,M1,Galactose
2023/09/13 10:37:17.01,78.1463,20.9133,0.0063,-0.0111,0.0959,-0.1153,2023-09-13 10:37:17.010,1.2641694444444445,M1,Galactose
2023/09/13 10:41:53.81,78.1506,20.9085,0.0068,-0.0099532,0.1142,-0.0871,2023-09-13 10:41:53.810,1.3410583333333335,M1,Galactose
2023/09/13 10:46:24.97,78.1475,20.9106,0.0072,-0.0095986,0.1073,-0.0895,2023-09-13 10:46:24.970,1.4163805555555555,M1,Galactose
2023/09/13 10:50:56.05,78.1502,20.9079,0.0075,-0.0098618,0.1238,-0.0796,2023-09-13 10:50:56.050,1.4916805555555557,M1,Galactose
2023/09/13 10:55:26.09,78.1454,20.9119,0.0084,-0.0095221,0.1094,-0.087,2023-09-13 10:55:26.090,1.5666916666666668,M1,Galactose
2023/09/13 11:00:03.20,78.1493,20.9076,0.0089,-0.0083024,0.1083,-0.0767,2023-09-13 11:00:03.200,1.6436666666666666,M1,Galactose
2023/09/13 11:04:32.81,78.1533,20.9034,0.0094,-0.0076428,0.1176,-0.065,2023-09-13 11:04:32.810,1.7185583333333334,M1,Galactose
2023/09/13 11:09:02.80,78.1511,20.9052,0.0103,-0.0060511,0.12,-0.0504,2023-09-13 11:09:02.800,1.7935555555555556,M1,Galactose
2023/09/13 11:13:32.74,78.146,20.9091,0.0107,-0.0073519,0.1222,-0.0601,2023-09-13 11:13:32.740,1.8685388888888887,M1,Galactose
2023/09/13 11:18:09.88,78.1479,20.9063,0.0112,-0.0064396,0.1211,-0.0532,2023-09-13 11:18:09.880,1.9455222222222222,M1,Galactose
2023/09/13 11:22:39.13,78.1515,20.9018,0.0123,-0.0049534,0.1224,-0.0405,2023-09-13 11:22:39.130,2.020313888888889,M1,Galactose
2023/09/13 11:27:09.00,78.1518,20.9014,0.0122,-0.0042884,0.1188,-0.0361,2023-09-13 11:27:09.000,2.0952777777777776,M1,Galactose
2023/09/13 11:31:38.42,78.1488,20.9029,0.0133,-0.0040613,0.1272,-0.0319,2023-09-13 11:31:38.420,2.1701166666666665,M1,Galactose
2023/09/13 11:36:15.46,78.1421,20.909,0.0137,-0.004351,0.1215,-0.0358,2023-09-13 11:36:15.460,2.247072222222222,M1,Galactose
2023/09/13 11:40:45.57,78.1481,20.9031,0.0144,-0.0032686,0.1215,-0.0269,2023-09-13 11:40:45.570,2.322102777777778,M1,Galactose
2023/09/13 11:45:15.76,78.1526,20.8969,0.0151,-0.0018869,0.1208,-0.0156,2023-09-13 11:45:15.760,2.3971555555555555,M1,Galactose
2023/09/13 11:49:45.99,78.1485,20.9007,0.0156,-0.00093065,0.1201,-0.0077508,2023-09-13 11:49:45.990,2.4722194444444443,M1,Galactose
2023/09/13 11:54:22.94,78.1433,20.9051,0.0164,-0.00065035,0.1321,-0.0049238,2023-09-13 11:54:22.940,2.54915,M1,Galactose
2023/09/13 11:58:52.43,78.1506,20.8971,0.0175,-0.0009836,0.1345,-0.0073153,2023-09-13 11:58:52.430,2.6240083333333333,M1,Galactose
2023/09/13 12:03:23.19,78.1515,20.8964,0.0182,0.00084908,0.1274,0.0066657,2023-09-13 12:03:23.190,2.6992194444444446,M1,Galactose
2023/09/13 12:07:53.65,78.142,20.9044,0.0189,0.0018736,0.1095,0.0171,2023-09-13 12:07:53.650,2.774347222222222,M1,Galactose
2023/09/13 12:12:30.45,78.1463,20.8993,0.0199,0.0035682,0.1192,0.0299,2023-09-13 12:12:30.450,2.8512361111111115,M1,Galactose
2023/09/13 12:17:01.60,78.1508,20.8937,0.021,0.0037096,0.1391,0.0267,2023-09-13 12:17:01.600,2.926555555555556,M1,Galactose
2023/09/13 12:21:32.26,78.1496,20.8948,0.0218,0.0040359,0.1268,0.0318,2023-09-13 12:21:32.260,3.0017388888888887,M1,Galactose
2023/09/13 12:26:01.97,78.1502,20.8927,0.0227,0.005441,0.1207,0.0451,2023-09-13 12:26:01.970,3.076658333333333,M1,Galactose
2023/09/13 12:30:38.49,78.1463,20.8945,0.0239,0.0069725,0.1262,0.0552,2023-09-13 12:30:38.490,3.153469444444444,M1,Galactose
